session_date,time,year,width,width_atr,n,threshold
2012-09-10,2012-09-10 10:09:00-04:00,2012,5.5,2.458100558659218,15,2.5
2012-09-11,2012-09-11 11:04:00-04:00,2012,3.0,2.4,15,2.5
2012-09-12,2012-09-12 11:10:00-04:00,2012,3.5,2.5,15,2.5
2012-09-13,2012-09-13 10:48:00-04:00,2012,3.0,2.4742268041237114,15,2.5
2012-09-14,2012-09-14 10:05:00-04:00,2012,5.25,2.359550561797753,15,2.5
2012-09-14,2012-09-14 11:34:00-04:00,2012,3.75,2.479338842975207,15,2.5
2012-09-14,2012-09-14 12:34:00-04:00,2012,2.0,2.5,15,2.5
2012-09-17,2012-09-17 11:06:00-04:00,2012,3.5,2.4347826086956523,15,2.5
2012-09-18,2012-09-18 10:25:00-04:00,2012,4.0,2.318840579710145,15,2.5
2012-09-19,2012-09-19 10:20:00-04:00,2012,4.0,2.269503546099291,15,2.5
2012-09-20,2012-09-20 11:58:00-04:00,2012,2.5,2.5,15,2.5
2012-09-20,2012-09-20 13:06:00-04:00,2012,2.0,2.191780821917808,15,2.5
2012-09-21,2012-09-21 10:03:00-04:00,2012,3.25,2.429906542056075,15,2.5
2012-09-21,2012-09-21 10:56:00-04:00,2012,1.75,1.971830985915493,15,2.5
2012-09-24,2012-09-24 09:53:00-04:00,2012,5.25,2.359550561797753,15,2.5
2012-09-25,2012-09-25 10:41:00-04:00,2012,3.25,2.3423423423423424,15,2.5
2012-09-26,2012-09-26 12:19:00-04:00,2012,3.0,2.4242424242424243,15,2.5
2012-09-27,2012-09-27 09:57:00-04:00,2012,4.5,2.3529411764705883,15,2.5
2012-09-28,2012-09-28 10:01:00-04:00,2012,6.5,2.44131455399061,15,2.5
2012-10-01,2012-10-01 09:51:00-04:00,2012,4.75,2.4050632911392404,15,2.5
2012-10-01,2012-10-01 11:43:00-04:00,2012,3.0,2.4242424242424243,15,2.5
2012-10-01,2012-10-01 13:07:00-04:00,2012,4.0,2.1476510067114094,15,2.5
2012-10-02,2012-10-02 09:57:00-04:00,2012,7.0,2.413793103448276,15,2.5
2012-10-03,2012-10-03 10:50:00-04:00,2012,4.0,2.0253164556962022,15,2.5
2012-10-03,2012-10-03 11:38:00-04:00,2012,2.75,2.2680412371134024,15,2.5
2012-10-04,2012-10-04 10:25:00-04:00,2012,4.5,2.2784810126582276,15,2.5
2012-10-08,2012-10-08 10:16:00-04:00,2012,5.5,2.430939226519337,15,2.5
2012-10-08,2012-10-08 10:56:00-04:00,2012,4.25,2.4817518248175183,15,2.5
2012-10-08,2012-10-08 14:10:00-04:00,2012,2.5,2.3529411764705883,15,2.5
2012-10-10,2012-10-10 10:14:00-04:00,2012,6.5,2.4644549763033172,15,2.5
2012-10-10,2012-10-10 11:02:00-04:00,2012,4.0,2.4427480916030535,15,2.5
2012-10-15,2012-10-15 10:03:00-04:00,2012,5.75,2.4864864864864864,15,2.5
2012-10-16,2012-10-16 10:25:00-04:00,2012,4.25,2.5,15,2.5
2012-10-16,2012-10-16 11:56:00-04:00,2012,2.5,2.2727272727272725,15,2.5
2012-10-17,2012-10-17 10:34:00-04:00,2012,3.75,2.380952380952381,15,2.5
2012-10-18,2012-10-18 10:31:00-04:00,2012,3.75,2.142857142857143,15,2.5
2012-10-19,2012-10-19 11:30:00-04:00,2012,4.25,2.4113475177304964,15,2.5
2012-10-19,2012-10-19 14:16:00-04:00,2012,3.0,2.2857142857142856,15,2.5
2012-10-22,2012-10-22 09:53:00-04:00,2012,7.25,2.4472573839662446,15,2.5
2012-10-22,2012-10-22 10:54:00-04:00,2012,4.0,2.2857142857142856,15,2.5
2012-10-23,2012-10-23 10:02:00-04:00,2012,6.0,2.4615384615384617,15,2.5
2012-10-24,2012-10-24 10:16:00-04:00,2012,5.0,2.1052631578947367,15,2.5
2012-10-25,2012-10-25 09:52:00-04:00,2012,6.0,2.376237623762376,15,2.5
2012-10-26,2012-10-26 10:39:00-04:00,2012,5.0,2.3255813953488373,15,2.5
2012-10-26,2012-10-26 11:21:00-04:00,2012,3.5,2.1538461538461537,15,2.5
2012-10-31,2012-10-31 10:58:00-04:00,2012,4.5,2.3225806451612905,15,2.5
2012-11-01,2012-11-01 09:49:00-04:00,2012,5.5,2.417582417582418,15,2.5
2012-11-01,2012-11-01 10:31:00-04:00,2012,3.0,2.0,15,2.5
2012-11-01,2012-11-01 11:12:00-04:00,2012,2.5,2.298850574712644,15,2.5
