split,horizon,book,policy,risk_n_days,risk_mean,risk_std,risk_sharpe,risk_sortino,risk_max_dd,risk_total,n_trades,n_high,mean_size,d_sharpe_vs_fixed,d_sharpe_lo,d_sharpe_hi,d_sortino_vs_fixed,d_sortino_lo,d_sortino_hi
Validation,60,short,invvol,775,-2.166210248477394,27.899566465306176,-1.2325468093730227,-1.9823154486412429,-2042.0616964578626,-1678.8129425699806,3070,1019,0.36713218122583274,-0.34211449862770293,-0.5620388549504568,-0.10883077684268633,-0.5242235269756779,-0.8850126847180264,-0.1551575567605689
Validation,60,short,invvol_high_aware,775,-1.992043821667123,25.54017723937134,-1.238155672173473,-1.9423602180141821,-1952.1875818310682,-1543.8339617920203,3070,1019,0.33604930799370025,-0.3477233614281532,-0.6322023858172702,-0.049774617592665826,-0.4842682963486171,-0.9323296066136151,-0.029733599454403587
OOS,30,coinflip,fixed,414,1.5090579710144927,107.898164913053,0.22202001907083746,0.3509292590087136,-2203.0,624.75,1637,574,1.0,0.0,0.0,0.0,0.0,0.0,0.0
OOS,30,coinflip,invvol,414,0.07740142636964761,27.293381983342933,0.045018589214208225,0.07150514993315976,-663.6228862230214,32.04419051703411,1637,574,0.2838180341189585,-0.17700142985662923,-0.3027582732228532,-0.058746280407935225,-0.2794241090755538,-0.495903172841643,-0.08898205099319265
OOS,30,coinflip,invvol_high_aware,414,0.06300133977293511,23.734275719065362,0.04213801489695497,0.06547901093974122,-591.3004139132697,26.082554665995133,1637,574,0.2549497697027568,-0.1798820041738825,-0.43427741503942563,0.08105871170035364,-0.28545024806897235,-0.724796098882949,0.12362541742041383
OOS,30,long,fixed,414,-1.298913043478261,113.02688640705703,-0.1824309771056528,-0.23218804241777455,-1902.5,-537.75,1637,574,1.0,0.0,0.0,0.0,0.0,0.0,0.0
OOS,30,long,invvol,414,-0.4158623344831372,28.67186070612259,-0.2302469995844093,-0.2957281379578616,-482.5020647486467,-172.1670064760188,1637,574,0.2838180341189585,-0.04781602247875652,-0.16101032158964426,0.06409222369294146,-0.06354009554008708,-0.21083448509159222,0.08210812784684461
OOS,30,long,invvol_high_aware,414,-0.656009152004804,25.02110395851873,-0.4162015577404999,-0.5319246580562498,-487.3701825880457,-271.58778892998885,1637,574,0.2549497697027568,-0.2337705806348471,-0.470644812113229,0.020649964023406603,-0.2997366156384752,-0.616565860470653,0.019821891096440798
OOS,30,short,fixed,414,-6.609299516908212,113.02515969126941,-0.9282833791968115,-1.5497400569552533,-4680.75,-2736.25,1637,574,1.0,0.0,0.0,0.0,0.0,0.0,0.0
OOS,30,short,invvol,414,-1.8286310078006067,28.6703275754765,-1.0124968834636157,-1.695854069975694,-1241.4134167158738,-757.0532372294512,1637,574,0.2838180341189585,-0.08421350426680418,-0.19869053086049177,0.02810269933151315,-0.1461140130204408,-0.33795953519226357,0.039664232124546686
OOS,30,short,invvol_high_aware,414,-1.3601878190261758,25.022817259385132,-0.8629049242965265,-1.4773392289959997,-1072.696527301481,-563.1177570768368,1637,574,0.2549497697027568,0.06537845490028493,-0.1961252657282283,0.30891122414556416,0.07240082795925362,-0.35213700444527596,0.46702922754485443
