metric_family,horizon,split,n_c,n_d,eligible,return_rate_c,return_rate_d,return_diff,return_diff_ci_lo,return_diff_ci_hi,opposite_rate_c,opposite_rate_d,opposite_diff,opposite_diff_ci_lo,opposite_diff_ci_hi,origin_cell,feature,n,mean,p10,p25,p50,p75,p90,frac_gt_0,frac_gt_5,frac_gt_10,frac_gt_15,frac_gt_20,n_reached,n_events,frac_reached,rate,note
excursion,60,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,max_down,3842.0,25.14354502863092,1.2750000000000057,3.75,10.5,31.0,69.25,0.9799583550234253,0.681155648099948,0.5093701197293077,0.40707964601769914,0.34903695991671,,,,,
excursion,60,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,abs_max_excursion,3842.0,37.65135346173868,5.25,9.25,21.25,47.25,90.97500000000002,1.0,0.9102030192608017,0.7173347214992192,0.5845913586673608,0.5124934929724102,,,,,
excursion,60,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,net_displacement,3842.0,0.12467464862051016,-34.724999999999994,-9.6875,1.25,11.25,34.5,0.5327954190525768,0.3581467985424258,0.26236335242061426,0.21395106715252474,0.1741280583029672,,,,,
excursion,60,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,hl_range,3842.0,47.97143414888079,7.5,12.25,27.0,65.75,115.0,1.0,0.9836022904737116,0.8053097345132744,0.670223841749089,0.5741801145236856,,,,,
excursion,60,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,abs_net,3842.0,23.649531494013534,1.5,4.0,10.5,27.75,65.0,0.9924518479958355,0.691827173347215,0.5054659031754295,0.41020301926080166,0.32873503383654346,,,,,
excursion,60,,,,,,,,,,,,,,,D_EXP_LOW_DIR,max_up,4187.0,23.742178170527826,1.75,4.25,10.5,28.0,61.75,0.990207786004299,0.7165034631000716,0.5115834726534512,0.3959875806066396,0.3257702412228326,,,,,
excursion,60,,,,,,,,,,,,,,,D_EXP_LOW_DIR,max_down,4187.0,24.262717936470025,1.25,3.5,10.0,28.25,63.10000000000002,0.9816097444470981,0.6567948411750657,0.49558156197754955,0.3847623596847385,0.31932171005493193,,,,,
excursion,60,,,,,,,,,,,,,,,D_EXP_LOW_DIR,abs_max_excursion,4187.0,37.4383807021734,5.5,9.0,19.75,48.875,92.10000000000002,1.0,0.9137807499402913,0.7083830905182709,0.5643658944351564,0.49056603773584906,,,,,
excursion,60,,,,,,,,,,,,,,,D_EXP_LOW_DIR,net_displacement,4187.0,1.4319321710054933,-32.099999999999994,-8.0,1.5,11.5,37.25,0.5488416527346549,0.3790303319799379,0.2713159780272271,0.20754716981132076,0.16622880343921662,,,,,
excursion,60,,,,,,,,,,,,,,,D_EXP_LOW_DIR,hl_range,4187.0,48.00489610699785,7.5,11.875,25.0,64.5,116.5,1.0,0.9761165512299976,0.8053498925244805,0.6632433723429664,0.5634105564843563,,,,,
excursion,60,,,,,,,,,,,,,,,D_EXP_LOW_DIR,abs_net,4187.0,23.365416766181035,1.5,4.0,9.75,27.0,63.0,0.989968951516599,0.6833054693097683,0.49152137568664916,0.38117984236923813,0.30666348220683065,,,,,
timing,60,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,time_to_origin_range,,22.43532889874353,,7.0,19.0,36.0,49.0,,,,,,2706.0,3842.0,0.7043206663196252,,
timing,60,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,time_to_opposite_range,,14.651957737725295,,3.0,8.0,20.0,42.0,,,,,,3218.0,3842.0,0.8375845913586674,,
timing,60,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,time_to_first_destination,,9.08733055265902,,3.0,6.0,13.0,21.0,,,,,,3836.0,3842.0,0.9984383133784487,,
timing,60,,,,,,,,,,,,,,,D_EXP_LOW_DIR,time_to_origin_range,,13.844340995053827,,2.0,6.0,22.0,41.0,,,,,,3437.0,4187.0,0.8208741342249821,,
timing,60,,,,,,,,,,,,,,,D_EXP_LOW_DIR,time_to_opposite_range,,23.86035313001605,,10.0,21.0,36.5,49.59999999999991,,,,,,3115.0,4187.0,0.7439694291855744,,
timing,60,,,,,,,,,,,,,,,D_EXP_LOW_DIR,time_to_first_destination,,9.571804062126644,,2.0,6.0,13.0,25.0,,,,,,4185.0,4187.0,0.9995223310246,,
timing,60,,,,,,,,,,,,,,,POOLED,time_to_origin_range,,17.62868305388247,,3.0,11.0,30.0,45.0,,,,,,6143.0,8029.0,0.7651015070369909,,
timing,60,,,,,,,,,,,,,,,POOLED,time_to_opposite_range,,19.18127269856308,,5.0,13.0,30.0,47.0,,,,,,6333.0,8029.0,0.7887657242495952,,
timing,60,,,,,,,,,,,,,,,POOLED,time_to_first_destination,,9.340107218551303,,2.0,6.0,13.0,23.0,,,,,,8021.0,8029.0,0.9990036119068377,,
competing_path,60,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,reach_opposite,2421.0,,,,,,,,,,,,,,,0.6301405517959396,
competing_path,60,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,return_to_origin,1415.0,,,,,,,,,,,,,,,0.3682977615825091,
competing_path,60,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,neither_within_60m,6.0,,,,,,,,,,,,,,,0.0015616866215512754,
competing_path,60,,,,,,,,,,,,,,,D_EXP_LOW_DIR,return_to_origin,2722.0,,,,,,,,,,,,,,,0.650107475519465,
competing_path,60,,,,,,,,,,,,,,,D_EXP_LOW_DIR,reach_opposite,1463.0,,,,,,,,,,,,,,,0.34941485550513496,
competing_path,60,,,,,,,,,,,,,,,D_EXP_LOW_DIR,neither_within_60m,2.0,,,,,,,,,,,,,,,0.0004776689754000478,
atr_e,0,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,atr_e,4529.0,5.644890336350924,1.025,1.475,3.058333333333333,8.358333333333333,13.496666666666673,,,,,,,,,,
atr_e,0,,,,,,,,,,,,,,,D_EXP_LOW_DIR,atr_e,4913.0,5.88367256937377,1.0583333333333333,1.5333333333333334,3.1416666666666666,8.35,14.260000000000014,,,,,,,,,,
atr_e,0,,,,,,,,,,,,,,,POOLED,atr_e,9442.0,5.7691370119325,1.0416666666666667,1.5083333333333333,3.1083333333333334,8.358333333333333,13.733333333333333,,,,,,,,,,
cost_context,0,,,,,,,,,,,,,,,POOLED,mid_round_trip_nq_points,,,,,1.0,,,,,,,,,,,,research_framework/execution_assumptions.md mid=1.0; not subtracted
