resolver,session,T_offset,outcome,universe,split,n,win,E
struct_ticket,NY_PM,90,H30,HIGH,OOS,108,0.46296296296296297,-0.5
struct_ticket,NY_PM,90,H60,ALL,IS,1397,0.47458840372226196,-0.4838940586972083
struct_ticket,NY_PM,90,H60,ALL,Validation,447,0.49440715883668906,0.2986577181208054
struct_ticket,NY_PM,90,H60,ALL,OOS,203,0.4729064039408867,4.304187192118227
struct_ticket,NY_PM,90,H60,HIGH,IS,637,0.4725274725274725,-0.8414442700156985
struct_ticket,NY_PM,90,H60,HIGH,Validation,222,0.4594594594594595,-3.275900900900901
struct_ticket,NY_PM,90,H60,HIGH,OOS,108,0.5370370370370371,9.61574074074074
struct_ticket,NY_PM,90,SESS_END,ALL,IS,1397,0.4767358625626342,-0.7732641374373658
struct_ticket,NY_PM,90,SESS_END,ALL,Validation,447,0.47651006711409394,1.645973154362416
struct_ticket,NY_PM,90,SESS_END,ALL,OOS,203,0.4827586206896552,-4.582512315270936
struct_ticket,NY_PM,90,SESS_END,HIGH,IS,637,0.4631083202511774,-1.6255886970172684
struct_ticket,NY_PM,90,SESS_END,HIGH,Validation,222,0.46396396396396394,-4.081081081081081
struct_ticket,NY_PM,90,SESS_END,HIGH,OOS,108,0.49074074074074076,-10.45138888888889
struct_ticket,NY_PM,120,H30,ALL,IS,1420,0.4612676056338028,-0.15352112676056337
struct_ticket,NY_PM,120,H30,ALL,Validation,441,0.5238095238095238,0.9319727891156463
struct_ticket,NY_PM,120,H30,ALL,OOS,186,0.4731182795698925,-2.21505376344086
struct_ticket,NY_PM,120,H30,HIGH,IS,640,0.4671875,-0.269140625
struct_ticket,NY_PM,120,H30,HIGH,Validation,227,0.44933920704845814,-5.001101321585903
struct_ticket,NY_PM,120,H30,HIGH,OOS,99,0.5050505050505051,-5.686868686868687
struct_ticket,NY_PM,120,H60,ALL,IS,1397,0.49391553328561205,0.3611309949892627
struct_ticket,NY_PM,120,H60,ALL,Validation,428,0.48364485981308414,1.3878504672897196
struct_ticket,NY_PM,120,H60,ALL,OOS,182,0.47802197802197804,1.2870879120879122
struct_ticket,NY_PM,120,H60,HIGH,IS,631,0.5118858954041204,0.19334389857369255
struct_ticket,NY_PM,120,H60,HIGH,Validation,223,0.43946188340807174,-5.292600896860987
