event,mechanism,horizon,split,ny_min,n,win,mean,median,mean_z,mfe_gt_mae,p_hit_plus_first,delta_win_vs_50,unc_long_win,delta_win_vs_unc_long,ctrl_n,ctrl_win,delta_win_vs_ctrl
NFP,evt_long,5,IS,510,102,0.5098039215686274,0.04656862745098039,0.375,-0.14295752590583885,0.49019607843137253,0.5657894736842105,0.009803921568627416,0.5098039215686274,0.0,1610,0.47018633540372673,0.03961758616490069
NFP,impulse_cont,10,IS,510,102,0.45098039215686275,-3.0098039215686274,-1.0,-0.7529323494268377,0.46078431372549017,0.5394736842105263,-0.04901960784313725,0.5490196078431373,-0.09803921568627455,1610,0.46770186335403724,-0.016721471197174487
NFP,impulse_fade,10,IS,510,102,0.5490196078431373,3.0098039215686274,1.0,0.7529323494268377,0.5392156862745098,0.4605263157894737,0.0490196078431373,0.5490196078431373,0.0,1610,0.48074534161490684,0.06827426622823046
NFP,surprise_dir,10,IS,510,101,0.4752475247524752,0.06683168316831684,-0.5,0.09709526985739673,0.46534653465346537,0.48,-0.024752475247524774,0.5490196078431373,-0.07377208309066208,0,,
NFP,evt_long,10,IS,510,102,0.5490196078431373,0.9411764705882353,0.875,0.15423290718702837,0.5196078431372549,0.5657894736842105,0.0490196078431373,0.5490196078431373,0.0,1610,0.468944099378882,0.08007550846425532
NFP,impulse_cont,15,IS,510,102,0.5,-2.730392156862745,0.125,-0.4949667126653616,0.45098039215686275,0.5394736842105263,0.0,0.49019607843137253,0.009803921568627472,1610,0.4639751552795031,0.036024844720496885
NFP,impulse_fade,15,IS,510,102,0.4803921568627451,2.730392156862745,-0.125,0.4949667126653616,0.5294117647058824,0.4605263157894737,-0.019607843137254888,0.49019607843137253,-0.009803921568627416,1610,0.5012422360248447,-0.020850079162099633
NFP,surprise_dir,15,IS,510,101,0.43564356435643564,-0.8663366336633663,-0.5,-0.21877729926031914,0.44554455445544555,0.48,-0.06435643564356436,0.49019607843137253,-0.054552514074936886,0,,
NFP,evt_long,15,IS,510,102,0.49019607843137253,0.0784313725490196,0.0,-0.19153737246564284,0.5,0.5657894736842105,-0.009803921568627472,0.49019607843137253,0.0,1610,0.48509316770186334,0.005102910729509191
NFP,impulse_cont,30,IS,510,102,0.5294117647058824,-2.299019607843137,0.875,-0.5902364048471962,0.4803921568627451,0.5405405405405406,0.02941176470588236,0.5490196078431373,-0.019607843137254943,1610,0.47080745341614905,0.05860431128973331
NFP,impulse_fade,30,IS,510,102,0.47058823529411764,2.299019607843137,-0.875,0.5902364048471962,0.5098039215686274,0.4594594594594595,-0.02941176470588236,0.5490196078431373,-0.07843137254901966,1610,0.4962732919254658,-0.02568505663134818
NFP,surprise_dir,30,IS,510,101,0.4752475247524752,-0.5247524752475248,-0.75,0.0024084882670130313,0.45544554455445546,0.4794520547945205,-0.024752475247524774,0.5490196078431373,-0.07377208309066208,0,,
NFP,evt_long,30,IS,510,102,0.5490196078431373,1.1862745098039216,1.125,-0.17949702829231257,0.5,0.5675675675675675,0.0490196078431373,0.5490196078431373,0.0,1610,0.4925465838509317,0.05647302399220561
NFP,impulse_cont,45,IS,510,102,0.45098039215686275,-2.9019607843137254,-0.875,-0.7442287840901052,0.4803921568627451,0.5405405405405406,-0.04901960784313725,0.5490196078431373,-0.09803921568627455,1610,0.4546583850931677,-0.0036779929363049413
NFP,impulse_fade,45,IS,510,102,0.5294117647058824,2.9019607843137254,0.875,0.7442287840901052,0.5098039215686274,0.4594594594594595,0.02941176470588236,0.5490196078431373,-0.019607843137254943,1610,0.5248447204968945,0.004567044208987903
NFP,surprise_dir,45,IS,510,101,0.48514851485148514,-2.3267326732673266,0.0,-0.36693148835578726,0.43564356435643564,0.4794520547945205,-0.014851485148514865,0.5490196078431373,-0.06387109299165217,0,,
NFP,evt_long,45,IS,510,102,0.5490196078431373,1.3627450980392157,1.25,-0.2981658033747232,0.5098039215686274,0.5675675675675675,0.0490196078431373,0.5490196078431373,0.0,1610,0.5080745341614907,0.04094507368164657
NFP,impulse_cont,60,IS,510,102,0.4411764705882353,-2.531862745098039,-1.875,-0.8675736809077189,0.47058823529411764,0.5217391304347826,-0.05882352941176472,0.4215686274509804,0.019607843137254888,1610,0.484472049689441,-0.04329557910120574
NFP,impulse_fade,60,IS,510,102,0.5490196078431373,2.531862745098039,1.875,0.8675736809077189,0.5196078431372549,0.4782608695652174,0.0490196078431373,0.4215686274509804,0.1274509803921569,1610,0.506832298136646,0.042187309706491316
NFP,surprise_dir,60,IS,510,101,0.46534653465346537,-3.0,-1.75,-1.3130184161909209,0.42574257425742573,0.47058823529411764,-0.03465346534653463,0.4215686274509804,0.04377790720248498,0,,
NFP,evt_long,60,IS,510,102,0.4215686274509804,-0.6936274509803921,-1.875,-1.1463448513410086,0.47058823529411764,0.5507246376811594,-0.0784313725490196,0.4215686274509804,0.0,1610,0.513664596273292,-0.09209596882231158
NFP,impulse_cont,5,Validation,510,35,0.42857142857142855,-1.707142857142857,-4.75,-0.11025507907909873,0.4857142857142857,0.44,-0.07142857142857145,0.5142857142857142,-0.08571428571428569,533,0.5403377110694184,-0.11176628249798987
NFP,impulse_fade,5,Validation,510,35,0.5428571428571428,1.707142857142857,4.75,0.11025507907909873,0.5142857142857142,0.56,0.042857142857142816,0.5142857142857142,0.02857142857142858,533,0.450281425891182,0.09257571696596084
