outcome,block,model,slice,n,n_flat,n_up_forecasts,n_down_forecasts,hit_rate,p_up,p_down,p_flat,matched_base_rate,lift,mean_signed_body,median_signed_body
secondary,all_test1,test1,2017,245,0,156,89,0.4816326530612245,0.6345381526104418,0.3654618473895582,0.0,0.53679206622408,-0.05515941316285555,-3.0142857142857142,-2.25
secondary,all_test1,test2,2017,245,0,175,70,0.5510204081632653,0.6345381526104418,0.3654618473895582,0.0,0.5576592082616179,-0.006638800098352604,0.3,3.5
secondary,agree,test1,2018,167,0,94,73,0.49101796407185627,0.5344129554655871,0.46558704453441296,0.0,0.5043273776333972,-0.013309413561540917,7.377245508982036,-1.25
secondary,agree,test2,2018,167,0,94,73,0.49101796407185627,0.5344129554655871,0.46558704453441296,0.0,0.5043273776333972,-0.013309413561540917,7.377245508982036,-1.25
secondary,disagree,test1,2018,75,0,37,38,0.41333333333333333,0.5344129554655871,0.46558704453441296,0.0,0.4995411605937922,-0.08620782726045889,-12.57,-10.25
secondary,disagree,test2,2018,75,0,38,37,0.5866666666666667,0.5344129554655871,0.46558704453441296,0.0,0.5004588394062078,0.08620782726045884,12.57,10.25
secondary,all_test1,test1,2018,242,0,131,111,0.4669421487603306,0.5344129554655871,0.46558704453441296,0.0,0.502844045906247,-0.035901897145916406,1.1952479338842976,-5.0
secondary,all_test1,test2,2018,242,0,132,110,0.5206611570247934,0.5344129554655871,0.46558704453441296,0.0,0.5031284504968716,0.017532706527921826,8.986570247933884,3.375
secondary,agree,test1,2019,162,1,111,51,0.4876543209876543,0.5983935742971888,0.39357429718875503,0.008032128514056224,0.533913431503793,-0.04625911051613868,1.103395061728395,-0.75
secondary,agree,test2,2019,162,1,111,51,0.4876543209876543,0.5983935742971888,0.39357429718875503,0.008032128514056224,0.533913431503793,-0.04625911051613868,1.103395061728395,-0.75
secondary,disagree,test1,2019,75,1,33,42,0.48,0.5983935742971888,0.39357429718875503,0.008032128514056224,0.48369477911646586,-0.003694779116465874,4.656666666666666,-0.5
secondary,disagree,test2,2019,75,1,42,33,0.5066666666666667,0.5983935742971888,0.39357429718875503,0.008032128514056224,0.5082730923694779,-0.0016064257028112205,-4.656666666666666,0.5
secondary,all_test1,test1,2019,237,2,144,93,0.48523206751054854,0.5983935742971888,0.39357429718875503,0.008032128514056224,0.5180214529002085,-0.032789385389659975,2.2278481012658227,-0.5
secondary,all_test1,test2,2019,237,2,153,84,0.4936708860759494,0.5983935742971888,0.39357429718875503,0.008032128514056224,0.5257994001321743,-0.03212851405622491,-0.7194092827004219,0.0
secondary,agree,test1,2020,173,0,117,56,0.5202312138728323,0.6032388663967612,0.3967611336032389,0.0,0.5364021436427886,-0.016170929769956266,-3.5809248554913293,3.25
secondary,agree,test2,2020,173,0,117,56,0.5202312138728323,0.6032388663967612,0.3967611336032389,0.0,0.5364021436427886,-0.016170929769956266,-3.5809248554913293,3.25
secondary,disagree,test1,2020,68,0,30,38,0.4411764705882353,0.6032388663967612,0.3967611336032389,0.0,0.4878542510121458,-0.04667778042391052,-15.216911764705882,-30.375
secondary,disagree,test2,2020,68,0,38,30,0.5588235294117647,0.6032388663967612,0.3967611336032389,0.0,0.5121457489878543,0.046677780423910464,15.216911764705882,30.375
secondary,all_test1,test1,2020,241,0,147,94,0.4979253112033195,0.6032388663967612,0.3967611336032389,0.0,0.5227039830665077,-0.024778671863188162,-6.864107883817427,-4.5
secondary,all_test1,test2,2020,241,0,155,86,0.5311203319502075,0.6032388663967612,0.3967611336032389,0.0,0.529558015690359,0.001562316259848484,1.7230290456431536,6.75
secondary,agree,test1,2021,172,0,111,61,0.5,0.5657370517928287,0.4342629482071713,0.0,0.5191096080793107,-0.019109608079310725,-10.456395348837209,-0.75
secondary,agree,test2,2021,172,0,111,61,0.5,0.5657370517928287,0.4342629482071713,0.0,0.5191096080793107,-0.019109608079310725,-10.456395348837209,-0.75
