outcome,block,model,slice,n,n_flat,n_up_forecasts,n_down_forecasts,hit_rate,p_up,p_down,p_flat,matched_base_rate,lift,mean_signed_body,median_signed_body
primary,all_test1,test1,2016,241,1,127,114,0.45228215767634855,0.5219123505976095,0.47410358565737054,0.00398406374501992,0.4992974161445505,-0.047015258468201926,-4.801867219917012,-2.75
primary,all_test1,test2,2016,241,1,143,98,0.5435684647302904,0.5219123505976095,0.47410358565737054,0.00398406374501992,0.5024714420326991,0.0410970226975913,1.7064315352697095,1.75
primary,agree,test1,2017,170,0,128,42,0.5235294117647059,0.6345381526104418,0.3654618473895582,0.0,0.5680604772029294,-0.044531065438223494,-1.1338235294117647,2.25
primary,agree,test2,2017,170,0,128,42,0.5235294117647059,0.6345381526104418,0.3654618473895582,0.0,0.5680604772029294,-0.044531065438223494,-1.1338235294117647,2.25
primary,disagree,test1,2017,75,0,28,47,0.41333333333333333,0.6345381526104418,0.3654618473895582,0.0,0.46591700133868813,-0.0525836680053548,-4.1466666666666665,-6.0
primary,disagree,test2,2017,75,0,47,28,0.5866666666666667,0.6345381526104418,0.3654618473895582,0.0,0.5340829986613119,0.052583668005354745,4.1466666666666665,6.0
primary,all_test1,test1,2017,245,0,156,89,0.4897959183673469,0.6345381526104418,0.3654618473895582,0.0,0.53679206622408,-0.04699614785673312,-2.056122448979592,-1.0
primary,all_test1,test2,2017,245,0,175,70,0.5428571428571428,0.6345381526104418,0.3654618473895582,0.0,0.5576592082616179,-0.01480206540447504,0.4826530612244898,3.25
primary,agree,test1,2018,167,1,94,73,0.5149700598802395,0.5344129554655871,0.46153846153846156,0.004048582995951417,0.5025576377609154,0.01241242211932403,7.838323353293413,4.25
primary,agree,test2,2018,167,1,94,73,0.5149700598802395,0.5344129554655871,0.46153846153846156,0.004048582995951417,0.5025576377609154,0.01241242211932403,7.838323353293413,4.25
primary,disagree,test1,2018,75,0,37,38,0.41333333333333333,0.5344129554655871,0.46153846153846156,0.004048582995951417,0.4974898785425102,-0.08415654520917687,-11.403333333333334,-10.25
primary,disagree,test2,2018,75,0,38,37,0.5866666666666667,0.5344129554655871,0.46153846153846156,0.004048582995951417,0.4984615384615385,0.08820512820512816,11.403333333333334,10.25
primary,all_test1,test1,2018,242,1,131,111,0.4834710743801653,0.5344129554655871,0.46153846153846156,0.004048582995951417,0.5009870512262857,-0.01751597684612044,1.875,-1.75
primary,all_test1,test2,2018,242,1,132,110,0.5371900826446281,0.5344129554655871,0.46153846153846156,0.004048582995951417,0.5012881854987119,0.035901897145916184,8.943181818181818,5.5
primary,agree,test1,2019,162,0,111,51,0.48148148148148145,0.606425702811245,0.3895582329317269,0.004016064257028112,0.5381526104417671,-0.056671128960285644,0.6589506172839507,-1.625
primary,agree,test2,2019,162,0,111,51,0.48148148148148145,0.606425702811245,0.3895582329317269,0.004016064257028112,0.5381526104417671,-0.056671128960285644,0.6589506172839507,-1.625
