outcome,model,slice,n,n_flat,n_up_forecasts,n_down_forecasts,hit_rate,p_up,p_down,p_flat,matched_base_rate,lift,mean_signed_body,median_signed_body
secondary,test1_bull,2020,147,0,147,0,0.5850340136054422,0.6032388663967612,0.3967611336032389,0.0,0.6032388663967612,-0.018204852791319004,7.680272108843537,17.25
secondary,test1_bear,2020,94,0,0,94,0.3617021276595745,0.6032388663967612,0.3967611336032389,0.0,0.39676113360323895,-0.035059005943664456,-29.60904255319149,-56.5
secondary,test1_pooled,2020,241,0,147,94,0.4979253112033195,0.6032388663967612,0.3967611336032389,0.0,0.5227039830665077,-0.024778671863188162,-6.864107883817427,-4.5
secondary,test2_up,2020,158,0,158,0,0.6075949367088608,0.6032388663967612,0.3967611336032389,0.0,0.6032388663967612,0.004356070312099614,13.886075949367088,24.125
secondary,test2_down,2020,89,0,0,89,0.4044943820224719,0.6032388663967612,0.3967611336032389,0.0,0.3967611336032389,0.0077332484192330075,-17.901685393258425,-46.5
secondary,test2_pooled,2020,247,0,158,89,0.5344129554655871,0.6032388663967612,0.3967611336032389,0.0,0.5288400072120508,0.0055729482535362695,2.432186234817814,10.0
secondary,always_long,2020,247,0,247,0,0.6032388663967612,0.6032388663967612,0.3967611336032389,0.0,0.6032388663967612,0.0,15.332995951417004,29.0
secondary,test1_bull,2021,138,0,138,0,0.5652173913043478,0.5657370517928287,0.4342629482071713,0.0,0.5657370517928287,-0.0005196604884809553,6.590579710144928,16.25
secondary,test1_bear,2021,108,0,0,108,0.4166666666666667,0.5657370517928287,0.4342629482071713,0.0,0.4342629482071713,-0.017596281540504632,-27.421296296296298,-34.75
secondary,test1_pooled,2021,246,0,138,108,0.5,0.5657370517928287,0.4342629482071713,0.0,0.5080167136332717,-0.008016713633271721,-8.341463414634147,-0.75
secondary,test2_up,2021,162,0,162,0,0.5493827160493827,0.5657370517928287,0.4342629482071713,0.0,0.5657370517928287,-0.016354335743446025,7.138888888888889,13.375
secondary,test2_down,2021,89,0,0,89,0.4044943820224719,0.5657370517928287,0.4342629482071713,0.0,0.4342629482071713,-0.02976856618469942,-29.786516853932586,-59.0
secondary,test2_pooled,2021,251,0,162,89,0.49800796812749004,0.5657370517928287,0.4342629482071713,0.0,0.5191187441469184,-0.021110776019428346,-5.9541832669322705,-1.25
secondary,always_long,2021,251,0,251,0,0.5657370517928287,0.5657370517928287,0.4342629482071713,0.0,0.5657370517928287,0.0,15.169322709163346,19.25
secondary,test1_bull,2022,111,0,111,0,0.45045045045045046,0.452,0.548,0.0,0.452,-0.001549549549549556,-40.51801801801802,-36.75
secondary,test1_bear,2022,132,0,0,132,0.5378787878787878,0.452,0.548,0.0,0.548,-0.010121212121212197,4.1477272727272725,31.5
secondary,test1_pooled,2022,243,0,111,132,0.49794238683127573,0.452,0.548,0.0,0.5041481481481482,-0.0062057613168725045,-16.255144032921812,-1.5
secondary,test2_up,2022,123,0,123,0,0.3902439024390244,0.452,0.548,0.0,0.452,-0.06175609756097561,-45.18089430894309,-59.5
secondary,test2_down,2022,127,0,0,127,0.4881889763779528,0.452,0.548,0.0,0.548,-0.059811023622047266,-0.01968503937007874,-4.0
secondary,test2_pooled,2022,250,0,123,127,0.44,0.452,0.548,0.0,0.500768,-0.06076799999999999,-22.239,-36.125
secondary,always_long,2022,250,0,250,0,0.452,0.452,0.548,0.0,0.452,0.0,-22.219,-36.875
secondary,test1_bull,2023,137,0,137,0,0.5620437956204379,0.5685483870967742,0.4314516129032258,0.0,0.5685483870967742,-0.006504591476336308,25.777372262773724,26.5
secondary,test1_bear,2023,105,0,0,105,0.41904761904761906,0.5685483870967742,0.4314516129032258,0.0,0.4314516129032258,-0.012403993855606754,-22.007142857142856,-41.25
secondary,test1_pooled,2023,242,0,137,105,0.5,0.5685483870967742,0.4314516129032258,0.0,0.5090642495334579,-0.009064249533457858,5.044421487603306,1.0
secondary,test2_up,2023,140,0,140,0,0.55,0.5685483870967742,0.4314516129032258,0.0,0.5685483870967742,-0.0185483870967742,20.117857142857144,30.25
secondary,test2_down,2023,108,0,0,108,0.4074074074074074,0.5685483870967742,0.4314516129032258,0.0,0.43145161290322576,-0.02404420549581837,-27.53935185185185,-26.625
secondary,test2_pooled,2023,248,0,140,108,0.4879032258064516,0.5685483870967742,0.4314516129032258,0.0,0.5088449531737773,-0.02094172736732569,-0.6360887096774194,-2.875
secondary,always_long,2023,248,0,248,0,0.5685483870967742,0.5685483870967742,0.4314516129032258,0.0,0.5685483870967742,0.0,23.349798387096776,26.625
secondary,test1_bull,2024,136,0,136,0,0.5808823529411765,0.570281124497992,0.42971887550200805,0.0,0.570281124497992,0.010601228443184563,19.047794117647058,21.875
secondary,test1_bear,2024,105,0,0,105,0.44761904761904764,0.570281124497992,0.42971887550200805,0.0,0.429718875502008,0.017900172117039648,-16.68095238095238,-40.25
secondary,test1_pooled,2024,241,0,136,105,0.5228215767634855,0.570281124497992,0.42971887550200805,0.0,0.5090403106200736,0.013781266143411908,3.4813278008298756,4.5
secondary,test2_up,2024,151,0,151,0,0.5496688741721855,0.570281124497992,0.42971887550200805,0.0,0.570281124497992,-0.02061225032580649,11.26158940397351,18.5
secondary,test2_down,2024,98,0,0,98,0.3979591836734694,0.570281124497992,0.42971887550200805,0.0,0.42971887550200805,-0.03175969182853866,-28.06377551020408,-56.25
secondary,test2_pooled,2024,249,0,151,98,0.4899598393574297,0.570281124497992,0.42971887550200805,0.0,0.5149594361381268,-0.024999596780697075,-4.215863453815261,-3.0
secondary,always_long,2024,249,0,249,0,0.570281124497992,0.570281124497992,0.42971887550200805,0.0,0.570281124497992,0.0,17.87449799196787,31.25
secondary,test1_bull,2025,129,0,129,0,0.49612403100775193,0.5506072874493927,0.4493927125506073,0.0,0.5506072874493927,-0.05448325644164076,-18.232558139534884,-3.25
secondary,test1_bear,2025,108,0,0,108,0.3888888888888889,0.5506072874493927,0.4493927125506073,0.0,0.4493927125506073,-0.060503823661718414,-63.067129629629626,-72.75
