entry,stop_mode,stop_pts,tgt_mode,tgt_pts,rr,hold_h,split,n,n_elig,trig_rate,win,E_net,E_R,target_hit,stop_hit,time_exit,median_stop
imp20_pb10,structural,,rr,,1.5,15,Discovery,328,328,1.0,0.39939024390243905,-0.2339939024390244,-0.13167871004761966,0.3201219512195122,0.524390243902439,0.15548780487804878,11.5
imp20_pb10,structural,,rr,,1.5,15,Validation,396,396,1.0,0.37626262626262624,-2.9457070707070705,-0.16816657671025903,0.3207070707070707,0.5833333333333334,0.09595959595959595,18.875
imp20_pb10,structural,,rr,,1.5,15,OOS,179,179,1.0,0.4022346368715084,-0.6606145251396648,-0.11074390511119973,0.30726256983240224,0.5642458100558659,0.12849162011173185,28.75
imp20_pb10,structural,,rr,,1.5,30,Discovery,328,328,1.0,0.3932926829268293,-0.31440548780487804,-0.1462274835212822,0.3445121951219512,0.5548780487804879,0.10060975609756098,11.5
imp20_pb10,structural,,rr,,1.5,30,Validation,396,396,1.0,0.3661616161616162,-3.000631313131313,-0.16853352499901994,0.351010101010101,0.6186868686868687,0.030303030303030304,18.875
imp20_pb10,structural,,rr,,1.5,30,OOS,179,179,1.0,0.3575418994413408,-0.6522346368715084,-0.12047354987541897,0.3575418994413408,0.5865921787709497,0.055865921787709494,28.75
imp20_pb10,structural,,rr,,1.5,60,Discovery,328,328,1.0,0.38414634146341464,-0.9184451219512195,-0.16356151661049573,0.36585365853658536,0.5975609756097561,0.036585365853658534,11.5
imp20_pb10,structural,,rr,,1.5,60,Validation,396,396,1.0,0.3611111111111111,-3.25,-0.17411999275449672,0.3611111111111111,0.6338383838383839,0.005050505050505051,18.875
imp20_pb10,structural,,rr,,1.5,60,OOS,179,179,1.0,0.3575418994413408,-2.9874301675977653,-0.1545567493561321,0.3575418994413408,0.6312849162011173,0.0111731843575419,28.75
imp20_pb10,structural,,rr,,2.0,15,Discovery,328,328,1.0,0.3567073170731707,0.07621951219512195,-0.12781025905085044,0.24085365853658536,0.5640243902439024,0.1951219512195122,11.5
imp20_pb10,structural,,rr,,2.0,15,Validation,396,396,1.0,0.3409090909090909,-4.2228535353535355,-0.1863586533344615,0.21464646464646464,0.6136363636363636,0.1717171717171717,18.875
imp20_pb10,structural,,rr,,2.0,15,OOS,179,179,1.0,0.3463687150837989,-2.2430167597765363,-0.16588507593489527,0.21787709497206703,0.5977653631284916,0.18435754189944134,28.75
imp20_pb10,structural,,rr,,2.0,30,Discovery,328,328,1.0,0.3475609756097561,-0.5457317073170732,-0.14240176621201167,0.2682926829268293,0.5945121951219512,0.13719512195121952,11.5
imp20_pb10,structural,,rr,,2.0,30,Validation,396,396,1.0,0.3207070707070707,-3.2859848484848486,-0.15075953517559773,0.2702020202020202,0.648989898989899,0.08080808080808081,18.875
imp20_pb10,structural,,rr,,2.0,30,OOS,179,179,1.0,0.3016759776536313,-0.1270949720670391,-0.13091491830921845,0.2737430167597765,0.6312849162011173,0.09497206703910614,28.75
imp20_pb10,structural,,rr,,2.0,60,Discovery,328,328,1.0,0.32926829268292684,-1.1935975609756098,-0.16440880674606217,0.2926829268292683,0.6463414634146342,0.06097560975609756,11.5
imp20_pb10,structural,,rr,,2.0,60,Validation,396,396,1.0,0.31565656565656564,-3.326388888888889,-0.146021613962594,0.3005050505050505,0.6742424242424242,0.025252525252525252,18.875
imp20_pb10,structural,,rr,,2.0,60,OOS,179,179,1.0,0.3016759776536313,-2.32122905027933,-0.1511552355698643,0.29608938547486036,0.6871508379888268,0.01675977653631285,28.75
imp20_pb10,fixed,10.0,fixed,15.0,,15,Discovery,328,328,1.0,0.40853658536585363,-0.6829268292682927,-0.06829268292682933,0.3475609756097561,0.5091463414634146,0.14329268292682926,10.0
imp20_pb10,fixed,10.0,fixed,15.0,,15,Validation,396,396,1.0,0.4015151515151515,-1.0063131313131313,-0.10063131313131315,0.39646464646464646,0.5984848484848485,0.005050505050505051,10.0
imp20_pb10,fixed,10.0,fixed,15.0,,15,OOS,179,179,1.0,0.2849162011173184,-3.877094972067039,-0.38770949720670395,0.2849162011173184,0.7150837988826816,0.0,10.0
imp20_pb10,fixed,10.0,fixed,15.0,,30,Discovery,328,328,1.0,0.42073170731707316,-0.5548780487804879,-0.05548780487804883,0.38109756097560976,0.5304878048780488,0.08841463414634146,10.0
imp20_pb10,fixed,10.0,fixed,15.0,,30,Validation,396,396,1.0,0.4015151515151515,-0.9797979797979798,-0.09797979797979801,0.39646464646464646,0.5984848484848485,0.005050505050505051,10.0
imp20_pb10,fixed,10.0,fixed,15.0,,30,OOS,179,179,1.0,0.2849162011173184,-3.877094972067039,-0.38770949720670395,0.2849162011173184,0.7150837988826816,0.0,10.0
imp20_pb10,fixed,10.0,fixed,15.0,,60,Discovery,328,328,1.0,0.4115853658536585,-0.5876524390243902,-0.058765243902439084,0.4024390243902439,0.5640243902439024,0.03353658536585366,10.0
imp20_pb10,fixed,10.0,fixed,15.0,,60,Validation,396,396,1.0,0.4015151515151515,-0.9621212121212122,-0.09621212121212123,0.4015151515151515,0.5984848484848485,0.0,10.0
imp20_pb10,fixed,10.0,fixed,15.0,,60,OOS,179,179,1.0,0.2849162011173184,-3.877094972067039,-0.38770949720670395,0.2849162011173184,0.7150837988826816,0.0,10.0
