setup,dip,target_mode,target,split,n,win,E_net,median,target_hit,stop_hit,time_exit,n_days,n_trig,trig_rate
fade_extent,5.0,opposite,11.75,Validation,2,1.0,10.75,10.75,1.0,0.0,0.0,2,2,1.0
fade_extent,5.0,opposite,12.0,Discovery,8,0.375,-1.5625,-6.0,0.375,0.5,0.125,8,8,1.0
fade_extent,5.0,opposite,12.0,OOS,2,0.5,-7.625,-7.625,0.5,0.5,0.0,2,2,1.0
fade_extent,5.0,opposite,12.0,Validation,4,0.5,0.0625,1.5,0.5,0.5,0.0,4,4,1.0
fade_extent,5.0,opposite,12.25,Discovery,5,0.4,-1.05,-6.0,0.4,0.4,0.2,5,5,1.0
fade_extent,5.0,opposite,12.25,Validation,1,1.0,11.25,11.25,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,12.5,Discovery,7,0.8571428571428571,9.857142857142858,11.5,0.8571428571428571,0.0,0.14285714285714285,7,7,1.0
fade_extent,5.0,opposite,12.5,Validation,2,0.5,-10.5,-10.5,0.5,0.5,0.0,2,2,1.0
fade_extent,5.0,opposite,12.75,Discovery,8,0.625,-0.28125,7.625,0.5,0.25,0.25,8,8,1.0
fade_extent,5.0,opposite,12.75,Validation,2,0.5,-10.25,-10.25,0.5,0.5,0.0,2,2,1.0
fade_extent,5.0,opposite,13.0,Discovery,5,0.4,-9.85,-15.25,0.4,0.6,0.0,5,5,1.0
fade_extent,5.0,opposite,13.0,OOS,1,1.0,12.0,12.0,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,13.0,Validation,1,1.0,12.0,12.0,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,13.25,Discovery,7,0.5714285714285714,-1.4642857142857142,12.25,0.5714285714285714,0.42857142857142855,0.0,7,7,1.0
fade_extent,5.0,opposite,13.25,Validation,2,1.0,12.25,12.25,1.0,0.0,0.0,2,2,1.0
fade_extent,5.0,opposite,13.5,Discovery,6,0.8333333333333334,8.083333333333334,12.5,0.6666666666666666,0.16666666666666666,0.16666666666666666,6,6,1.0
fade_extent,5.0,opposite,13.5,OOS,1,1.0,12.5,12.5,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,13.75,Discovery,7,0.2857142857142857,-6.285714285714286,-10.0,0.2857142857142857,0.7142857142857143,0.0,7,7,1.0
fade_extent,5.0,opposite,13.75,Validation,4,0.5,1.0625,1.125,0.5,0.5,0.0,4,4,1.0
