entry,stop_mode,stop_pts,tgt_mode,tgt_pts,rr,hold_h,split_val,n_val,n_elig_val,trig_rate_val,win_val,E_net_val,E_R_val,target_hit_val,stop_hit_val,time_exit_val,median_stop_val,split_oos,n_oos,n_elig_oos,trig_rate_oos,win_oos,E_net_oos,E_R_oos,target_hit_oos,stop_hit_oos,time_exit_oos,median_stop_oos,split_disc,n_disc,n_elig_disc,trig_rate_disc,win_disc,E_net_disc,E_R_disc,target_hit_disc,stop_hit_disc,time_exit_disc,median_stop_disc,min_E_val_oos
break5,fixed,25.0,fixed,40.0,,60,Validation,425,425,1.0,0.3905882352941176,-1.0647058823529412,-0.04258823529411763,0.36941176470588233,0.6023529411764705,0.02823529411764706,25.0,OOS,179,179,1.0,0.441340782122905,2.6871508379888267,0.10748603351955306,0.441340782122905,0.5586592178770949,0.0,25.0,Discovery,456,456,1.0,0.43859649122807015,0.16337719298245615,0.006535087719298229,0.25,0.3969298245614035,0.3530701754385965,25.0,-1.0647058823529412
reclaim_dip5,fixed,10.0,fixed,30.0,,60,Validation,422,422,1.0,0.25118483412322273,-1.1161137440758293,-0.11161137440758295,0.24407582938388625,0.7488151658767772,0.0071090047393364926,10.0,OOS,169,169,1.0,0.2485207100591716,-1.0591715976331362,-0.10591715976331369,0.2485207100591716,0.7514792899408284,0.0,10.0,Discovery,372,372,1.0,0.28225806451612906,-1.653225806451613,-0.1653225806451613,0.1693548387096774,0.6747311827956989,0.15591397849462366,10.0,-1.1161137440758293
break5,fixed,25.0,fixed,40.0,,30,Validation,425,425,1.0,0.4,-1.116470588235294,-0.044658823529411744,0.35058823529411764,0.5905882352941176,0.058823529411764705,25.0,OOS,179,179,1.0,0.441340782122905,2.793296089385475,0.11173184357541897,0.441340782122905,0.547486033519553,0.0111731843575419,25.0,Discovery,456,456,1.0,0.4166666666666667,-0.8848684210526315,-0.035394736842105264,0.17982456140350878,0.3399122807017544,0.48026315789473684,25.0,-1.116470588235294
at_open_wstop,fixed,10.0,fixed,40.0,,60,Validation,485,485,1.0,0.1979381443298969,-1.1479381443298968,-0.11479381443298967,0.1958762886597938,0.8,0.004123711340206186,10.0,OOS,208,208,1.0,0.20192307692307693,-0.9038461538461539,-0.09038461538461534,0.20192307692307693,0.7980769230769231,0.0,10.0,Discovery,574,574,1.0,0.25261324041811845,-1.4472996515679442,-0.14472996515679443,0.12195121951219512,0.7038327526132404,0.17421602787456447,10.0,-1.1479381443298968
reclaim_dip5,fixed,10.0,fixed,40.0,,15,Validation,422,422,1.0,0.2132701421800948,-1.1718009478672986,-0.11718009478672986,0.16587677725118483,0.7654028436018957,0.06872037914691943,10.0,OOS,169,169,1.0,0.22485207100591717,0.24260355029585798,0.024260355029585755,0.22485207100591717,0.7751479289940828,0.0,10.0,Discovery,372,372,1.0,0.3010752688172043,-1.9919354838709677,-0.1991935483870968,0.05913978494623656,0.6048387096774194,0.33602150537634407,10.0,-1.1718009478672986
break5,fixed,10.0,fixed,40.0,,30,Validation,425,425,1.0,0.20941176470588235,-1.1541176470588235,-0.11541176470588235,0.18588235294117647,0.7905882352941176,0.023529411764705882,10.0,OOS,179,179,1.0,0.19553072625698323,-1.223463687150838,-0.12234636871508377,0.19553072625698323,0.8044692737430168,0.0,10.0,Discovery,456,456,1.0,0.27850877192982454,-0.8985745614035088,-0.08985745614035083,0.10964912280701754,0.625,0.26535087719298245,10.0,-1.223463687150838
reclaim_dip5,fixed,20.0,rr,,2.0,60,Validation,422,422,1.0,0.33886255924170616,-1.2369668246445498,-0.0618483412322275,0.31990521327014215,0.6611374407582938,0.018957345971563982,20.0,OOS,169,169,1.0,0.34911242603550297,-0.05325443786982249,-0.00266272189349112,0.34911242603550297,0.650887573964497,0.0,20.0,Discovery,372,372,1.0,0.3629032258064516,-2.394489247311828,-0.11972446236559142,0.18010752688172044,0.5053763440860215,0.31451612903225806,20.0,-1.2369668246445498
reclaim_dip5,fixed,20.0,fixed,40.0,,60,Validation,422,422,1.0,0.33886255924170616,-1.2369668246445498,-0.0618483412322275,0.31990521327014215,0.6611374407582938,0.018957345971563982,20.0,OOS,169,169,1.0,0.34911242603550297,-0.05325443786982249,-0.00266272189349112,0.34911242603550297,0.650887573964497,0.0,20.0,Discovery,372,372,1.0,0.3629032258064516,-2.394489247311828,-0.11972446236559142,0.18010752688172044,0.5053763440860215,0.31451612903225806,20.0,-1.2369668246445498
reclaim_dip5,fixed,25.0,rr,,1.5,60,Validation,422,422,1.0,0.4028436018957346,-1.2440758293838863,-0.049763033175355485,0.38388625592417064,0.5924170616113744,0.023696682464454975,25.0,OOS,169,169,1.0,0.39644970414201186,-1.2218934911242603,-0.048875739644970446,0.39644970414201186,0.6035502958579881,0.0,25.0,Discovery,372,372,1.0,0.40860215053763443,-1.9596774193548387,-0.07838709677419356,0.22580645161290322,0.4032258064516129,0.3709677419354839,25.0,-1.2440758293838863
reclaim_dip5,fixed,10.0,fixed,30.0,,30,Validation,422,422,1.0,0.24644549763033174,-1.2476303317535544,-0.12476303317535546,0.23933649289099526,0.7488151658767772,0.011848341232227487,10.0,OOS,169,169,1.0,0.2485207100591716,-1.0591715976331362,-0.10591715976331369,0.2485207100591716,0.7514792899408284,0.0,10.0,Discovery,372,372,1.0,0.27419354838709675,-1.646505376344086,-0.16465053763440862,0.1532258064516129,0.6290322580645161,0.21774193548387097,10.0,-1.2476303317535544
reclaim_dip5,fixed,25.0,fixed,40.0,,15,Validation,422,422,1.0,0.3981042654028436,-1.2671800947867298,-0.05068720379146921,0.2985781990521327,0.523696682464455,0.17772511848341233,25.0,OOS,169,169,1.0,0.39644970414201186,-0.23076923076923078,-0.009230769230769223,0.39644970414201186,0.6035502958579881,0.0,25.0,Discovery,372,372,1.0,0.4381720430107527,-1.6310483870967742,-0.06524193548387097,0.11290322580645161,0.3010752688172043,0.5860215053763441,25.0,-1.2671800947867298
reclaim_dip15,fixed,20.0,fixed,40.0,,60,Validation,339,339,1.0,0.35103244837758113,-0.2743362831858407,-0.013716814159292073,0.3392330383480826,0.6489675516224189,0.011799410029498525,20.0,OOS,149,149,1.0,0.3288590604026846,-1.2684563758389262,-0.06342281879194633,0.3288590604026846,0.6711409395973155,0.0,20.0,Discovery,212,212,1.0,0.37264150943396224,0.6945754716981132,0.034728773584905656,0.29245283018867924,0.5283018867924528,0.1792452830188679,20.0,-1.2684563758389262
reclaim_dip15,fixed,20.0,fixed,40.0,,30,Validation,339,339,1.0,0.35103244837758113,-0.37610619469026546,-0.018805309734513297,0.3215339233038348,0.6371681415929203,0.04129793510324484,20.0,OOS,149,149,1.0,0.3288590604026846,-1.2684563758389262,-0.06342281879194633,0.3288590604026846,0.6711409395973155,0.0,20.0,Discovery,212,212,1.0,0.39622641509433965,1.071933962264151,0.05359669811320753,0.25471698113207547,0.4386792452830189,0.30660377358490565,20.0,-1.2684563758389262
