entry_style,rev,impulse,pb,dip,target,split,n,win,E_net,E_R,target_hit,stop_hit,time_exit,median_stop_dist,n_days,n_trig,trig_rate
impulse_pb,10.0,20.0,10.0,,25.0,Validation,183,0.39344262295081966,-2.540983606557377,-0.2043367228470159,0.3879781420765027,0.6065573770491803,0.00546448087431694,19.5,227,183,0.8061674008810573
impulse_pb,10.0,20.0,10.0,,30.0,Discovery,128,0.3359375,-0.236328125,-0.0565707207239524,0.2890625,0.6328125,0.078125,12.125,207,128,0.6183574879227053
impulse_pb,10.0,20.0,10.0,,30.0,OOS,85,0.4470588235294118,-1.7264705882352942,-0.16874091929120388,0.4470588235294118,0.5529411764705883,0.0,28.75,102,85,0.8333333333333334
impulse_pb,10.0,20.0,10.0,,30.0,Validation,183,0.34972677595628415,-2.9262295081967213,-0.21604813073960752,0.33879781420765026,0.644808743169399,0.01639344262295082,19.5,227,183,0.8061674008810573
reclaim_O,5.0,,,5.0,20.0,Discovery,222,0.46846846846846846,-0.7015765765765766,-0.0945249720488448,0.31981981981981983,0.4189189189189189,0.26126126126126126,15.25,367,222,0.6049046321525886
reclaim_O,5.0,,,5.0,20.0,OOS,80,0.625,-5.525,-0.11707519241821725,0.6125,0.3375,0.05,50.375,106,80,0.7547169811320755
reclaim_O,5.0,,,5.0,20.0,Validation,223,0.5560538116591929,-2.5269058295964126,-0.058158091707557334,0.547085201793722,0.4080717488789238,0.04484304932735426,28.25,258,223,0.8643410852713178
reclaim_O,5.0,,,5.0,25.0,Discovery,222,0.4369369369369369,-1.0585585585585586,-0.1093173773936616,0.26126126126126126,0.44144144144144143,0.2972972972972973,15.25,367,222,0.6049046321525886
reclaim_O,5.0,,,5.0,25.0,OOS,80,0.5875,-5.909375,-0.10034200060727701,0.575,0.375,0.05,50.375,106,80,0.7547169811320755
reclaim_O,5.0,,,5.0,25.0,Validation,223,0.47085201793721976,-4.024663677130045,-0.1090263654687317,0.4618834080717489,0.47533632286995514,0.06278026905829596,28.25,258,223,0.8643410852713178
reclaim_O,5.0,,,5.0,30.0,Discovery,222,0.4144144144144144,-1.1216216216216217,-0.11795563730311309,0.22072072072072071,0.4594594594594595,0.31981981981981983,15.25,367,222,0.6049046321525886
reclaim_O,5.0,,,5.0,30.0,OOS,80,0.5625,-4.990625,-0.07547206102475758,0.55,0.4,0.05,50.375,106,80,0.7547169811320755
reclaim_O,5.0,,,5.0,30.0,Validation,223,0.4618834080717489,-2.1939461883408073,-0.04772809270273887,0.4484304932735426,0.4798206278026906,0.07174887892376682,28.25,258,223,0.8643410852713178
