feature,split,horizon_m,tercile,n,ret_mean,ret_median,absret_mean,rv_mean,up_rate
vol_z_tod,Validation,15,low,54884,8.748997403705395e-06,4.519263380842187e-05,0.0007310685986439333,0.0009306199250829506,0.5088185992274615
vol_z_tod,Validation,15,mid,122722,9.554752088417659e-06,5.772005791238044e-05,0.000993815233548611,0.0012397120159007128,0.5138605954922508
vol_z_tod,Validation,15,high,107874,-8.290243093798497e-06,4.345464472788052e-05,0.00142085959286514,0.0017827518417103951,0.5006859855016037
vol_z_tod,Validation,30,low,51707,7.023705897935853e-06,5.5506216696254995e-05,0.0010604745110686046,0.001331700203982555,0.5150559885508732
vol_z_tod,Validation,30,mid,118370,1.570465147730396e-05,0.00010943613042024847,0.001415359597653045,0.001765075359536431,0.5209850468868801
vol_z_tod,Validation,30,high,103793,-1.0551602990974634e-06,6.0565683483781996e-05,0.0020005955322980828,0.0025094592427633566,0.5075968514254333
vol_z_tod,Validation,60,low,46685,5.308513754471701e-06,0.0001244942421412265,0.0015330013082049186,0.0019036653254130443,0.5288208203919889
vol_z_tod,Validation,60,mid,108866,4.6404231879490535e-05,0.0001727401653937033,0.0020213748867346976,0.002500755927729365,0.5290724376756747
vol_z_tod,Validation,60,high,95099,1.7182654670140482e-05,0.00012132977432655068,0.0027868598174340033,0.0034685234468792487,0.5128970861943869
vol_z_tod,OOS,1,low,44368,-2.0754608984290438e-07,0.0,0.00016929192204926598,,0.4571538045438154
vol_z_tod,OOS,1,mid,69701,-4.5718129293723765e-09,0.0,0.00022357149790049738,,0.4705958307628298
vol_z_tod,OOS,1,high,48597,2.600146623937985e-06,0.0,0.00037194073839998397,,0.48309566434142026
vol_z_tod,OOS,5,low,43891,1.4052460635582678e-07,0.0,0.00038170588132038075,0.0004567605527118118,0.4880043744731266
vol_z_tod,OOS,5,mid,69014,1.0805678085930467e-06,0.0,0.0005038210399668059,0.0006023955212797534,0.4949865244732953
vol_z_tod,OOS,5,high,48053,1.2292396283026598e-05,3.3414642296225594e-05,0.0008208460744132442,0.0009722939905881192,0.5013422679125132
vol_z_tod,OOS,15,low,42390,-3.180734210605412e-06,3.217348080808424e-05,0.0006594853287756163,0.0008370083865789062,0.5005425807973579
vol_z_tod,OOS,15,mid,67487,4.6740469284167974e-07,3.6052925694862736e-05,0.00087185830735231,0.0010957524112353116,0.5055936698919792
vol_z_tod,OOS,15,high,46811,3.951665551328078e-05,4.136162468459936e-05,0.0014007711627548648,0.0017370536012768156,0.5079788938497362
vol_z_tod,OOS,30,low,39450,-9.631113112747872e-06,3.604902667619925e-05,0.0009313356577168947,0.0012006992235976531,0.5065145754119138
