feature,split,horizon_m,tercile,n,ret_mean,ret_median,absret_mean,rv_mean,up_rate
signed_vol_proxy,Discovery,60,low,258377,2.7556873094736095e-05,0.00021609473593220407,0.002620772872216268,0.003342044571484948,0.5323151828529629
signed_vol_proxy,Discovery,60,mid,263170,4.3640020775277314e-05,0.00013979822463838776,0.0014775283820997972,0.0019272808984314538,0.5319907284264924
signed_vol_proxy,Discovery,60,high,258799,3.257879466973264e-05,0.0002148073893741831,0.0025471989170953785,0.003244222575353019,0.5323552254838697
signed_vol_proxy,Validation,1,low,139530,-3.083142198023249e-06,1.3697035282533854e-05,0.00040679617568835553,,0.5036479610119687
signed_vol_proxy,Validation,1,mid,13566,6.230153091027197e-06,0.0,0.00021605937845289427,,0.4934394810555801
signed_vol_proxy,Validation,1,high,143220,2.9674496173053343e-06,0.0,0.0003896395323722358,,0.49334590141041756
signed_vol_proxy,Validation,5,low,138079,2.576138556711779e-06,3.653590870889012e-05,0.0009076179013152524,0.001070063002221068,0.5126413140303739
signed_vol_proxy,Validation,5,mid,13440,8.140145633661982e-06,1.2759417774454995e-05,0.00048541865193087234,0.0005949933029258378,0.5034970238095238
signed_vol_proxy,Validation,5,high,141701,-9.020899646272476e-07,2.087769844250076e-05,0.0008731328144044947,0.0010316790029583122,0.5067571859055335
signed_vol_proxy,Validation,15,low,134389,5.035278561316974e-07,6.885155604519078e-05,0.001558928862738593,0.0019158742746770954,0.5171703041171525
signed_vol_proxy,Validation,15,mid,13084,2.449006177657326e-05,4.420019746598225e-05,0.0008570221766918452,0.001104244859165996,0.5236166309996942
signed_vol_proxy,Validation,15,high,138007,7.0951114160264985e-06,6.739112121967317e-05,0.001504024814656676,0.0018604759540018078,0.5172418790351214
signed_vol_proxy,Validation,30,low,128817,1.9832906978317336e-06,0.00011364443497408061,0.0022010806432358216,0.002708925346535101,0.5198925607644954
signed_vol_proxy,Validation,30,mid,12466,7.699624346160575e-05,0.0001024387820478534,0.0012642389111991018,0.001601492900254283,0.5369003690036901
signed_vol_proxy,Validation,30,high,132587,1.7962719992194857e-05,0.00011481495656173735,0.0021345460663974715,0.002632950177624158,0.5212879090710251
signed_vol_proxy,Validation,60,low,118068,1.869733291242386e-05,0.0001843441188019712,0.003069487689204474,0.0037809502173285717,0.5228004200968933
signed_vol_proxy,Validation,60,mid,10999,0.00018075032106948377,0.00021830028043190453,0.0019062206667633693,0.0023659544553841687,0.5548686244204019
signed_vol_proxy,Validation,60,high,121583,5.3329479223581964e-05,0.0002143905536222679,0.0029903162853916715,0.0036803869107312668,0.5293585451913507
signed_vol_proxy,OOS,1,low,72741,4.904308499450224e-06,1.001422019264453e-05,0.0003625884107458344,,0.5049009499456978
