split,horizon_m,feature,target,n,spearman
Validation,15,vol_accel,absret,285480,0.013562945044171009
Validation,15,vol_accel,rv,285480,0.025186596059193975
Validation,15,vol_z_tod,ret,285480,-0.0033653056292231157
Validation,15,vol_z_tod,absret,285480,0.1881058520813203
Validation,15,vol_z_tod,rv,285480,0.35821236551689273
Validation,15,signed_vol_proxy,ret,285480,0.00209800694094727
Validation,15,signed_vol_proxy,absret,285480,-0.015092574296673532
Validation,15,signed_vol_proxy,rv,285480,-0.02429518874307287
Validation,15,signed_vol_proxy_sum_5,ret,282384,0.0019318301309819424
Validation,15,signed_vol_proxy_sum_5,absret,282384,-0.03175451246865261
Validation,15,signed_vol_proxy_sum_5,rv,282384,-0.05329517482885045
Validation,15,signed_vol_proxy_resid,ret,285480,-0.001896405899073789
Validation,15,signed_vol_proxy_resid,absret,285480,-0.007221603342003556
Validation,15,signed_vol_proxy_resid,rv,285480,-0.009651642900944815
Validation,15,ret_per_vol,ret,285480,0.0032490988245770613
Validation,15,ret_per_vol,absret,285480,-0.017340544407107285
Validation,15,ret_per_vol,rv,285480,-0.029805180070133153
Validation,15,absret_per_vol,ret,285480,0.001707793889284448
Validation,15,absret_per_vol,absret,285480,0.07937936484802749
Validation,15,absret_per_vol,rv,285480,0.15549883867922148
Validation,15,range_per_vol,ret,285480,0.003259242950531423
Validation,15,range_per_vol,absret,285480,0.14386773014649362
Validation,15,range_per_vol,rv,285480,0.2817201162880478
Validation,15,vol_x_range,ret,285480,-0.0018525084739411065
Validation,15,vol_x_range,absret,285480,0.34463875084444545
Validation,15,vol_x_range,rv,285480,0.6524877790973179
Validation,15,ret_1m,ret,285480,0.0036292054944679847
Validation,15,ret_1m,absret,285480,-0.0159029242132355
Validation,15,ret_1m,rv,285480,-0.026903599164339813
Validation,15,absret_1m,ret,285480,0.00021446825922448822
Validation,15,absret_1m,absret,285480,0.22422903674823041
Validation,15,absret_1m,rv,285480,0.4213419989406771
Validation,15,range_pct,ret,285480,-0.0012926841931437353
Validation,15,range_pct,absret,285480,0.3829466323644841
Validation,15,range_pct,rv,285480,0.7293509845634287
Validation,30,volume,ret,273870,-0.0024906040352690837
Validation,30,volume,absret,273870,0.24749936463215794
Validation,30,volume,rv,273870,0.47992662440232364
Validation,30,d_volume,ret,273870,-0.00030738420335664485
Validation,30,d_volume,absret,273870,-0.010684230706370831
Validation,30,d_volume,rv,273870,-0.020428458380901203
Validation,30,vol_accel,ret,273870,7.882698694199538e-05
Validation,30,vol_accel,absret,273870,0.01158641370526048
Validation,30,vol_accel,rv,273870,0.024161151726568686
Validation,30,vol_z_tod,ret,273870,-0.005814856983217006
Validation,30,vol_z_tod,absret,273870,0.1827797196132188
Validation,30,vol_z_tod,rv,273870,0.36075821943114844
Validation,30,signed_vol_proxy,ret,273870,0.0027617636784735985
Validation,30,signed_vol_proxy,absret,273870,-0.011561525810132204
Validation,30,signed_vol_proxy,rv,273870,-0.022476974234968455
Validation,30,signed_vol_proxy_sum_5,ret,270774,0.007097777281642359
Validation,30,signed_vol_proxy_sum_5,absret,270774,-0.026667952050802454
Validation,30,signed_vol_proxy_sum_5,rv,270774,-0.05243577357451568
Validation,30,signed_vol_proxy_resid,ret,273870,0.0005398080560742715
Validation,30,signed_vol_proxy_resid,absret,273870,-0.003361303163965584
Validation,30,signed_vol_proxy_resid,rv,273870,-0.008571287408558033
Validation,30,ret_per_vol,ret,273870,0.00301731660168099
Validation,30,ret_per_vol,absret,273870,-0.014522294756713955
Validation,30,ret_per_vol,rv,273870,-0.028184034704625036
Validation,30,absret_per_vol,ret,273870,0.003773299724029419
Validation,30,absret_per_vol,absret,273870,0.08012101255274658
Validation,30,absret_per_vol,rv,273870,0.16505832998007752
Validation,30,range_per_vol,ret,273870,0.006949613896968703
Validation,30,range_per_vol,absret,273870,0.14764312148819575
Validation,30,range_per_vol,rv,273870,0.2976956460924313
Validation,30,vol_x_range,ret,273870,-0.0019008652903696715
Validation,30,vol_x_range,absret,273870,0.3368977221052992
Validation,30,vol_x_range,rv,273870,0.6606491080254037
Validation,30,ret_1m,ret,273870,0.0034100614250031198
Validation,30,ret_1m,absret,273870,-0.012255596825531553
Validation,30,ret_1m,rv,273870,-0.024362998934590634
Validation,30,absret_1m,ret,273870,0.0008678436694566518
Validation,30,absret_1m,absret,273870,0.2198601328409758
Validation,30,absret_1m,rv,273870,0.4307424652580418
Validation,30,range_pct,ret,273870,-0.0007930072991741261
Validation,30,range_pct,absret,273870,0.3784687267435481
Validation,30,range_pct,rv,273870,0.7461779566797544
Validation,60,volume,ret,250650,-0.005928943966482439
Validation,60,volume,absret,250650,0.22696496430406188
Validation,60,volume,rv,250650,0.44891864040313023
Validation,60,d_volume,ret,250650,0.0004298402538589102
Validation,60,d_volume,absret,250650,-0.010023090478141764
Validation,60,d_volume,rv,250650,-0.020449102514534405
Validation,60,vol_accel,ret,250650,-0.00044198430958956555
Validation,60,vol_accel,absret,250650,0.010724890718022875
Validation,60,vol_accel,rv,250650,0.02222339991617648
Validation,60,vol_z_tod,ret,250650,-0.007948681054255502
Validation,60,vol_z_tod,absret,250650,0.17072590155587472
Validation,60,vol_z_tod,rv,250650,0.3413108349795583
Validation,60,signed_vol_proxy,ret,250650,0.006701705277762426
Validation,60,signed_vol_proxy,absret,250650,-0.00969752390051651
Validation,60,signed_vol_proxy,rv,250650,-0.021714646795911757
Validation,60,signed_vol_proxy_sum_5,ret,247554,0.013849659762043751
Validation,60,signed_vol_proxy_sum_5,absret,247554,-0.022821799548817363
Validation,60,signed_vol_proxy_sum_5,rv,247554,-0.05138631857044349
Validation,60,signed_vol_proxy_resid,ret,250650,0.0053022066339030735
Validation,60,signed_vol_proxy_resid,absret,250650,-0.0032251934690282658
Validation,60,signed_vol_proxy_resid,rv,250650,-0.008727941265778656
Validation,60,ret_per_vol,ret,250650,0.004831990447777489
Validation,60,ret_per_vol,absret,250650,-0.012181969104288242
Validation,60,ret_per_vol,rv,250650,-0.025768997202222445
Validation,60,absret_per_vol,ret,250650,0.006917526187784325
Validation,60,absret_per_vol,absret,250650,0.08091907467989791
Validation,60,absret_per_vol,rv,250650,0.17643788981440925
Validation,60,range_per_vol,ret,250650,0.010525380863381008
Validation,60,range_per_vol,absret,250650,0.14688143048036617
Validation,60,range_per_vol,rv,250650,0.320022116310913
Validation,60,vol_x_range,ret,250650,-0.005885103366676125
Validation,60,vol_x_range,absret,250650,0.31398301803565
Validation,60,vol_x_range,rv,250650,0.6372013643227633
Validation,60,ret_1m,ret,250650,0.006190231561579548
Validation,60,ret_1m,absret,250650,-0.010464204128573695
Validation,60,ret_1m,rv,250650,-0.022445810430257576
Validation,60,absret_1m,ret,250650,0.0008305571740840566
Validation,60,absret_1m,absret,250650,0.2085495840973953
Validation,60,absret_1m,rv,250650,0.4236231796211382
Validation,60,range_pct,ret,250650,-0.00397369211748284
Validation,60,range_pct,absret,250650,0.3579792541096585
Validation,60,range_pct,rv,250650,0.7363683326195373
OOS,1,volume,ret,157613,0.008799873630402657
OOS,1,volume,absret,157613,0.35955930224822896
OOS,1,d_volume,ret,157613,-0.005420606704737084
OOS,1,d_volume,absret,157613,-0.006330017271466147
OOS,1,vol_accel,ret,157613,-0.0027354696422769546
OOS,1,vol_accel,absret,157613,0.024689735379353917
OOS,1,vol_z_tod,ret,157613,0.006084501550044437
OOS,1,vol_z_tod,absret,157613,0.2917124086893127
OOS,1,signed_vol_proxy,ret,157613,-0.005745867677898795
OOS,1,signed_vol_proxy,absret,157613,-0.01891423662161906
OOS,1,signed_vol_proxy_sum_5,ret,155965,-0.0009758606566016825
OOS,1,signed_vol_proxy_sum_5,absret,155965,-0.03651203558792619
OOS,1,signed_vol_proxy_resid,ret,157613,-0.0030432517303703908
OOS,1,signed_vol_proxy_resid,absret,157613,-0.004441375329135643
OOS,1,ret_per_vol,ret,157613,-0.008548626585668058
OOS,1,ret_per_vol,absret,157613,-0.02372611459398454
OOS,1,absret_per_vol,ret,157613,0.005626614206327644
OOS,1,absret_per_vol,absret,157613,0.07614463280508978
OOS,1,range_per_vol,ret,157613,-0.00017721678379110201
OOS,1,range_per_vol,absret,157613,0.13010017727550427
OOS,1,vol_x_range,ret,157613,0.009303350803246842
OOS,1,vol_x_range,absret,157613,0.42705502388572547
OOS,1,ret_1m,ret,157613,-0.007934105274520665
OOS,1,ret_1m,absret,157613,-0.022805103581497205
OOS,1,absret_1m,ret,157613,0.009582673072387504
OOS,1,absret_1m,absret,157613,0.2731676385513066
OOS,1,range_pct,ret,157613,0.008885277809098075
OOS,1,range_pct,absret,157613,0.4422534228282631
OOS,5,volume,ret,155965,0.018481204820581045
OOS,5,volume,absret,155965,0.34980891332370034
OOS,5,volume,rv,155965,0.5421072128642943
OOS,5,d_volume,ret,155965,-0.003520010776544141
OOS,5,d_volume,absret,155965,-0.015435918578506397
OOS,5,d_volume,rv,155965,-0.020147314267806846
OOS,5,vol_accel,ret,155965,-0.0006871365473231208
OOS,5,vol_accel,absret,155965,0.016619027272790295
OOS,5,vol_accel,rv,155965,0.02777292673765309
OOS,5,vol_z_tod,ret,155965,0.014306023121512657
OOS,5,vol_z_tod,absret,155965,0.28074357728936744
OOS,5,vol_z_tod,rv,155965,0.4385163651129431
OOS,5,signed_vol_proxy,ret,155965,-0.003859740175127488
OOS,5,signed_vol_proxy,absret,155965,-0.0144463349808273
OOS,5,signed_vol_proxy,rv,155965,-0.02351503208870548
OOS,5,signed_vol_proxy_sum_5,ret,154317,-0.0026837429070957737
OOS,5,signed_vol_proxy_sum_5,absret,154317,-0.02891455872209746
OOS,5,signed_vol_proxy_sum_5,rv,154317,-0.050267701803484686
OOS,5,signed_vol_proxy_resid,ret,155965,-0.0015850227931959223
OOS,5,signed_vol_proxy_resid,absret,155965,-0.0027820232882852024
OOS,5,signed_vol_proxy_resid,rv,155965,-0.0061509778181670785
OOS,5,ret_per_vol,ret,155965,-0.004740282565308774
OOS,5,ret_per_vol,absret,155965,-0.016294470698581698
OOS,5,ret_per_vol,rv,155965,-0.027512169049000088
OOS,5,absret_per_vol,ret,155965,0.001008552098790517
OOS,5,absret_per_vol,absret,155965,0.08315750664460975
OOS,5,absret_per_vol,rv,155965,0.1214099184094051
OOS,5,range_per_vol,ret,155965,-0.0033263833139099944
OOS,5,range_per_vol,absret,155965,0.14753254901277246
OOS,5,range_per_vol,rv,155965,0.21804913142425766
OOS,5,vol_x_range,ret,155965,0.018386942469060998
OOS,5,vol_x_range,absret,155965,0.42227699227895665
OOS,5,vol_x_range,rv,155965,0.651387377624805
OOS,5,ret_1m,ret,155965,-0.004561769037184438
OOS,5,ret_1m,absret,155965,-0.01659843336982479
OOS,5,ret_1m,rv,155965,-0.02657300079978917
OOS,5,absret_1m,ret,155965,0.011266667873429937
OOS,5,absret_1m,absret,155965,0.27250993431369896
OOS,5,absret_1m,rv,155965,0.4157419934253
OOS,5,range_pct,ret,155965,0.015928035761268323
OOS,5,range_pct,absret,155965,0.4436358754790746
OOS,5,range_pct,rv,155965,0.6816601831723615
OOS,15,volume,ret,151845,0.025979587777891344
OOS,15,volume,absret,151845,0.34030406285951886
OOS,15,volume,rv,151845,0.5989018562538726
OOS,15,d_volume,ret,151845,-0.0018893491529515896
OOS,15,d_volume,absret,151845,-0.015186369321216534
OOS,15,d_volume,rv,151845,-0.024793698526791516
OOS,15,vol_accel,ret,151845,0.00022746248191115654
