resolver,session,T_offset,horizon,universe,split,n,win,E
mom5_follow,NY_PM,120,30,HIGH,OOS,136,0.49264705882352944,0.6838235294117647
mom5_follow,NY_PM,120,30,HIGH,Y2025,96,0.5416666666666666,6.609375
mom5_follow,NY_PM,120,30,HIGH,Y2026,40,0.375,-13.5375
mom5_follow,NY_PM,120,60,ALL,IS,2251,0.4704575744113727,-1.1359395824078187
mom5_follow,NY_PM,120,60,ALL,Validation,739,0.4952638700947226,-0.009472259810554804
mom5_follow,NY_PM,120,60,ALL,OOS,394,0.5177664974619289,2.0380710659898478
mom5_follow,NY_PM,120,60,ALL,Y2025,245,0.5306122448979592,3.666326530612245
mom5_follow,NY_PM,120,60,ALL,Y2026,149,0.4966442953020134,-0.639261744966443
mom5_follow,NY_PM,120,60,HIGH,IS,772,0.49870466321243523,-0.2509715025906736
mom5_follow,NY_PM,120,60,HIGH,Validation,293,0.48464163822525597,1.6168941979522184
mom5_follow,NY_PM,120,60,HIGH,OOS,136,0.5955882352941176,11.211397058823529
mom5_follow,NY_PM,120,60,HIGH,Y2025,96,0.6354166666666666,12.341145833333334
mom5_follow,NY_PM,120,60,HIGH,Y2026,40,0.5,8.5
mom5_follow,NY_AM,30,30,ALL,IS,2365,0.48625792811839325,0.5732558139534883
mom5_follow,NY_AM,30,30,ALL,Validation,766,0.5221932114882507,0.5659268929503917
mom5_follow,NY_AM,30,30,ALL,OOS,411,0.48175182481751827,-4.12043795620438
mom5_follow,NY_AM,30,30,ALL,Y2025,256,0.515625,-0.2626953125
mom5_follow,NY_AM,30,30,ALL,Y2026,155,0.4258064516129032,-10.491935483870968
mom5_follow,NY_AM,30,30,HIGH,IS,808,0.4628712871287129,-0.027227722772277228
mom5_follow,NY_AM,30,30,HIGH,Validation,212,0.5235849056603774,0.3290094339622642
mom5_follow,NY_AM,30,30,HIGH,OOS,149,0.436241610738255,-9.092281879194632
mom5_follow,NY_AM,30,30,HIGH,Y2025,87,0.4482758620689655,-11.681034482758621
mom5_follow,NY_AM,30,30,HIGH,Y2026,62,0.41935483870967744,-5.459677419354839
mom5_follow,NY_AM,30,60,ALL,IS,2365,0.4993657505285412,0.21046511627906977
mom5_follow,NY_AM,30,60,ALL,Validation,766,0.5117493472584856,-0.0731070496083551
mom5_follow,NY_AM,30,60,ALL,OOS,411,0.49148418491484186,-1.194647201946472
mom5_follow,NY_AM,30,60,ALL,Y2025,256,0.50390625,0.2255859375
mom5_follow,NY_AM,30,60,ALL,Y2026,155,0.47096774193548385,-3.5403225806451615
mom5_follow,NY_AM,30,60,HIGH,IS,808,0.4839108910891089,0.2939356435643564
mom5_follow,NY_AM,30,60,HIGH,Validation,212,0.5094339622641509,-3.188679245283019
mom5_follow,NY_AM,30,60,HIGH,OOS,149,0.46308724832214765,-4.144295302013423
mom5_follow,NY_AM,30,60,HIGH,Y2025,87,0.4482758620689655,-10.798850574712644
mom5_follow,NY_AM,30,60,HIGH,Y2026,62,0.4838709677419355,5.193548387096774
mom5_follow,NY_AM,60,30,ALL,IS,2337,0.47753530166880614,-0.6243046640992725
mom5_follow,NY_AM,60,30,ALL,Validation,770,0.4987012987012987,-2.1016233766233765
mom5_follow,NY_AM,60,30,ALL,OOS,410,0.5146341463414634,0.4140243902439024
mom5_follow,NY_AM,60,30,ALL,Y2025,256,0.484375,-2.712890625
mom5_follow,NY_AM,60,30,ALL,Y2026,154,0.564935064935065,5.612012987012987
mom5_follow,NY_AM,60,30,HIGH,IS,801,0.4794007490636704,-0.4534956304619226
mom5_follow,NY_AM,60,30,HIGH,Validation,239,0.49372384937238495,-4.559623430962343
mom5_follow,NY_AM,60,30,HIGH,OOS,153,0.4444444444444444,-5.699346405228758
mom5_follow,NY_AM,60,30,HIGH,Y2025,93,0.3870967741935484,-12.806451612903226
mom5_follow,NY_AM,60,30,HIGH,Y2026,60,0.5333333333333333,5.316666666666666
mom5_follow,NY_AM,60,60,ALL,IS,2337,0.4878048780487805,-0.4633076593923834
mom5_follow,NY_AM,60,60,ALL,Validation,770,0.4974025974025974,-0.2798701298701299
mom5_follow,NY_AM,60,60,ALL,OOS,410,0.5048780487804878,7.8341463414634145
mom5_follow,NY_AM,60,60,ALL,Y2025,256,0.5,4.630859375
mom5_follow,NY_AM,60,60,ALL,Y2026,154,0.512987012987013,13.159090909090908
mom5_follow,NY_AM,60,60,HIGH,IS,801,0.5068664169787765,-0.5021847690387016
mom5_follow,NY_AM,60,60,HIGH,Validation,239,0.5104602510460251,-0.8713389121338913
mom5_follow,NY_AM,60,60,HIGH,OOS,153,0.46405228758169936,0.25163398692810457
mom5_follow,NY_AM,60,60,HIGH,Y2025,93,0.46236559139784944,-5.440860215053763
mom5_follow,NY_AM,60,60,HIGH,Y2026,60,0.4666666666666667,9.075
mom5_follow,ASIA,30,30,ALL,IS,1878,0.45580404685835996,-0.8333333333333334
mom5_follow,ASIA,30,30,ALL,Validation,750,0.456,-2.148
mom5_follow,ASIA,30,30,ALL,OOS,407,0.45454545454545453,-1.3531941031941033
mom5_follow,ASIA,30,30,ALL,Y2025,253,0.44664031620553357,0.2509881422924901
mom5_follow,ASIA,30,30,ALL,Y2026,154,0.4675324675324675,-3.9886363636363638
mom5_follow,ASIA,30,30,HIGH,IS,666,0.484984984984985,-1.1193693693693694
mom5_follow,ASIA,30,30,HIGH,Validation,205,0.4682926829268293,-4.171951219512195
mom5_follow,ASIA,30,30,HIGH,OOS,222,0.4774774774774775,-0.6644144144144144
mom5_follow,ASIA,30,30,HIGH,Y2025,126,0.5,4.732142857142857
mom5_follow,ASIA,30,30,HIGH,Y2026,96,0.4479166666666667,-7.747395833333333
mom5_follow,ASIA,30,60,ALL,IS,1878,0.4643237486687966,-1.2097976570820022
mom5_follow,ASIA,30,60,ALL,Validation,750,0.4693333333333333,-2.4156666666666666
mom5_follow,ASIA,30,60,ALL,OOS,407,0.45454545454545453,-4.121007371007371
mom5_follow,ASIA,30,60,ALL,Y2025,253,0.43478260869565216,-3.8932806324110674
mom5_follow,ASIA,30,60,ALL,Y2026,154,0.487012987012987,-4.49512987012987
mom5_follow,ASIA,30,60,HIGH,IS,666,0.466966966966967,-1.617117117117117
mom5_follow,ASIA,30,60,HIGH,Validation,205,0.44878048780487806,-4.7475609756097565
mom5_follow,ASIA,30,60,HIGH,OOS,222,0.4594594594594595,-4.28490990990991
mom5_follow,ASIA,30,60,HIGH,Y2025,126,0.46825396825396826,0.9682539682539683
mom5_follow,ASIA,30,60,HIGH,Y2026,96,0.4479166666666667,-11.1796875
mom5_follow,ASIA,60,30,ALL,IS,1754,0.4646522234891676,-0.49344355758266817
mom5_follow,ASIA,60,30,ALL,Validation,740,0.5094594594594595,0.3320945945945946
mom5_follow,ASIA,60,30,ALL,OOS,404,0.4801980198019802,0.1021039603960396
mom5_follow,ASIA,60,30,ALL,Y2025,251,0.5099601593625498,2.204183266932271
mom5_follow,ASIA,60,30,ALL,Y2026,153,0.43137254901960786,-3.34640522875817
mom5_follow,ASIA,60,30,HIGH,IS,613,0.47145187601957583,-0.5057096247960848
mom5_follow,ASIA,60,30,HIGH,Validation,178,0.47191011235955055,0.30337078651685395
mom5_follow,ASIA,60,30,HIGH,OOS,203,0.49261083743842365,-0.6736453201970444
mom5_follow,ASIA,60,30,HIGH,Y2025,113,0.5398230088495575,2.688053097345133
mom5_follow,ASIA,60,30,HIGH,Y2026,90,0.43333333333333335,-4.894444444444445
mom5_follow,ASIA,60,60,ALL,IS,1754,0.49942987457240595,-0.13839794754846066
mom5_follow,ASIA,60,60,ALL,Validation,740,0.5121621621621621,0.04966216216216216
mom5_follow,ASIA,60,60,ALL,OOS,404,0.4777227722772277,-1.057549504950495
mom5_follow,ASIA,60,60,ALL,Y2025,251,0.50199203187251,2.847609561752988
mom5_follow,ASIA,60,60,ALL,Y2026,153,0.43790849673202614,-7.4640522875816995
mom5_follow,ASIA,60,60,HIGH,IS,613,0.5040783034257749,-0.5595432300163132
mom5_follow,ASIA,60,60,HIGH,Validation,178,0.5,0.23314606741573032
mom5_follow,ASIA,60,60,HIGH,OOS,203,0.46798029556650245,-1.9667487684729064
mom5_follow,ASIA,60,60,HIGH,Y2025,113,0.504424778761062,5.789823008849558
