resolver,session,T_offset,outcome,universe,split,n,win,E
bar1_follow,NY_PM,60,SESS_END,HIGH,IS,728,0.49313186813186816,-3.0442994505494507
bar1_follow,NY_PM,60,SESS_END,HIGH,Validation,291,0.5360824742268041,3.04553264604811
bar1_follow,NY_PM,60,SESS_END,HIGH,OOS,140,0.5214285714285715,19.173214285714284
bar1_follow,NY_PM,90,H30,ALL,IS,2113,0.4940842404164695,0.4907714150496924
bar1_follow,NY_PM,90,H30,ALL,Validation,729,0.5185185185185185,1.7352537722908092
bar1_follow,NY_PM,90,H30,ALL,OOS,388,0.5128865979381443,-0.19458762886597938
bar1_follow,NY_PM,90,H30,HIGH,IS,721,0.4646324549237171,0.1369625520110957
bar1_follow,NY_PM,90,H30,HIGH,Validation,288,0.5833333333333334,7.566840277777778
bar1_follow,NY_PM,90,H30,HIGH,OOS,138,0.463768115942029,-0.907608695652174
bar1_follow,NY_PM,90,H60,ALL,IS,2113,0.4798864174159962,-0.20421202082347373
bar1_follow,NY_PM,90,H60,ALL,Validation,729,0.4869684499314129,0.3045267489711934
bar1_follow,NY_PM,90,H60,ALL,OOS,388,0.4948453608247423,2.285438144329897
bar1_follow,NY_PM,90,H60,HIGH,IS,721,0.46601941747572817,-0.8852288488210819
bar1_follow,NY_PM,90,H60,HIGH,Validation,288,0.5277777777777778,6.803819444444445
bar1_follow,NY_PM,90,H60,HIGH,OOS,138,0.5,5.050724637681159
bar1_follow,NY_PM,90,SESS_END,ALL,IS,2113,0.493610979649787,1.2720066256507336
bar1_follow,NY_PM,90,SESS_END,ALL,Validation,729,0.51440329218107,3.5065157750342935
bar1_follow,NY_PM,90,SESS_END,ALL,OOS,388,0.49742268041237114,0.8608247422680413
bar1_follow,NY_PM,90,SESS_END,HIGH,IS,721,0.47295423023578365,1.1872399445214978
bar1_follow,NY_PM,90,SESS_END,HIGH,Validation,288,0.5486111111111112,17.07378472222222
bar1_follow,NY_PM,90,SESS_END,HIGH,OOS,138,0.5,1.1684782608695652
bar1_follow,NY_PM,120,H30,ALL,IS,2165,0.49930715935334874,0.022863741339491917
bar1_follow,NY_PM,120,H30,ALL,Validation,730,0.5301369863013699,1.731164383561644
bar1_follow,NY_PM,120,H30,ALL,OOS,393,0.5063613231552163,3.377862595419847
bar1_follow,NY_PM,120,H30,HIGH,IS,742,0.49056603773584906,-0.444743935309973
bar1_follow,NY_PM,120,H30,HIGH,Validation,288,0.5173611111111112,0.7569444444444444
bar1_follow,NY_PM,120,H30,HIGH,OOS,136,0.5,4.288602941176471
bar1_follow,NY_PM,120,H60,ALL,IS,2165,0.49191685912240185,0.05369515011547344
bar1_follow,NY_PM,120,H60,ALL,Validation,730,0.5246575342465754,2.7315068493150685
bar1_follow,NY_PM,120,H60,ALL,OOS,393,0.4961832061068702,2.339058524173028
bar1_follow,NY_PM,120,H60,HIGH,IS,742,0.47304582210242585,-0.466644204851752
bar1_follow,NY_PM,120,H60,HIGH,Validation,288,0.5034722222222222,-0.4401041666666667
bar1_follow,NY_PM,120,H60,HIGH,OOS,136,0.5,4.28125
bar1_follow,NY_PM,120,SESS_END,ALL,IS,2165,0.4896073903002309,-0.3130484988452656
bar1_follow,NY_PM,120,SESS_END,ALL,Validation,730,0.5068493150684932,5.5404109589041095
bar1_follow,NY_PM,120,SESS_END,ALL,OOS,393,0.5139949109414759,2.653944020356234
bar1_follow,NY_PM,120,SESS_END,HIGH,IS,742,0.5107816711590296,-0.8598382749326146
bar1_follow,NY_PM,120,SESS_END,HIGH,Validation,288,0.4722222222222222,0.5755208333333334
bar1_follow,NY_PM,120,SESS_END,HIGH,OOS,136,0.49264705882352944,-5.305147058823529
bar1_follow,NY_AM,15,H30,ALL,IS,2312,0.5108131487889274,0.3771626297577855
