session,resolver,T_offset,horizon,universe,split,n,win,E,E_net
NY_AM,agree_follow,90,30,LOW,Validation,236,0.4872881355932203,2.70021186440678,1.7002118644067796
NY_AM,agree_follow,90,30,LOW,OOS,122,0.4918032786885246,-0.35655737704918034,-1.3565573770491803
NY_AM,agree_follow,90,30,LOW,Y2025,77,0.44155844155844154,-3.081168831168831,-4.0811688311688314
NY_AM,agree_follow,90,30,LOW,Y2026,45,0.5777777777777777,4.305555555555555,3.3055555555555554
ASIA,follow_es,15,15,ALL,IS,2048,0.4541015625,0.0789794921875,-0.9210205078125
ASIA,follow_es,15,15,ALL,Validation,748,0.44385026737967914,-0.39237967914438504,-1.392379679144385
ASIA,follow_es,15,15,ALL,OOS,405,0.45925925925925926,-0.7055555555555556,-1.7055555555555555
ASIA,follow_es,15,15,ALL,Y2025,251,0.4701195219123506,-0.029880478087649404,-1.0298804780876494
ASIA,follow_es,15,15,ALL,Y2026,154,0.44155844155844154,-1.8068181818181819,-2.8068181818181817
ASIA,follow_es,15,15,HIGH,IS,721,0.44798890429958393,0.08217753120665743,-0.9178224687933426
ASIA,follow_es,15,15,HIGH,Validation,214,0.42990654205607476,-0.4719626168224299,-1.47196261682243
ASIA,follow_es,15,15,HIGH,OOS,225,0.48444444444444446,-0.3433333333333333,-1.3433333333333333
ASIA,follow_es,15,15,HIGH,Y2025,128,0.4765625,0.091796875,-0.908203125
ASIA,follow_es,15,15,HIGH,Y2026,97,0.4948453608247423,-0.9175257731958762,-1.9175257731958764
ASIA,follow_es,15,15,LOW,IS,648,0.44753086419753085,0.020061728395061727,-0.9799382716049383
ASIA,follow_es,15,15,LOW,Validation,315,0.4888888888888889,0.09047619047619047,-0.9095238095238095
ASIA,follow_es,15,15,LOW,OOS,50,0.44,-2.085,-3.085
ASIA,follow_es,15,15,LOW,Y2025,34,0.47058823529411764,-1.536764705882353,-2.536764705882353
ASIA,follow_es,15,15,LOW,Y2026,16,0.375,-3.25,-4.25
ASIA,follow_es,15,30,ALL,IS,2048,0.458984375,-0.0982666015625,-1.0982666015625
ASIA,follow_es,15,30,ALL,Validation,748,0.4532085561497326,-0.7777406417112299,-1.77774064171123
ASIA,follow_es,15,30,ALL,OOS,405,0.49135802469135803,-0.23703703703703705,-1.237037037037037
ASIA,follow_es,15,30,ALL,Y2025,251,0.4900398406374502,-0.7470119521912351,-1.747011952191235
ASIA,follow_es,15,30,ALL,Y2026,154,0.4935064935064935,0.5941558441558441,-0.40584415584415584
ASIA,follow_es,15,30,HIGH,IS,721,0.44660194174757284,-0.23058252427184467,-1.2305825242718447
ASIA,follow_es,15,30,HIGH,Validation,214,0.4532710280373832,-1.485981308411215,-2.485981308411215
ASIA,follow_es,15,30,HIGH,OOS,225,0.49777777777777776,0.10666666666666667,-0.8933333333333333
ASIA,follow_es,15,30,HIGH,Y2025,128,0.46875,-1.583984375,-2.583984375
ASIA,follow_es,15,30,HIGH,Y2026,97,0.5360824742268041,2.3376288659793816,1.3376288659793814
ASIA,follow_es,15,30,LOW,IS,648,0.4506172839506173,-0.10108024691358025,-1.1010802469135803
ASIA,follow_es,15,30,LOW,Validation,315,0.5047619047619047,0.2119047619047619,-0.7880952380952381
ASIA,follow_es,15,30,LOW,OOS,50,0.5,2.09,1.09
ASIA,follow_es,15,30,LOW,Y2025,34,0.5,2.7426470588235294,1.7426470588235294
ASIA,follow_es,15,30,LOW,Y2026,16,0.5,0.703125,-0.296875
ASIA,follow_es,30,15,ALL,IS,1996,0.4283567134268537,-0.23108717434869738,-1.2310871743486973
ASIA,follow_es,30,15,ALL,Validation,748,0.49064171122994654,-0.38636363636363635,-1.3863636363636365
ASIA,follow_es,30,15,ALL,OOS,407,0.5085995085995086,0.6603194103194103,-0.3396805896805897
ASIA,follow_es,30,15,ALL,Y2025,253,0.49407114624505927,-0.6017786561264822,-1.6017786561264822
ASIA,follow_es,30,15,ALL,Y2026,154,0.5324675324675324,2.7337662337662336,1.7337662337662338
ASIA,follow_es,30,15,HIGH,IS,706,0.4235127478753541,-0.06515580736543909,-1.065155807365439
ASIA,follow_es,30,15,HIGH,Validation,201,0.48756218905472637,0.07587064676616916,-0.9241293532338308
ASIA,follow_es,30,15,HIGH,OOS,221,0.5067873303167421,0.8687782805429864,-0.13122171945701358
ASIA,follow_es,30,15,HIGH,Y2025,125,0.472,-1.034,-2.034
ASIA,follow_es,30,15,HIGH,Y2026,96,0.5520833333333334,3.3463541666666665,2.3463541666666665
ASIA,follow_es,30,15,LOW,IS,629,0.4356120826709062,-0.1609697933227345,-1.1609697933227345
ASIA,follow_es,30,15,LOW,Validation,321,0.48598130841121495,-0.6728971962616822,-1.6728971962616823
ASIA,follow_es,30,15,LOW,OOS,56,0.5535714285714286,2.1964285714285716,1.1964285714285714
ASIA,follow_es,30,15,LOW,Y2025,40,0.575,0.19375,-0.80625
ASIA,follow_es,30,15,LOW,Y2026,16,0.5,7.203125,6.203125
ASIA,follow_es,30,30,ALL,IS,1996,0.4438877755511022,-0.6095941883767535,-1.6095941883767535
ASIA,follow_es,30,30,ALL,Validation,748,0.47593582887700536,-1.4461898395721926,-2.4461898395721926
ASIA,follow_es,30,30,ALL,OOS,407,0.5184275184275184,0.9932432432432432,-0.006756756756756757
ASIA,follow_es,30,30,ALL,Y2025,253,0.4901185770750988,-1.0563241106719368,-2.0563241106719365
ASIA,follow_es,30,30,ALL,Y2026,154,0.564935064935065,4.3603896103896105,3.3603896103896105
ASIA,follow_es,30,30,HIGH,IS,706,0.4490084985835694,-0.8339235127478754,-1.8339235127478755
ASIA,follow_es,30,30,HIGH,Validation,201,0.4925373134328358,-2.834577114427861,-3.834577114427861
ASIA,follow_es,30,30,HIGH,OOS,221,0.5067873303167421,2.6085972850678734,1.6085972850678734
ASIA,follow_es,30,30,HIGH,Y2025,125,0.488,-0.094,-1.094
ASIA,follow_es,30,30,HIGH,Y2026,96,0.53125,6.127604166666667,5.127604166666667
ASIA,follow_es,30,30,LOW,IS,629,0.45310015898251194,-0.34340222575516693,-1.343402225755167
ASIA,follow_es,30,30,LOW,Validation,321,0.4485981308411215,-1.675233644859813,-2.675233644859813
ASIA,follow_es,30,30,LOW,OOS,56,0.5535714285714286,1.7767857142857142,0.7767857142857143
ASIA,follow_es,30,30,LOW,Y2025,40,0.475,0.11875,-0.88125
ASIA,follow_es,30,30,LOW,Y2026,16,0.75,5.921875,4.921875
ASIA,follow_es,60,15,ALL,IS,1875,0.46986666666666665,-0.1588,-1.1588
ASIA,follow_es,60,15,ALL,Validation,754,0.47745358090185674,-0.41080901856763924,-1.4108090185676392
ASIA,follow_es,60,15,ALL,OOS,406,0.47044334975369456,-0.5671182266009852,-1.5671182266009853
ASIA,follow_es,60,15,ALL,Y2025,253,0.4505928853754941,-1.2440711462450593,-2.244071146245059
ASIA,follow_es,60,15,ALL,Y2026,153,0.5032679738562091,0.5522875816993464,-0.4477124183006536
ASIA,follow_es,60,15,HIGH,IS,653,0.47473200612557426,0.036753445635528334,-0.9632465543644717
ASIA,follow_es,60,15,HIGH,Validation,182,0.4725274725274725,-0.7815934065934066,-1.7815934065934067
ASIA,follow_es,60,15,HIGH,OOS,205,0.4878048780487805,0.8646341463414634,-0.1353658536585366
ASIA,follow_es,60,15,HIGH,Y2025,115,0.4260869565217391,-1.3369565217391304,-2.3369565217391304
ASIA,follow_es,60,15,HIGH,Y2026,90,0.5666666666666667,3.6777777777777776,2.6777777777777776
ASIA,follow_es,60,15,LOW,IS,609,0.44991789819376027,-0.3440065681444992,-1.3440065681444993
ASIA,follow_es,60,15,LOW,Validation,343,0.4752186588921283,-0.6559766763848397,-1.6559766763848396
ASIA,follow_es,60,15,LOW,OOS,70,0.35714285714285715,-5.885714285714286,-6.885714285714286
ASIA,follow_es,60,15,LOW,Y2025,51,0.35294117647058826,-6.328431372549019,-7.328431372549019
ASIA,follow_es,60,15,LOW,Y2026,19,0.3684210526315789,-4.697368421052632,-5.697368421052632
ASIA,follow_es,60,30,ALL,IS,1875,0.44906666666666667,-0.3449333333333333,-1.3449333333333333
ASIA,follow_es,60,30,ALL,Validation,754,0.4907161803713528,-0.4383289124668435,-1.4383289124668435
ASIA,follow_es,60,30,ALL,OOS,406,0.49014778325123154,-0.21674876847290642,-1.2167487684729064
ASIA,follow_es,60,30,ALL,Y2025,253,0.4782608695652174,-0.040513833992094864,-1.040513833992095
ASIA,follow_es,60,30,ALL,Y2026,153,0.5098039215686274,-0.5081699346405228,-1.5081699346405228
ASIA,follow_es,60,30,HIGH,IS,653,0.4349157733537519,-0.08001531393568147,-1.0800153139356814
ASIA,follow_es,60,30,HIGH,Validation,182,0.47802197802197804,-0.020604395604395604,-1.0206043956043955
ASIA,follow_es,60,30,HIGH,OOS,205,0.5073170731707317,1.7353658536585366,0.7353658536585366
ASIA,follow_es,60,30,HIGH,Y2025,115,0.4608695652173913,0.4782608695652174,-0.5217391304347826
ASIA,follow_es,60,30,HIGH,Y2026,90,0.5666666666666667,3.341666666666667,2.341666666666667
ASIA,follow_es,60,30,LOW,IS,609,0.4548440065681445,-0.6186371100164204,-1.6186371100164203
ASIA,follow_es,60,30,LOW,Validation,343,0.4839650145772595,-1.0787172011661808,-2.0787172011661808
ASIA,follow_es,60,30,LOW,OOS,70,0.4142857142857143,-8.803571428571429,-9.803571428571429
ASIA,follow_es,60,30,LOW,Y2025,51,0.37254901960784315,-10.916666666666666,-11.916666666666666
ASIA,follow_es,60,30,LOW,Y2026,19,0.5263157894736842,-3.1315789473684212,-4.131578947368421
ASIA,follow_es,90,15,ALL,IS,1705,0.4621700879765396,-0.059530791788856306,-1.0595307917888563
ASIA,follow_es,90,15,ALL,Validation,757,0.4557463672391017,-0.14398943196829592,-1.143989431968296
ASIA,follow_es,90,15,ALL,OOS,404,0.49257425742574257,-0.41707920792079206,-1.4170792079207921
ASIA,follow_es,90,15,ALL,Y2025,250,0.468,-1.23,-2.23
ASIA,follow_es,90,15,ALL,Y2026,154,0.5324675324675324,0.9025974025974026,-0.09740259740259741
ASIA,follow_es,90,15,HIGH,IS,592,0.46114864864864863,0.06376689189189189,-0.9362331081081081
ASIA,follow_es,90,15,HIGH,Validation,167,0.46706586826347307,0.5763473053892215,-0.4236526946107784
ASIA,follow_es,90,15,HIGH,OOS,201,0.5323383084577115,-0.1281094527363184,-1.1281094527363185
ASIA,follow_es,90,15,HIGH,Y2025,112,0.5625,0.390625,-0.609375
ASIA,follow_es,90,15,HIGH,Y2026,89,0.4943820224719101,-0.7808988764044944,-1.7808988764044944
ASIA,follow_es,90,15,LOW,IS,545,0.47522935779816516,-0.13211009174311927,-1.1321100917431193
ASIA,follow_es,90,15,LOW,Validation,358,0.4888268156424581,-0.13337988826815642,-1.1333798882681565
ASIA,follow_es,90,15,LOW,OOS,68,0.5294117647058824,1.6286764705882353,0.6286764705882353
ASIA,follow_es,90,15,LOW,Y2025,43,0.4418604651162791,-1.5,-2.5
ASIA,follow_es,90,15,LOW,Y2026,25,0.68,7.01,6.01
