run,n_trades,total_pnl_nq,expectancy_r,expectancy_usd
173,400,-18720.749999999614,-0.11406719846550051,-46.801874999999036
174,400,1986.7499999996653,-0.10417886005588305,4.966874999999163
175,400,-18585.49999999997,-0.19329288655470755,-46.463749999999926
176,400,4170.749999999944,-0.026070306128211183,10.426874999999859
177,400,-13883.999999999842,-0.09000188351332636,-34.7099999999996
178,400,-3041.9999999998163,-0.06597859471952916,-7.60499999999954
179,400,10118.000000000202,-0.061867342273180324,25.295000000000506
180,400,7522.249999999885,-0.023350369155418483,18.805624999999715
181,400,-1293.4999999998217,-0.11382027491759608,-3.2337499999995543
182,400,-1313.2500000000891,-0.08221247331595738,-3.283125000000223
183,400,-20286.999999999724,-0.1413461467652218,-50.71749999999931
184,400,-13509.499999999702,-0.1120534682231536,-33.773749999999254
185,400,-6239.750000000167,-0.040515104908040674,-15.599375000000418
186,400,-9196.749999999553,-0.11531200967593076,-22.99187499999888
187,400,-4797.250000000031,-0.12187122999489816,-11.993125000000077
188,400,-19368.75000000013,-0.16709101299241547,-48.42187500000033
189,400,-11738.250000000102,-0.030055721667617226,-29.345625000000254
190,400,-1477.7499999997144,-0.09779033195138188,-3.694374999999286
191,400,14008.999999999696,0.06904644497767533,35.02249999999924
192,400,857.7499999998145,-0.01755166078866632,2.144374999999536
193,400,-4740.249999999805,-0.09016526173813773,-11.850624999999514
194,400,9152.49999999999,0.10297777222585383,22.881249999999977
195,400,-17304.500000000095,-0.13020859873353618,-43.26125000000024
196,400,5013.9999999997235,-0.025977185547325685,12.53499999999931
197,400,12116.750000000025,-0.08905276155729032,30.291875000000065
198,400,-4004.7499999999673,0.05238130183399752,-10.011874999999918
199,400,-10470.499999999902,-0.19051085332820544,-26.176249999999754
200,400,-6295.499999999993,0.015827857702019874,-15.738749999999982
201,400,17401.49999999997,0.0618388851179342,43.503749999999926
202,400,-13112.499999999796,-0.018166945080873534,-32.78124999999949
203,400,-6064.500000000144,-0.05238736581579238,-15.16125000000036
204,400,-6275.750000000398,-0.19899147313703153,-15.689375000000997
205,400,-2316.5000000000646,-0.0471631832854979,-5.791250000000161
206,400,-56.99999999992542,-0.08382425748723382,-0.14249999999981355
207,400,-26711.49999999977,-0.10193750616785759,-66.77874999999943
208,400,5013.250000000062,-0.089154523934575,12.533125000000155
209,400,-5267.749999999933,-0.010286013446935449,-13.169374999999832
210,400,14804.499999999785,0.006564583658885836,37.011249999999464
211,400,-19216.49999999984,-0.16329712675169128,-48.0412499999996
212,400,-4433.750000000073,-0.07901141900622954,-11.084375000000183
213,400,-25.250000000337423,-0.032368244016497565,-0.06312500000084356
214,400,12606.500000000084,0.031243138756530463,31.51625000000021
215,400,-3682.7499999998145,-0.08009284209846572,-9.206874999999537
216,400,686.5000000002692,0.0299806525738794,1.716250000000673
217,400,-5510.500000000047,-0.06043131074148169,-13.776250000000118
218,400,-21767.25000000009,-0.11788162794637909,-54.41812500000023
219,400,-3925.4999999998927,-0.09011502534767932,-9.813749999999732
220,400,-1940.5000000003656,0.03213496496967887,-4.851250000000914
221,400,-8989.750000000076,-0.06010620045446467,-22.47437500000019
222,400,-16270.750000000116,-0.10133206132306817,-40.676875000000294
223,400,453.5000000000218,-0.1138370708638272,1.1337500000000547
224,400,-3518.50000000004,-0.03696398297008794,-8.7962500000001
225,400,-11769.25000000029,-0.1729192753115352,-29.423125000000724
226,400,-8822.499999999936,-0.1004652312736384,-22.056249999999842
227,400,11139.500000000107,-0.03744109210894783,27.84875000000027
228,400,-13206.750000000126,-0.1165917952314293,-33.01687500000031
229,400,-15330.500000000102,-0.11709266731303895,-38.32625000000026
230,400,-3734.4999999998345,0.01620814712645927,-9.336249999999586
231,400,10270.49999999981,-0.01605449547646961,25.676249999999527
232,400,-16021.750000000065,-0.09133075973157247,-40.054375000000164
233,400,-2353.7500000001182,-0.01866554226963217,-5.884375000000295
234,400,28251.500000000146,0.017783530964533997,70.62875000000037
235,400,-20363.750000000087,-0.15136036352974477,-50.90937500000022
236,400,-6298.249999999962,-0.03923051591844148,-15.745624999999905
237,400,-7987.499999999786,-0.08891267407687113,-19.968749999999467
238,400,-5539.500000000244,-0.07483961023735292,-13.84875000000061
239,400,4683.999999999769,-0.09704320051938325,11.709999999999422
240,400,-6609.249999999597,-0.09494445036649321,-16.52312499999899
241,400,-2658.7500000000637,-0.05367058581393668,-6.6468750000001595
242,400,-10405.750000000044,0.013235534661280033,-26.014375000000108
243,400,9093.999999999782,-0.09491666759894453,22.734999999999456
244,400,-5485.499999999779,-0.07338219606372927,-13.713749999999447
245,400,18210.750000000015,0.02153573608004243,45.52687500000004
246,400,1297.2500000000673,0.033925406324406014,3.2431250000001683
247,400,-22008.750000000116,-0.10265515650267976,-55.02187500000029
248,400,-14882.999999999975,-0.14313113853545442,-37.20749999999994
249,400,-1987.9999999999382,-0.10415291825850036,-4.969999999999845
250,400,-22276.000000000295,-0.22721190599394248,-55.69000000000074
251,400,-2410.24999999981,-0.023018306552007973,-6.025624999999525
252,400,-17603.749999999964,-0.1060461969408043,-44.009374999999906
253,400,3790.2499999998327,-0.008715785308839373,9.475624999999582
254,400,-15628.250000000216,-0.1673479009773845,-39.07062500000054
255,400,-20183.99999999984,-0.21159235938451,-50.4599999999996
256,400,-4668.250000000015,-0.10188841748901636,-11.670625000000037
257,400,14928.750000000291,0.04731741092727947,37.32187500000073
