session_date,variant,sl_mode,tp_mode,bias,daily_fvg_state,h7_state,entry_ts,entry_price,sl,tp,tp_used,exit_ts,exit_price,exit_reason,r_mult,pnl_pts,pnl_nq,pnl_mnq,risk_pts,weekday,entry_hour,grid_key
2012-03-12,D,B,liquidity,1,confirmed,no_cont,2012-03-12 09:09:00-04:00,2642.5,2639.0,2643.0,liquidity,2012-03-12 09:10:00-04:00,2642.75,TP,0.0,0.0,-5.0,-5.0,3.5,0,9,D_SLB_TPliquidity
2012-08-22,D,B,liquidity,1,confirmed,cont_match,2012-08-22 08:34:00-04:00,2770.0,2766.75,2771.5,liquidity,2012-08-22 08:35:00-04:00,2771.25,TP,0.3076923076923077,1.0,15.0,-3.0,3.25,2,8,D_SLB_TPliquidity
2012-09-27,D,B,liquidity,-1,untested,no_cont,2012-09-27 08:34:00-04:00,2782.5,2787.75,2781.5,liquidity,2012-09-27 08:40:00-04:00,2781.75,TP,0.09523809523809523,0.5,5.0,-4.0,5.25,3,8,D_SLB_TPliquidity
2012-10-01,D,B,liquidity,-1,confirmed,no_cont,2012-10-01 09:04:00-04:00,2808.75,2809.25,2807.25,liquidity,2012-10-01 09:10:00-04:00,2807.5,TP,2.0,1.0,15.0,-3.0,0.5,0,9,D_SLB_TPliquidity
2012-10-02,D,B,liquidity,-1,confirmed,no_cont,2012-10-02 09:19:00-04:00,2799.75,2800.5,2798.25,liquidity,2012-10-02 09:30:00-04:00,2800.75,SL_samebar_priority,-1.6666666666666667,-1.25,-30.0,-7.5,0.75,1,9,D_SLB_TPliquidity
2012-12-19,D,B,liquidity,1,confirmed,cont_match,2012-12-19 09:54:00-05:00,2703.5,2702.75,2703.75,liquidity,2012-12-19 09:55:00-05:00,2702.5,SL,-1.6666666666666667,-1.25,-30.0,-7.5,0.75,2,9,D_SLB_TPliquidity
2013-03-13,D,B,liquidity,1,confirmed,no_cont,2013-03-13 08:34:00-04:00,2799.75,2790.75,2800.5,liquidity,2013-03-13 09:40:00-04:00,2790.5,SL,-1.0555555555555556,-9.5,-195.0,-24.0,9.0,2,8,D_SLB_TPliquidity
2013-04-03,D,B,liquidity,-1,confirmed,no_cont,2013-04-03 08:34:00-04:00,2813.75,2817.5,2813.0,liquidity,2013-04-03 09:32:00-04:00,2817.75,SL,-1.1333333333333333,-4.25,-90.0,-13.5,3.75,2,8,D_SLB_TPliquidity
2013-06-03,D,B,liquidity,1,untested,no_cont,2013-06-03 09:04:00-04:00,2986.25,2986.0,2986.5,liquidity,2013-06-03 09:05:00-04:00,2985.75,SL_samebar_priority,-3.0,-0.75,-20.0,-6.5,0.25,0,9,D_SLB_TPliquidity
2013-06-14,D,B,liquidity,1,confirmed,no_cont,2013-06-14 08:34:00-04:00,2956.75,2952.75,2957.5,liquidity,2013-06-14 08:46:00-04:00,2957.25,TP,0.0625,0.25,0.0,-4.5,4.0,4,8,D_SLB_TPliquidity
