study,group,horizon,N,mean,median,std,p25,p75,positive_fraction,ci_low,ci_high,continuation_fraction,median_mfe,median_mae,continuation_share,reversal_share,unresolved_share,continuation_n,reversal_n,reached_fraction
passage,first|from_above,30,28,,,,,,,,,,,,0.5357142857142857,0.4642857142857143,0.0,15.0,13.0,
time_to_target,first|from_above|5pt,30,24,43.414117452333336,9.625066562,68.14518037350007,2.391842794,46.392144381,0.9583333333333334,18.163207531252084,72.46917508181248,,,,,,,,,0.8571428571428571
time_to_target,first|from_above|10pt,30,23,118.79794817713045,40.24969687,217.38729747936839,10.413125651000001,105.479673299,1.0,48.71721909867391,213.94085940094567,,,,,,,,,0.8214285714285714
time_to_target,first|from_above|15pt,30,22,202.81898540909094,90.073128593,297.6146447697104,20.0108834785,288.7391420675,1.0,99.59614980828634,333.47066317601144,,,,,,,,,0.7857142857142857
time_to_target,first|from_above|20pt,30,21,310.43379124866664,128.157475458,408.0710581545464,28.915999786,343.730656362,1.0,153.97419868615717,484.7496150202924,,,,,,,,,0.75
passage,first|from_below,30,22,,,,,,,,,,,,0.45454545454545453,0.5454545454545454,0.0,10.0,12.0,
time_to_target,first|from_below|5pt,30,18,168.522939668,15.621665740000001,319.59204362791803,2.1982095225,125.0371868885,0.9444444444444444,41.72944160089166,311.26736472239173,,,,,,,,,0.8181818181818182
time_to_target,first|from_below|10pt,30,16,304.972380441875,106.406319403,431.74849744366463,10.3052836665,411.0033854455,1.0,109.81436165537811,525.220218270747,,,,,,,,,0.7272727272727273
time_to_target,first|from_below|15pt,30,12,269.0916142093334,137.350654266,342.82767129941544,20.4023753505,361.813336727,1.0,110.3478083266375,481.15077529563746,,,,,,,,,0.5454545454545454
time_to_target,first|from_below|20pt,30,9,241.39950849688887,178.743729588,289.84646950867455,10.96423626,394.381167594,1.0,80.91427949111112,429.3362591174111,,,,,,,,,0.4090909090909091
passage,subsequent|from_above,30,6742,,,,,,,,,,,,0.5004449718184515,0.4994067042420647,0.0,3374.0,3367.0,
time_to_target,subsequent|from_above|5pt,30,6099,126.20364422163978,21.112614116,273.0381985837533,5.230946665,96.621434104,0.9975405804230202,119.43026094059691,133.07853902276466,,,,,,,,,0.9046277069118955
time_to_target,subsequent|from_above|10pt,30,5718,220.89577765129488,63.24665557,354.47095349484516,18.3824842655,250.665325652,0.9991255683805527,212.0747987774425,229.96484626179446,,,,,,,,,0.8481162859685554
time_to_target,subsequent|from_above|15pt,30,5158,306.82006118982855,115.739543447,417.45191200908073,38.15383337,382.6437309835,0.9994183792167507,295.844625835016,318.0215430675082,,,,,,,,,0.765054879857609
time_to_target,subsequent|from_above|20pt,30,4431,363.9209229297788,157.192474804,440.97024553245984,57.000846701,512.706284438,1.0,350.5331354863415,377.68160029732167,,,,,,,,,0.6572233758528626
passage,subsequent|from_below,30,6695,,,,,,,,,,,,0.47886482449589246,0.5211351755041076,0.0,3206.0,3489.0,
time_to_target,subsequent|from_below|5pt,30,6094,117.94253566509583,26.297275215,238.47969543985005,6.2543495280000005,102.82663076,0.998851329176239,112.2511641394675,123.9956981759131,,,,,,,,,0.9102315160567588
time_to_target,subsequent|from_below|10pt,30,5669,217.26529641179928,78.62841087,320.66674923889644,20.952273576,265.78793772,1.0,208.62286010048345,225.6909277850042,,,,,,,,,0.8467513069454817
time_to_target,subsequent|from_below|15pt,30,5012,296.5536910737919,141.925440476,360.52631518746165,41.4915510535,429.59951865,1.0,287.1499479407258,306.9181355490219,,,,,,,,,0.7486183719193428
time_to_target,subsequent|from_below|20pt,30,4614,380.64817558217425,209.260655366,415.5462046856155,67.136431797,558.6291166545,1.0,368.66904310929203,392.5599638814557,,,,,,,,,0.6891710231516057
control,all,1,96226,0.01574678361357637,0.0,10.154892492783768,-4.0,4.25,0.49319310789183796,-0.04889888127948787,0.0809662279425519,,,,,,,,,
control,all,3,32016,0.048218078460769614,0.25,17.379882943250223,-7.0,7.5,0.5009682658670664,-0.15446202679910043,0.2476207208895551,,,,,,,,,
control,all,5,19202,0.09739870846786793,0.25,22.655319968316565,-9.25,9.75,0.5026559733361108,-0.21538772002916362,0.4274209717737736,,,,,,,,,
control,range_low,5,6589,0.3335103961147367,0.25,18.107148101555538,-7.5,8.5,0.5087266656548793,-0.11142718925481863,0.7738930414326906,,,,,,,,,
control,range_mid,5,6317,0.08041791989868609,0.25,19.744268384922268,-8.5,9.25,0.5043533322779801,-0.4207742995092607,0.5727748535697325,,,,,,,,,
control,range_high,5,6296,-0.1326635959339263,-0.25,28.830158496903067,-12.75,12.75,0.4945997458703939,-0.8094157004447268,0.5240609116899618,,,,,,,,,
control,all,10,9568,0.1706469481605351,0.25,32.11911420808176,-13.5,14.25,0.5034489966555183,-0.4705156511287625,0.8482728887959863,,,,,,,,,
control,all,15,6351,0.259604786647772,1.0,40.06502964739863,-16.25,17.25,0.512045347189419,-0.6040731774523698,1.182407298063297,,,,,,,,,
control,all,30,3143,0.623130766783328,1.25,58.117136877072944,-23.75,27.0,0.5173401209035953,-1.4244750238625516,2.733463251670378,,,,,,,,,
