market,timeframe,arm,split,trades,win_rate,gross_expectancy_pts,net_expectancy_pts,net_total_pts,profit_factor,cost_burden_of_abs_gross
NQ,7h,breakout,IS,558,0.5645161290322581,3.0600358422939067,2.0600358422939067,1149.5,1.0446776466015644,0.010592255125284738
NQ,7h,retest,IS,373,0.5388739946380697,-0.0160857908847185,-1.0160857908847185,-379.0,0.9811334843318317,0.009365153093890053
NQ,7h,breakout,Validation,259,0.4942084942084942,-21.273166023166024,-22.273166023166024,-5768.75,0.7993338667037707,0.005007322484134618
NQ,7h,retest,Validation,167,0.47904191616766467,-14.232035928143713,-15.232035928143713,-2543.75,0.8671046444804347,0.004673779954521602
NQ,7h,breakout,OOS,133,0.49624060150375937,-16.112781954887218,-17.112781954887218,-2276.0,0.8902550749795072,0.003392770592586924
NQ,7h,retest,OOS,97,0.5257731958762887,-21.698453608247423,-22.698453608247423,-2201.75,0.85916236227272,0.0033368020020812014
NQ,1D,breakout,IS,331,0.5589123867069486,-7.545317220543807,-8.545317220543806,-2828.5,0.8790735456012655,0.007523667731193672
NQ,1D,retest,IS,227,0.6387665198237885,7.438325991189427,6.438325991189427,1461.5,1.099224332535601,0.007326598457218475
NQ,1D,breakout,Validation,120,0.5416666666666666,27.1625,26.1625,3139.5,1.2056968763820413,0.0035634743875278397
NQ,1D,retest,Validation,84,0.5714285714285714,67.1577380952381,66.1577380952381,5557.25,1.5101787886438227,0.003070764675239218
NQ,1D,breakout,OOS,64,0.546875,-23.06640625,-24.06640625,-1540.25,0.9172909115317492,0.001792177425565131
NQ,1D,retest,OOS,48,0.4583333333333333,-133.83854166666666,-134.83854166666666,-6472.25,0.6628377938399427,0.0015039360827164845
NQ,1W,breakout,IS,62,0.5967741935483871,-25.850806451612904,-26.850806451612904,-1664.75,0.8717276982644039,0.002551046649179653
NQ,1W,retest,IS,43,0.627906976744186,65.44767441860465,64.44767441860465,2771.25,1.4011653155761437,0.0025906345548476497
NQ,1W,breakout,Validation,29,0.6896551724137931,261.5431034482759,260.5431034482759,7555.75,1.9289095156134743,0.001216710894806952
NQ,1W,retest,Validation,21,0.5238095238095238,166.35714285714286,165.35714285714286,3472.5,1.4612013148719991,0.0011331750485646449
NQ,1W,breakout,OOS,14,0.6428571428571429,-94.41071428571429,-95.41071428571429,-1335.75,0.8823309181403748,0.0006550703615754442
NQ,1W,retest,OOS,8,0.75,-511.0625,-512.0625,-4096.5,0.42357617757765503,0.0007904357276948918
ES,1m,breakout,IS,5867,0.1525481506732572,0.010993693540139765,-0.48900630645986026,-2869.0,0.30317566336753904,0.6925982764726715
ES,1m,retest,IS,2306,0.1261925411968777,-0.010082393755420641,-0.5100823937554206,-1176.25,0.26530293566520924,0.7534716549583401
ES,1m,breakout,Validation,1550,0.2929032258064516,0.035483870967741936,-0.4645161290322581,-720.0,0.5320877335499594,0.3510758776896942
ES,1m,retest,Validation,633,0.25434439178515006,-0.09636650868878358,-0.5963665086887836,-377.5,0.3566254793353217,0.43385880740233035
