sample,side,length,start_date,end_date
All,bull,2,2015-05-07,2015-05-08
All,bear,3,2015-05-11,2015-05-13
All,bull,3,2015-05-14,2015-05-18
All,bear,1,2015-05-19,2015-05-19
All,bull,2,2015-05-20,2015-05-21
All,bear,2,2015-05-22,2015-05-26
All,bull,1,2015-05-27,2015-05-27
All,bear,2,2015-05-28,2015-05-29
All,bull,1,2015-06-01,2015-06-01
All,bear,1,2015-06-02,2015-06-02
All,bull,1,2015-06-03,2015-06-03
All,bear,4,2015-06-04,2015-06-09
All,bull,2,2015-06-10,2015-06-11
All,bear,1,2015-06-15,2015-06-15
All,bull,3,2015-06-16,2015-06-18
All,bear,1,2015-06-19,2015-06-19
All,bull,2,2015-06-22,2015-06-23
All,bear,3,2015-06-25,2015-06-29
All,bull,3,2015-06-30,2015-07-06
All,bear,2,2015-07-07,2015-07-09
All,bull,6,2015-07-10,2015-07-20
All,bear,5,2015-07-21,2015-07-27
All,bull,3,2015-07-28,2015-07-30
All,bear,3,2015-07-31,2015-08-04
All,bull,1,2015-08-05,2015-08-05
All,bear,2,2015-08-06,2015-08-07
All,bull,1,2015-08-10,2015-08-10
All,bear,1,2015-08-11,2015-08-11
All,bull,1,2015-08-12,2015-08-12
All,bear,1,2015-08-13,2015-08-13
All,bull,2,2015-08-14,2015-08-17
All,bear,5,2015-08-18,2015-08-24
All,bull,3,2015-08-25,2015-08-27
All,bear,3,2015-08-28,2015-09-01
All,bull,1,2015-09-02,2015-09-02
All,bear,2,2015-09-03,2015-09-04
All,bull,1,2015-09-08,2015-09-08
All,bear,1,2015-09-09,2015-09-09
All,bull,2,2015-09-10,2015-09-11
All,bear,1,2015-09-14,2015-09-14
All,bull,1,2015-09-16,2015-09-16
All,bear,2,2015-09-17,2015-09-18
All,bull,1,2015-09-21,2015-09-21
All,bear,1,2015-09-22,2015-09-22
All,bear,4,2015-09-24,2015-09-29
All,bull,4,2015-09-30,2015-10-05
All,bear,1,2015-10-06,2015-10-06
All,bull,4,2015-10-07,2015-10-12
All,bear,1,2015-10-13,2015-10-13
All,bull,4,2015-10-14,2015-10-19
All,bear,2,2015-10-20,2015-10-21
All,bull,5,2015-10-22,2015-10-28
All,bear,2,2015-10-29,2015-10-30
All,bull,2,2015-11-02,2015-11-06
All,bear,2,2015-11-09,2015-11-11
All,bull,3,2015-11-16,2015-11-20
All,bear,2,2015-11-23,2015-11-24
All,bull,1,2015-11-25,2015-11-25
All,bear,1,2015-11-30,2015-11-30
