market,signal_time,year,split,side,horizon_min,level,entry,signed_return_pts,mfe_pts,mae_pts,close_beyond_level,failed_through_level
NQ,2022-02-23 19:29:00-05:00,2022,Validation,short,5,13457.5,13451.75,24.25,31.25,-6.0,1,0
NQ,2022-02-23 19:29:00-05:00,2022,Validation,short,15,13457.5,13451.75,22.0,41.0,-6.0,1,0
NQ,2022-02-23 19:29:00-05:00,2022,Validation,short,30,13457.5,13451.75,67.25,71.25,-6.0,1,0
NQ,2022-02-23 19:29:00-05:00,2022,Validation,short,60,13457.5,13451.75,82.5,94.25,-6.0,1,0
NQ,2022-02-24 09:44:00-05:00,2022,Validation,long,1,13219.25,13244.5,1.75,13.5,-24.5,1,0
NQ,2022-02-24 09:44:00-05:00,2022,Validation,long,5,13219.25,13244.5,88.5,89.0,-24.5,1,0
NQ,2022-02-24 09:44:00-05:00,2022,Validation,long,15,13219.25,13244.5,96.0,120.25,-24.5,1,0
NQ,2022-02-24 09:44:00-05:00,2022,Validation,long,30,13219.25,13244.5,133.75,143.5,-24.5,1,0
NQ,2022-02-24 09:44:00-05:00,2022,Validation,long,60,13219.25,13244.5,119.25,238.75,-24.5,1,0
NQ,2022-02-25 03:14:00-05:00,2022,Validation,short,1,13808.0,13789.75,22.0,26.5,-6.5,1,0
NQ,2022-02-25 03:14:00-05:00,2022,Validation,short,5,13808.0,13789.75,-3.25,26.5,-6.5,1,0
NQ,2022-02-25 03:14:00-05:00,2022,Validation,short,15,13808.0,13789.75,17.25,26.5,-6.5,1,0
NQ,2022-02-25 03:14:00-05:00,2022,Validation,short,30,13808.0,13789.75,2.5,29.5,-14.75,1,0
NQ,2022-02-25 03:14:00-05:00,2022,Validation,short,60,13808.0,13789.75,11.75,29.5,-32.75,1,1
NQ,2022-02-25 05:29:00-05:00,2022,Validation,long,1,13888.0,13896.0,11.75,12.5,0.0,1,0
NQ,2022-02-25 05:29:00-05:00,2022,Validation,long,5,13888.0,13896.0,5.0,18.75,0.0,1,0
NQ,2022-02-25 05:29:00-05:00,2022,Validation,long,15,13888.0,13896.0,-0.25,18.75,-12.0,1,1
NQ,2022-02-25 05:29:00-05:00,2022,Validation,long,30,13888.0,13896.0,9.5,18.75,-16.75,1,1
NQ,2022-02-25 05:29:00-05:00,2022,Validation,long,60,13888.0,13896.0,-15.0,18.75,-64.5,0,1
NQ,2022-02-27 18:14:00-05:00,2022,Validation,short,1,14036.75,13820.75,15.25,22.5,-0.0,1,0
