market,split,event_type,band,horizon_min,events,mean_fade_return_pts,median_fade_return_pts,p10_fade_return_pts,p90_fade_return_pts,positive_rate,mfe_pts,mae_pts,time_to_recover_min,fraction_below_60,max_recovery_60_pts
ES,Validation,control,0.5-1.0,15,775,0.16903225806451613,0.0,-2.25,2.75,0.4916129032258065,1.8774193548387097,-1.8464516129032258,1.0647668393782384,0.058559139784946236,16.78451612903226
ES,Validation,control,0.5-1.0,30,775,0.10225806451612904,0.0,-3.5,3.75,0.4916129032258065,2.5780645161290323,-2.632258064516129,1.0647668393782384,0.058559139784946236,16.78451612903226
ES,Validation,control,0.5-1.0,60,775,-0.034516129032258064,0.25,-5.0,5.25,0.5032258064516129,3.524516129032258,-3.7283870967741937,1.0647668393782384,0.058559139784946236,16.78451612903226
ES,Validation,control,1.0-1.5,1,730,0.021917808219178082,0.0,-1.25,1.25,0.46986301369863015,0.8414383561643836,-0.8301369863013699,1.3277777777777777,0.12634703196347033,13.733561643835616
ES,Validation,control,1.0-1.5,5,730,-0.04486301369863014,0.0,-2.5,2.25,0.4849315068493151,1.5650684931506849,-1.6924657534246574,1.3277777777777777,0.12634703196347033,13.733561643835616
ES,Validation,control,1.0-1.5,15,730,-0.17328767123287672,0.0,-4.0,3.5,0.48904109589041095,2.441095890410959,-2.7825342465753424,1.3277777777777777,0.12634703196347033,13.733561643835616
ES,Validation,control,1.0-1.5,30,730,-0.0863013698630137,0.25,-5.75,5.25,0.5205479452054794,3.577054794520548,-3.841095890410959,1.3277777777777777,0.12634703196347033,13.733561643835616
ES,Validation,control,1.0-1.5,60,730,-0.015068493150684932,0.0,-8.25,7.5,0.48356164383561645,5.116438356164384,-5.490068493150685,1.3277777777777777,0.12634703196347033,13.733561643835616
ES,Validation,control,1.5+,1,550,-0.014090909090909091,0.0,-2.25,2.0,0.45454545454545453,1.2027272727272726,-1.3590909090909091,1.3584558823529411,0.1906969696969697,14.922727272727272
ES,Validation,control,1.5+,5,550,0.05,0.0,-3.75,3.25,0.49636363636363634,2.460909090909091,-2.6545454545454548,1.3584558823529411,0.1906969696969697,14.922727272727272
ES,Validation,control,1.5+,15,550,-0.08181818181818182,0.25,-6.25,5.75,0.5036363636363637,3.800909090909091,-4.292727272727273,1.3584558823529411,0.1906969696969697,14.922727272727272
ES,Validation,control,1.5+,30,550,-0.012272727272727272,0.0,-8.274999999999999,8.275000000000006,0.4909090909090909,5.287727272727273,-5.810909090909091,1.3584558823529411,0.1906969696969697,14.922727272727272
ES,Validation,control,1.5+,60,550,-0.3977272727272727,0.25,-12.0,10.25,0.5054545454545455,7.386363636363637,-8.219090909090909,1.3584558823529411,0.1906969696969697,14.922727272727272
ES,Validation,control,<0.5,1,775,0.08451612903225807,0.0,-0.75,1.0,0.4529032258064516,0.5664516129032258,-0.422258064516129,1.0738341968911918,0.0316989247311828,25.35516129032258
ES,Validation,control,<0.5,5,775,-0.022258064516129033,0.0,-1.75,1.75,0.47870967741935483,1.0561290322580645,-1.0303225806451612,1.0738341968911918,0.0316989247311828,25.35516129032258
ES,Validation,control,<0.5,15,775,0.18548387096774194,0.25,-2.25,2.5,0.5174193548387097,1.772258064516129,-1.6812903225806453,1.0738341968911918,0.0316989247311828,25.35516129032258
ES,Validation,control,<0.5,30,775,0.2874193548387097,0.25,-3.0,3.75,0.5174193548387097,2.4570967741935483,-2.217741935483871,1.0738341968911918,0.0316989247311828,25.35516129032258
ES,Validation,control,<0.5,60,775,0.2996774193548387,0.0,-4.75,5.25,0.49290322580645163,3.6183870967741933,-3.3374193548387097,1.0738341968911918,0.0316989247311828,25.35516129032258
NQ,IS,break,0.5-1.0,1,529,0.10633270321361059,0.0,-2.0,2.25,0.46313799621928164,1.477788279773157,-1.5581285444234405,11.792838874680307,0.6201638311279143,6.775519848771267
NQ,IS,break,0.5-1.0,5,529,0.4494328922495274,0.25,-3.25,4.5,0.5463137996219282,3.280718336483932,-3.0099243856332705,11.792838874680307,0.6201638311279143,6.775519848771267
NQ,IS,break,0.5-1.0,15,529,0.8241965973534972,0.5,-5.0,7.799999999999997,0.5482041587901701,5.339319470699433,-4.905009451795841,11.792838874680307,0.6201638311279143,6.775519848771267
NQ,IS,break,0.5-1.0,30,529,1.224007561436673,0.75,-8.75,9.75,0.5765595463137996,7.826086956521739,-6.993383742911153,11.792838874680307,0.6201638311279143,6.775519848771267
NQ,IS,break,0.5-1.0,60,529,1.4310018903591681,1.25,-13.849999999999998,14.899999999999991,0.5425330812854442,10.871455576559546,-9.99952741020794,11.792838874680307,0.6201638311279143,6.775519848771267
NQ,IS,break,1.0-1.5,1,452,0.0586283185840708,0.0,-2.75,2.5,0.4889380530973451,1.7582964601769913,-1.8506637168141593,14.077702702702704,0.6917035398230088,5.688606194690266
NQ,IS,break,1.0-1.5,5,452,0.08241150442477876,0.25,-4.5,4.75,0.5088495575221239,3.480641592920354,-3.7665929203539825,14.077702702702704,0.6917035398230088,5.688606194690266
NQ,IS,break,1.0-1.5,15,452,-0.3733407079646018,-0.25,-7.475,6.7250000000000085,0.4491150442477876,5.217920353982301,-6.356194690265487,14.077702702702704,0.6917035398230088,5.688606194690266
NQ,IS,break,1.0-1.5,30,452,0.020464601769911505,0.25,-10.25,11.225000000000009,0.504424778761062,7.762721238938053,-8.829646017699115,14.077702702702704,0.6917035398230088,5.688606194690266
NQ,IS,break,1.0-1.5,60,452,-0.04811946902654867,0.5,-15.45,18.175000000000026,0.5110619469026548,10.757743362831858,-12.14712389380531,14.077702702702704,0.6917035398230088,5.688606194690266
NQ,IS,break,1.5+,1,765,0.004248366013071895,0.0,-3.75,3.75,0.49411764705882355,2.2633986928104575,-2.7712418300653594,16.507075471698112,0.7416557734204793,3.3212418300653597
NQ,IS,break,1.5+,5,765,0.2415032679738562,0.75,-7.25,7.0,0.5594771241830065,4.932679738562092,-5.295098039215686,16.507075471698112,0.7416557734204793,3.3212418300653597
NQ,IS,break,1.5+,15,765,-0.17124183006535948,0.5,-11.399999999999999,11.5,0.534640522875817,7.673529411764706,-8.933986928104575,16.507075471698112,0.7416557734204793,3.3212418300653597
NQ,IS,break,1.5+,30,765,0.11633986928104575,1.0,-16.5,14.650000000000006,0.5555555555555556,10.197712418300654,-12.183333333333334,16.507075471698112,0.7416557734204793,3.3212418300653597
NQ,IS,break,1.5+,60,765,0.8055555555555556,1.5,-18.0,20.400000000000006,0.538562091503268,13.990522875816993,-15.938888888888888,16.507075471698112,0.7416557734204793,3.3212418300653597
NQ,IS,break,<0.5,1,370,0.17702702702702702,0.0,-1.25,1.25,0.3972972972972973,0.977027027027027,-0.8675675675675676,13.6340206185567,0.7187387387387387,2.210810810810811
