market,split,band,horizon_min,mean_fade_return_pts,mean_fade_return_pts,positive_rate,positive_rate,fade_return_diff_break_minus_control,positive_rate_diff_break_minus_control
,,,,break,control,break,control,,
ES,Validation,<0.5,1,-0.13505747126436782,0.08451612903225807,0.41379310344827586,0.4529032258064516,-0.21957360029662587,-0.039110122358175736
ES,Validation,<0.5,5,-0.3879310344827586,-0.022258064516129033,0.4942528735632184,0.47870967741935483,-0.36567296996662957,0.015543196143863569
ES,Validation,<0.5,15,-0.3132183908045977,0.18548387096774194,0.47126436781609193,0.5174193548387097,-0.4987022617723396,-0.04615498702261778
ES,Validation,<0.5,30,0.5373563218390804,0.2874193548387097,0.5172413793103449,0.5174193548387097,0.24993696700037077,-0.00017797552836484876
ES,Validation,<0.5,60,1.1379310344827587,0.2996774193548387,0.5287356321839081,0.49290322580645163,0.83825361512792,0.03583240637745644
NQ,IS,0.5-1.0,1,0.10633270321361059,-0.019901518260155928,0.46313799621928164,0.4464505539597866,0.1262342214737665,0.016687442259495033
NQ,IS,0.5-1.0,5,0.4494328922495274,0.009027492819039803,0.5463137996219282,0.5116947066064834,0.4404053994304876,0.034619093015444746
NQ,IS,0.5-1.0,15,0.8241965973534972,0.045445219532211735,0.5482041587901701,0.5215428805908905,0.7787513778212855,0.02666127819927966
NQ,IS,0.5-1.0,30,1.224007561436673,-0.128846942962659,0.5765595463137996,0.5166187935986869,1.352854504399332,0.05994075271511268
NQ,IS,0.5-1.0,60,1.4310018903591681,-0.014054164956914238,0.5425330812854442,0.5223635617562576,1.4450560553160823,0.020169519529186553
NQ,IS,1.0-1.5,1,0.0586283185840708,0.04824987846378221,0.4889380530973451,0.49781234807972774,0.010378440120288587,-0.008874294982382624
NQ,IS,1.0-1.5,5,0.08241150442477876,0.4368011667476908,0.5088495575221239,0.5357316480311133,-0.354389662322912,-0.026882090508989376
NQ,IS,1.0-1.5,15,-0.3733407079646018,0.1660184735051045,0.4491150442477876,0.5264948954788528,-0.5393591814697063,-0.07737985123106517
NQ,IS,1.0-1.5,30,0.020464601769911505,0.3778561011181332,0.504424778761062,0.5391346621293145,-0.35739149934822173,-0.034709883368252537
NQ,IS,1.0-1.5,60,-0.04811946902654867,0.3975449684005834,0.5110619469026548,0.5396208070004861,-0.4456644374271321,-0.028558860097831262
NQ,IS,1.5+,1,0.004248366013071895,-0.12473195139385275,0.49411764705882355,0.47176554681915656,0.12898031740692464,0.022352100239666994
NQ,IS,1.5+,5,0.2415032679738562,-0.34220872051465334,0.5594771241830065,0.5218012866333095,0.5837119884885096,0.037675837549697055
NQ,IS,1.5+,15,-0.17124183006535948,-0.4944603288062902,0.534640522875817,0.5268048606147248,0.3232184987409307,0.007835662261092224
NQ,IS,1.5+,30,0.11633986928104575,-0.9771265189421015,0.5555555555555556,0.5153681200857756,1.0934663882231472,0.040187435469779986
NQ,IS,1.5+,60,0.8055555555555556,-0.8843817012151537,0.538562091503268,0.5160829163688349,1.6899372567707092,0.022479175134433094
NQ,IS,<0.5,1,0.17702702702702702,0.086530931871574,0.3972972972972973,0.3860610806577917,0.09049609515545302,0.01123621663950558
NQ,IS,<0.5,5,0.452027027027027,0.02946358653093187,0.5054054054054054,0.4702427564604542,0.4225634404960951,0.035162648944951136
NQ,IS,<0.5,15,0.14527027027027026,-0.16689506656225528,0.4945945945945946,0.49569303054032887,0.31216533683252556,-0.0010984359457342774
NQ,IS,<0.5,30,0.452027027027027,-0.09494909945184025,0.527027027027027,0.49921691464369616,0.5469761264788673,0.02781011238333081
NQ,IS,<0.5,60,0.41283783783783784,0.1616092404072044,0.5405405405405406,0.5129209083790133,0.2512285974306334,0.027619632161527297
NQ,OOS,0.5-1.0,1,-0.2641509433962264,0.17753623188405798,0.4716981132075472,0.538647342995169,-0.4416871752802844,-0.06694922978762186
