session,family,entry_mode,hold_H,cost,cost_pts,split,n,win,E_gross,E_net,E_R_net,PF_net
LONDON,HIGH_FADE,next_open,45,tight,0.5,Y2026,103,0.4854368932038835,-1.6808252427184467,-2.1808252427184467,-0.08510537532559793,0.8666765589642764
LONDON,HIGH_FADE,next_open,45,mid,1.0,IS,4055,0.4850801479654747,-0.14244759556103576,-1.1424475955610358,-0.5077544869160159,0.6588452970524882
LONDON,HIGH_FADE,next_open,45,mid,1.0,Validation,1616,0.4870049504950495,-0.10523669554455446,-1.1052366955445545,-0.0680145658796649,0.8669500521454112
LONDON,HIGH_FADE,next_open,45,mid,1.0,OOS,376,0.5026595744680851,-0.8462433510638298,-1.8462433510638299,-0.07478454080258551,0.8609417450202196
LONDON,HIGH_FADE,next_open,45,mid,1.0,Y2025,273,0.5091575091575091,-0.5313644688644689,-1.531364468864469,-0.062029953169193686,0.8725710584470014
LONDON,HIGH_FADE,next_open,45,mid,1.0,Y2026,103,0.4854368932038835,-1.6808252427184467,-2.6808252427184467,-0.1046175704475491,0.8386472371352398
LONDON,HIGH_FADE,next_open,45,wide,2.0,IS,4055,0.3975339087546239,-0.14244759556103576,-2.142447595561036,-0.9521989313604603,0.4502546984749731
LONDON,HIGH_FADE,next_open,45,wide,2.0,Validation,1616,0.47896039603960394,-0.10523669554455446,-2.1052366955445545,-0.12955302741812644,0.7613759907413902
LONDON,HIGH_FADE,next_open,45,wide,2.0,OOS,376,0.4973404255319149,-0.8462433510638298,-2.84624335106383,-0.11529086991650955,0.7933826457350404
LONDON,HIGH_FADE,next_open,45,wide,2.0,Y2025,273,0.5018315018315018,-0.5313644688644689,-2.531364468864469,-0.10253628228311772,0.7976539052777981
LONDON,HIGH_FADE,next_open,45,wide,2.0,Y2026,103,0.4854368932038835,-1.6808252427184467,-3.6808252427184467,-0.1436419606914516,0.7851145984625739
LONDON,HIGH_FADE,delay1,15,tight,0.5,IS,4055,0.4530209617755857,-0.12754315659679408,-0.627543156596794,-0.2789080695985751,0.732041199118102
LONDON,HIGH_FADE,delay1,15,tight,0.5,Validation,1616,0.49566831683168316,-0.3069693688118812,-0.8069693688118812,-0.04965965346534654,0.8662697166443409
LONDON,HIGH_FADE,delay1,15,tight,0.5,OOS,376,0.4920212765957447,-0.4800531914893617,-0.9800531914893617,-0.039698357123619715,0.8977560434224673
LONDON,HIGH_FADE,delay1,15,tight,0.5,Y2025,273,0.4945054945054945,-0.045558608058608056,-0.545558608058608,-0.022098576528956266,0.9346407021393308
LONDON,HIGH_FADE,delay1,15,tight,0.5,Y2026,103,0.4854368932038835,-1.6316747572815533,-2.1316747572815533,-0.08318730760123136,0.8343393379232292
LONDON,HIGH_FADE,delay1,15,mid,1.0,IS,4055,0.3990135635018496,-0.12754315659679408,-1.1275431565967942,-0.5011302918207974,0.5699977075949144
LONDON,HIGH_FADE,delay1,15,mid,1.0,Validation,1616,0.48205445544554454,-0.3069693688118812,-1.306969368811881,-0.08042888423457732,0.7921338984197673
LONDON,HIGH_FADE,delay1,15,mid,1.0,OOS,376,0.4787234042553192,-0.4800531914893617,-1.4800531914893618,-0.05995152168058174,0.8496199966221922
LONDON,HIGH_FADE,delay1,15,mid,1.0,Y2025,273,0.47985347985347987,-0.045558608058608056,-1.0455586080586081,-0.04235174108591831,0.8784596550989994
LONDON,HIGH_FADE,delay1,15,mid,1.0,Y2026,103,0.47572815533980584,-1.6316747572815533,-2.6316747572815533,-0.1026995027231826,0.7995285199223444
LONDON,HIGH_FADE,delay1,15,wide,2.0,IS,4055,0.28606658446362515,-0.12754315659679408,-2.127543156596794,-0.9455747362652418,0.34989732866131645
LONDON,HIGH_FADE,delay1,15,wide,2.0,Validation,1616,0.4511138613861386,-0.3069693688118812,-2.306969368811881,-0.14196734577303882,0.6616062766989466
LONDON,HIGH_FADE,delay1,15,wide,2.0,OOS,376,0.4627659574468085,-0.4800531914893617,-2.4800531914893615,-0.1004578507945058,0.7608131071852255
