catalog,from_state,to_state,transition,split,n_transition,n_stay_baseline,median_hl_range_trans,median_hl_range_stay,delta_hl_range,rel_gap,median_abs_net_trans,median_abs_net_stay,median_net_trans,median_abs_max_trans
C,TRANSITION_MIXED,HIGH_ACTIVITY,TRANSITION_MIXED->HIGH_ACTIVITY,Validation,119,7292,34.0,27.0,7.0,0.25925925925925924,14.5,11.75,0.75,25.25
C,TRANSITION_MIXED,HIGH_ACTIVITY,TRANSITION_MIXED->HIGH_ACTIVITY,OOS,50,4372,47.25,35.0,12.25,0.35,21.375,14.5,6.5,36.5
C,TRANSITION_MIXED,HIGH_ACTIVITY,TRANSITION_MIXED->HIGH_ACTIVITY,ALL,586,38782,11.25,12.0,-0.75,-0.0625,4.75,4.5,0.5,9.125
C,TRANSITION_MIXED,LOW_ACTIVITY,TRANSITION_MIXED->LOW_ACTIVITY,IS,411,27118,5.75,7.5,-1.75,-0.23333333333333334,2.5,3.25,0.5,4.5
C,TRANSITION_MIXED,LOW_ACTIVITY,TRANSITION_MIXED->LOW_ACTIVITY,Validation,63,7292,21.75,27.0,-5.25,-0.19444444444444445,9.0,11.75,-3.25,16.0
C,TRANSITION_MIXED,LOW_ACTIVITY,TRANSITION_MIXED->LOW_ACTIVITY,OOS,36,4372,27.5,35.0,-7.5,-0.21428571428571427,12.375,14.5,-2.375,22.0
C,TRANSITION_MIXED,LOW_ACTIVITY,TRANSITION_MIXED->LOW_ACTIVITY,ALL,510,38782,6.75,12.0,-5.25,-0.4375,3.0,4.5,0.25,5.5
C,TRANSITION_MIXED,TRENDING,TRANSITION_MIXED->TRENDING,IS,4762,27118,8.5,7.5,1.0,0.13333333333333333,3.5,3.25,0.25,6.5
C,TRANSITION_MIXED,TRENDING,TRANSITION_MIXED->TRENDING,Validation,1495,7292,28.75,27.0,1.75,0.06481481481481481,12.25,11.75,0.75,22.0
C,TRANSITION_MIXED,TRENDING,TRANSITION_MIXED->TRENDING,OOS,878,4372,38.5,35.0,3.5,0.1,15.75,14.5,1.0,29.25
C,TRANSITION_MIXED,TRENDING,TRANSITION_MIXED->TRENDING,ALL,7135,38782,14.5,12.0,2.5,0.20833333333333334,5.25,4.5,0.25,11.0
C,TRENDING,CHOP_RANGE,TRENDING->CHOP_RANGE,IS,442,262188,14.0,10.5,3.5,0.3333333333333333,6.0,4.25,0.5,11.0
C,TRENDING,CHOP_RANGE,TRENDING->CHOP_RANGE,Validation,125,89517,61.5,39.25,22.25,0.5668789808917197,29.0,16.0,-0.5,48.75
C,TRENDING,CHOP_RANGE,TRENDING->CHOP_RANGE,OOS,86,44794,79.5,55.5,24.0,0.43243243243243246,27.25,22.0,4.25,59.125
C,TRENDING,CHOP_RANGE,TRENDING->CHOP_RANGE,ALL,653,396499,23.5,19.0,4.5,0.23684210526315788,9.0,6.75,0.5,17.75
C,TRENDING,COMPRESSION,TRENDING->COMPRESSION,IS,7061,262188,11.5,10.5,1.0,0.09523809523809523,4.75,4.25,0.5,9.0
C,TRENDING,COMPRESSION,TRENDING->COMPRESSION,Validation,2771,89517,41.0,39.25,1.75,0.044585987261146494,17.5,16.0,1.25,31.25
C,TRENDING,COMPRESSION,TRENDING->COMPRESSION,OOS,1374,44794,54.5,55.5,-1.0,-0.018018018018018018,21.25,22.0,1.25,40.25
C,TRENDING,COMPRESSION,TRENDING->COMPRESSION,ALL,11206,396499,21.75,19.0,2.75,0.14473684210526316,8.0,6.75,0.5,16.5
C,TRENDING,EXPANSION,TRENDING->EXPANSION,IS,11573,262188,8.75,10.5,-1.75,-0.16666666666666666,3.5,4.25,0.25,6.75
C,TRENDING,EXPANSION,TRENDING->EXPANSION,Validation,2990,89517,37.75,39.25,-1.5,-0.03821656050955414,16.0,16.0,0.25,28.75
C,TRENDING,EXPANSION,TRENDING->EXPANSION,OOS,1568,44794,50.5,55.5,-5.0,-0.09009009009009009,19.5,22.0,0.125,38.25
C,TRENDING,EXPANSION,TRENDING->EXPANSION,ALL,16131,396499,14.25,19.0,-4.75,-0.25,5.25,6.75,0.25,10.75
C,TRENDING,HIGH_ACTIVITY,TRENDING->HIGH_ACTIVITY,IS,6650,262188,16.0,10.5,5.5,0.5238095238095238,6.25,4.25,0.5,12.25
C,TRENDING,HIGH_ACTIVITY,TRENDING->HIGH_ACTIVITY,Validation,2896,89517,45.75,39.25,6.5,0.16560509554140126,19.0,16.0,1.5,34.375
C,TRENDING,HIGH_ACTIVITY,TRENDING->HIGH_ACTIVITY,OOS,1397,44794,69.0,55.5,13.5,0.24324324324324326,31.0,22.0,2.5,53.5
C,TRENDING,HIGH_ACTIVITY,TRENDING->HIGH_ACTIVITY,ALL,10943,396499,29.5,19.0,10.5,0.5526315789473685,10.5,6.75,0.75,21.5
C,TRENDING,LOW_ACTIVITY,TRENDING->LOW_ACTIVITY,IS,3128,262188,5.5,10.5,-5.0,-0.47619047619047616,2.25,4.25,0.0,4.25
C,TRENDING,LOW_ACTIVITY,TRENDING->LOW_ACTIVITY,Validation,366,89517,20.75,39.25,-18.5,-0.4713375796178344,8.5,16.0,0.5,15.375
C,TRENDING,LOW_ACTIVITY,TRENDING->LOW_ACTIVITY,OOS,303,44794,25.0,55.5,-30.5,-0.5495495495495496,10.0,22.0,-2.25,19.5
C,TRENDING,LOW_ACTIVITY,TRENDING->LOW_ACTIVITY,ALL,3797,396499,6.5,19.0,-12.5,-0.6578947368421053,2.75,6.75,0.0,5.25
