mechanism,T_offset,horizon,split,n,rate,win,mean,median,mean_mfe,mean_mae,mfe_gt_mae,n_high,delta_win_vs_follow,delta_mean_vs_follow,delta_win_vs_long,follow_win,follow_mean,long_win
structure_hhhl,30,10,Validation,193,0.8853211009174312,0.5181347150259067,4.698186528497409,1.5,29.533678756476682,23.817357512953368,0.5233160621761658,218.0,0.01813471502590669,2.3266268954698863,0.059419118695631434,0.5,2.371559633027523,0.45871559633027525
structure_hhhl,30,15,Validation,193,0.8853211009174312,0.5181347150259067,3.7992227979274613,3.25,35.65414507772021,30.259067357512954,0.538860103626943,218.0,0.01813471502590669,2.22238793554214,0.013547559062603964,0.5,1.576834862385321,0.5045871559633027
structure_hhhl,30,30,Validation,193,0.8853211009174312,0.5025906735751295,-0.18652849740932642,1.0,45.505181347150256,42.07383419689119,0.5181347150259067,218.0,0.016352141465037773,3.504985264058564,-0.05245519798450349,0.48623853211009177,-3.69151376146789,0.555045871559633
structure_hhhl,30,10,OOS,115,0.9126984126984127,0.48695652173913045,-4.208695652173913,-1.0,37.832608695652176,41.006521739130434,0.4608695652173913,126.0,-0.028916494133885473,-4.301949620427881,-0.09240855762594896,0.5158730158730159,0.09325396825396826,0.5793650793650794
structure_hhhl,30,15,OOS,115,0.9126984126984127,0.5217391304347826,-1.4195652173913043,2.0,45.91086956521739,48.528260869565216,0.46956521739130436,126.0,-0.01000690131124915,-5.7072636300897175,-0.041752933057280894,0.5317460317460317,4.287698412698413,0.5634920634920635
structure_hhhl,30,30,OOS,115,0.9126984126984127,0.5217391304347826,-0.7608695652173914,5.5,65.71521739130435,64.19782608695652,0.5478260869565217,126.0,0.021739130434782594,-4.324361628709455,-0.05762594893029682,0.5,3.5634920634920637,0.5793650793650794
structure_hhhl,30,10,ALL,1010,0.8669527896995708,0.48415841584158414,0.325,-0.25,16.0009900990099,14.87648514851485,0.5,1165.0,-0.005496756572208938,-0.2989224137931034,-0.025712828793609033,0.4896551724137931,0.6239224137931034,0.5098712446351932
structure_hhhl,30,15,ALL,1010,0.8669527896995708,0.497029702970297,0.7071782178217821,0.0,19.22747524752475,18.068069306930692,0.503960396039604,1165.0,0.0022021167634004857,-0.3423907476954592,-0.01970849445459566,0.49482758620689654,1.0495689655172413,0.5167381974248927
structure_hhhl,30,30,ALL,1010,0.8669527896995708,0.4900990099009901,-0.35717821782178216,-0.25,25.687623762376237,24.433168316831683,0.5079207920792079,1165.0,0.009064527142369383,-0.14855752816660975,-0.04552330769557644,0.4810344827586207,-0.20862068965517241,0.5356223175965665
structure_hhhl,35,10,IS,708,0.8623629719853837,0.4915254237288136,0.611228813559322,0.0,8.359463276836157,7.688559322033898,0.4887005649717514,821.0,0.01777694998033985,0.30048400281451126,-0.0029934556865335304,0.47374847374847373,0.31074481074481075,0.4945188794153471
structure_hhhl,35,15,IS,708,0.8623629719853837,0.5056497175141242,0.8206214689265536,0.25,10.353460451977401,9.138418079096045,0.5056497175141242,821.0,0.017249229113635856,0.44394259224767696,-0.01566575142619242,0.4884004884004884,0.3766788766788767,0.5213154689403167
structure_hhhl,35,30,IS,708,0.8623629719853837,0.4929378531073446,0.757768361581921,0.0,13.88524011299435,12.411370056497175,0.5070621468926554,821.0,0.021631381800873317,0.5086841124976719,-0.03933985700227782,0.4713064713064713,0.2490842490842491,0.5322777101096224
structure_hhhl,35,10,Validation,198,0.8878923766816144,0.48484848484848486,-1.082070707070707,-1.75,26.46969696969697,26.54419191919192,0.4898989898989899,223.0,-0.00614250614250611,-0.03702566202566193,-0.08465824160891422,0.49099099099099097,-1.045045045045045,0.5695067264573991
structure_hhhl,35,15,Validation,198,0.8878923766816144,0.4393939393939394,-3.4532828282828283,-5.875,31.021464646464647,33.667929292929294,0.4595959595959596,223.0,-0.02457002457002455,-0.5523819273819273,-0.10320695746704717,0.46396396396396394,-2.900900900900901,0.5426008968609866
structure_hhhl,35,30,Validation,198,0.8878923766816144,0.4595959595959596,-2.91540404040404,-5.0,41.32070707070707,46.08585858585859,0.46464646464646464,223.0,-0.013377013377013358,0.7546410046410048,-0.08300493726502695,0.47297297297297297,-3.670045045045045,0.5426008968609866
structure_hhhl,35,10,OOS,113,0.8828125,0.49557522123893805,-1.5,-3.0,36.980088495575224,39.48451327433628,0.5398230088495575,128.0,-0.012237278761061954,-4.037109375,0.011200221238938046,0.5078125,2.537109375,0.484375
structure_hhhl,35,15,OOS,113,0.8828125,0.4690265486725664,-5.550884955752212,-3.0,45.25,47.993362831858406,0.4690265486725664,128.0,-0.03878595132743362,-6.152447455752212,-0.04659845132743362,0.5078125,0.6015625,0.515625
structure_hhhl,35,30,OOS,113,0.8828125,0.5486725663716814,8.435840707964601,3.5,63.53982300884956,60.508849557522126,0.504424778761062,128.0,0.00961006637168138,2.4631844579646014,0.01742256637168138,0.5390625,5.97265625,0.53125
structure_hhhl,35,10,ALL,1019,0.8694539249146758,0.49067713444553485,0.04808635917566242,0.0,15.052257114818449,14.878312070657508,0.4946025515210991,1172.0,0.00992435429155708,-0.2489624004479475,-0.017002046441837115,0.48075278015397777,0.29704875962360994,0.507679180887372
structure_hhhl,35,15,ALL,1019,0.8694539249146758,0.4887144259077527,-0.7163886162904809,-0.25,18.2392051030422,18.213444553483807,0.492639842983317,1172.0,0.0028290537948356675,-0.4952594460595142,-0.03602960139600153,0.48588537211291705,-0.22112917023096665,0.5247440273037542
structure_hhhl,35,30,ALL,1019,0.8694539249146758,0.492639842983317,0.8954857703631011,0.0,24.72252208047105,24.288272816486753,0.4985279685966634,1172.0,0.013597926815652306,0.7639631014152825,-0.04148984984944748,0.47904191616766467,0.13152266894781864,0.5341296928327645
structure_hhhl,40,10,IS,711,0.8660170523751523,0.49929676511954996,0.45042194092827004,0.0,8.029535864978904,7.364627285513362,0.5161744022503516,821.0,0.004791270614055432,0.27765026815659727,-0.03054489139689337,0.4945054945054945,0.17277167277167277,0.5298416565164433
structure_hhhl,40,15,IS,711,0.8660170523751523,0.48523206751054854,0.5829817158931083,-0.25,9.593881856540085,8.59563994374121,0.49929676511954996,821.0,0.002936585215066234,0.3751062580176504,-0.0494816961922529,0.4822954822954823,0.2078754578754579,0.5347137637028014
structure_hhhl,40,30,IS,711,0.8660170523751523,0.4978902953586498,0.9869901547116737,0.0,13.436357243319268,12.031293952180029,0.5161744022503516,821.0,0.008268805737160212,0.32551274323426227,-0.03804149514074118,0.4896214896214896,0.6614774114774115,0.535931790499391
structure_hhhl,40,10,Validation,200,0.9009009009009009,0.405,-5.5725,-3.875,22.67875,29.09875,0.425,222.0,-0.02743243243243243,-0.5139414414414416,-0.104009009009009,0.43243243243243246,-5.058558558558558,0.509009009009009
structure_hhhl,40,15,Validation,200,0.9009009009009009,0.45,-5.24125,-2.0,27.23875,34.08375,0.455,222.0,-0.009459459459459474,0.3758671171171173,-0.09504504504504502,0.4594594594594595,-5.617117117117117,0.545045045045045
structure_hhhl,40,30,Validation,200,0.9009009009009009,0.48,-4.26125,-2.0,38.55375,46.94625,0.425,222.0,0.007027027027027011,0.9842454954954949,-0.05603603603603602,0.47297297297297297,-5.245495495495495,0.536036036036036
structure_hhhl,40,10,OOS,115,0.8778625954198473,0.46956521739130436,0.06086956521739131,-3.0,39.65,34.93695652173913,0.5478260869565217,131.0,-0.034251576501825365,-5.486840358446731,0.011549950215731852,0.5038167938931297,5.547709923664122,0.4580152671755725
structure_hhhl,40,15,OOS,115,0.8778625954198473,0.5304347826086957,4.397826086956521,1.25,47.38478260869565,43.095652173913045,0.48695652173913045,131.0,-0.003916362429472242,-2.871257882509128,0.04188516428808503,0.5343511450381679,7.269083969465649,0.48854961832061067
structure_hhhl,40,30,OOS,115,0.8778625954198473,0.5565217391304348,15.46304347826087,6.75,67.52391304347826,51.92173913043478,0.5478260869565217,131.0,0.006903418519747739,3.8447228675738465,0.03743776966478596,0.549618320610687,11.618320610687023,0.5190839694656488
structure_hhhl,40,10,ALL,1026,0.8739352640545145,0.4775828460038986,-0.7673001949317739,-0.5,14.42933723196881,14.691764132553606,0.5019493177387915,1174.0,-0.006205549900538232,-0.549936713703105,-0.04030471788025808,0.48378839590443684,-0.21736348122866894,0.5178875638841567
structure_hhhl,40,15,ALL,1026,0.8739352640545145,0.4834307992202729,-0.12475633528265107,-0.25,17.269249512670566,17.431042884990255,0.48927875243664715,1174.0,-0.0003575966841639633,-0.018527666340671545,-0.04808538476609847,0.48378839590443684,-0.10622866894197952,0.5315161839863713
structure_hhhl,40,30,ALL,1026,0.8739352640545145,0.5009746588693957,1.5865009746588694,0.25,24.394980506822613,23.308479532163744,0.5019493177387915,1174.0,0.007800597435948631,0.8192228176622823,-0.033096891386140914,0.4931740614334471,0.7672781569965871,0.5340715502555367
