mechanism,T_offset,horizon,split,n,win,mean,rate,n_high,follow_win,delta_win_vs_follow,delta_mean_vs_follow
rev_short_vs_med,60,30,IS,309,0.48220064724919093,1.034789644012945,0.37454545454545457,825.0,0.4793187347931874,0.0028819124560035547,1.4219550941345993
disagree_follow_short,60,30,IS,309,0.5048543689320388,-1.034789644012945,0.37454545454545457,825.0,0.4793187347931874,0.02553563413885146,-0.6476241938912904
follow_5,60,30,IS,804,0.47139303482587064,-0.2879353233830846,0.9745454545454545,825.0,0.4793187347931874,-0.007925699967316735,0.0992301267385699
follow_15,60,30,IS,813,0.4907749077490775,0.9123616236162362,0.9854545454545455,825.0,0.4793187347931874,0.011456172955890132,1.2995270737378908
persist_5m,60,30,IS,397,0.4609571788413098,-0.036523929471032744,0.4812121212121212,825.0,0.4793187347931874,-0.01836155595187755,0.35064152065062176
flip_5m,60,30,IS,387,0.48320413436692505,-0.4935400516795866,0.4690909090909091,825.0,0.4793187347931874,0.00388539957373768,-0.1063746015579321
HIGH_ALONE_FOLLOW,60,10,Validation,228,0.543859649122807,3.5559210526315788,1.0,,,,
HIGH_ALONE_LONG,60,10,Validation,228,0.5131578947368421,-1.9616228070175439,1.0,,,,
align_1_5,60,10,Validation,153,0.5032679738562091,-0.3954248366013072,0.6710526315789473,228.0,0.543859649122807,-0.040591675266597904,-3.951345889232886
align_1_5_15,60,10,Validation,118,0.5169491525423728,1.5805084745762712,0.5175438596491229,228.0,0.543859649122807,-0.026910496580434207,-1.9754125780553076
align_5_15,60,10,Validation,167,0.5029940119760479,0.7799401197604791,0.7324561403508771,228.0,0.543859649122807,-0.04086563714675917,-2.7759809328710996
accel_with_med,60,10,Validation,122,0.4918032786885246,-0.9918032786885246,0.5350877192982456,228.0,0.543859649122807,-0.05205637043428246,-4.5477243313201035
rev_short_vs_med,60,10,Validation,80,0.5125,3.2375,0.3508771929824561,228.0,0.543859649122807,-0.03135964912280709,-0.31842105263157894
disagree_follow_short,60,10,Validation,80,0.4875,-3.2375,0.3508771929824561,228.0,0.543859649122807,-0.056359649122807054,-6.793421052631579
follow_5,60,10,Validation,227,0.4977973568281938,0.1949339207048458,0.9956140350877193,228.0,0.543859649122807,-0.04606229229461323,-3.360987131926733
follow_15,60,10,Validation,226,0.5088495575221239,1.1648230088495575,0.9912280701754386,228.0,0.543859649122807,-0.035010091600683135,-2.391098043782021
persist_5m,60,10,Validation,107,0.5327102803738317,0.16822429906542055,0.4692982456140351,228.0,0.543859649122807,-0.011149368748975319,-3.3876967535661584
flip_5m,60,10,Validation,119,0.47058823529411764,0.27941176470588236,0.5219298245614035,228.0,0.543859649122807,-0.0732714138286894,-3.2765092879256965
HIGH_ALONE_FOLLOW,60,15,Validation,228,0.4956140350877193,1.3453947368421053,1.0,,,,
HIGH_ALONE_LONG,60,15,Validation,228,0.5087719298245614,-1.025219298245614,1.0,,,,
align_1_5,60,15,Validation,153,0.48366013071895425,-1.727124183006536,0.6710526315789473,228.0,0.4956140350877193,-0.011953904368765034,-3.0725189198486413
align_1_5_15,60,15,Validation,118,0.4661016949152542,-0.9978813559322034,0.5175438596491229,228.0,0.4956140350877193,-0.029512340172465068,-2.3432760927743086
align_5_15,60,15,Validation,167,0.46107784431137727,-0.6152694610778443,0.7324561403508771,228.0,0.4956140350877193,-0.03453619077634201,-1.9606641979199497
accel_with_med,60,15,Validation,122,0.45901639344262296,-3.651639344262295,0.5350877192982456,228.0,0.4956140350877193,-0.036597641645096324,-4.997034081104401
rev_short_vs_med,60,15,Validation,80,0.475,2.825,0.3508771929824561,228.0,0.4956140350877193,-0.020614035087719307,1.4796052631578949
disagree_follow_short,60,15,Validation,80,0.525,-2.825,0.3508771929824561,228.0,0.4956140350877193,0.029385964912280738,-4.1703947368421055
follow_5,60,15,Validation,227,0.47577092511013214,-0.0473568281938326,0.9956140350877193,228.0,0.4956140350877193,-0.019843109977587148,-1.3927515650359379
follow_15,60,15,Validation,226,0.4690265486725664,-0.7699115044247787,0.9912280701754386,228.0,0.4956140350877193,-0.026587486415152906,-2.115306241266884
persist_5m,60,15,Validation,107,0.4392523364485981,-1.469626168224299,0.4692982456140351,228.0,0.4956140350877193,-0.05636169863912116,-2.8150209050664046
flip_5m,60,15,Validation,119,0.5126050420168067,1.3046218487394958,0.5219298245614035,228.0,0.4956140350877193,0.016991006929087393,-0.040772888102609484
HIGH_ALONE_FOLLOW,60,30,Validation,228,0.5570175438596491,0.9331140350877193,1.0,,,,
HIGH_ALONE_LONG,60,30,Validation,228,0.4868421052631579,-0.8541666666666666,1.0,,,,
align_1_5,60,30,Validation,153,0.477124183006536,-7.852941176470588,0.6710526315789473,228.0,0.5570175438596491,-0.0798933608531131,-8.786055211558308
align_1_5_15,60,30,Validation,118,0.4661016949152542,-9.455508474576272,0.5175438596491229,228.0,0.5570175438596491,-0.09091584894439486,-10.38862250966399
align_5_15,60,30,Validation,167,0.46706586826347307,-7.660179640718563,0.7324561403508771,228.0,0.5570175438596491,-0.089951675596176,-8.593293675806283
accel_with_med,60,30,Validation,122,0.47540983606557374,-6.694672131147541,0.5350877192982456,228.0,0.5570175438596491,-0.08160770779407533,-7.62778616623526
rev_short_vs_med,60,30,Validation,80,0.4625,-0.14375,0.3508771929824561,228.0,0.5570175438596491,-0.09451754385964906,-1.0768640350877192
disagree_follow_short,60,30,Validation,80,0.5125,0.14375,0.3508771929824561,228.0,0.5570175438596491,-0.04451754385964912,-0.7893640350877194
follow_5,60,30,Validation,227,0.47577092511013214,-5.506607929515418,0.9956140350877193,228.0,0.5570175438596491,-0.08124661874951694,-6.439721964603137
follow_15,60,30,Validation,226,0.47345132743362833,-5.636061946902655,0.9912280701754386,228.0,0.5570175438596491,-0.08356621642602075,-6.569175981990374
persist_5m,60,30,Validation,107,0.5046728971962616,-4.658878504672897,0.4692982456140351,228.0,0.5570175438596491,-0.05234464666338745,-5.591992539760616
flip_5m,60,30,Validation,119,0.453781512605042,-5.968487394957983,0.5219298245614035,228.0,0.5570175438596491,-0.10323603125460706,-6.9016014300457025
HIGH_ALONE_FOLLOW,60,10,OOS,131,0.5038167938931297,0.4541984732824427,1.0,,,,
HIGH_ALONE_LONG,60,10,OOS,131,0.5267175572519084,0.0916030534351145,1.0,,,,
align_1_5,60,10,OOS,86,0.4883720930232558,2.502906976744186,0.6564885496183206,131.0,0.5038167938931297,-0.015444700869873929,2.048708503461743
align_1_5_15,60,10,OOS,60,0.4166666666666667,-5.295833333333333,0.4580152671755725,131.0,0.5038167938931297,-0.08715012722646304,-5.750031806615776
align_5_15,60,10,OOS,93,0.45161290322580644,-3.954301075268817,0.7099236641221374,131.0,0.5038167938931297,-0.05220389066732328,-4.4084995485512595
accel_with_med,60,10,OOS,54,0.4074074074074074,-7.662037037037037,0.4122137404580153,131.0,0.5038167938931297,-0.09640938648572234,-8.11623551031948
rev_short_vs_med,60,10,OOS,59,0.4406779661016949,-9.88135593220339,0.45038167938931295,131.0,0.5038167938931297,-0.06313882779143482,-10.335554405485832
disagree_follow_short,60,10,OOS,59,0.559322033898305,9.88135593220339,0.45038167938931295,131.0,0.5038167938931297,0.055505240005175316,9.427157458920947
follow_5,60,10,OOS,131,0.4961832061068702,0.5648854961832062,1.0,131.0,0.5038167938931297,-0.007633587786259499,0.11068702290076343
follow_15,60,10,OOS,131,0.4351145038167939,-6.179389312977099,1.0,131.0,0.5038167938931297,-0.06870229007633583,-6.633587786259541
persist_5m,60,10,OOS,64,0.46875,-1.66015625,0.48854961832061067,131.0,0.5038167938931297,-0.03506679389312972,-2.114354723282443
flip_5m,60,10,OOS,67,0.5223880597014925,2.6902985074626864,0.5114503816793893,131.0,0.5038167938931297,0.01857126580836277,2.2361000341802435
HIGH_ALONE_FOLLOW,60,15,OOS,131,0.549618320610687,7.3320610687022905,1.0,,,,
HIGH_ALONE_LONG,60,15,OOS,131,0.40458015267175573,-5.515267175572519,1.0,,,,
align_1_5,60,15,OOS,86,0.5116279069767442,4.215116279069767,0.6564885496183206,131.0,0.549618320610687,-0.03799041363394284,-3.116944789632523
align_1_5_15,60,15,OOS,60,0.48333333333333334,0.49583333333333335,0.4580152671755725,131.0,0.549618320610687,-0.06628498727735371,-6.836227735368957
align_5_15,60,15,OOS,93,0.46236559139784944,-1.7795698924731183,0.7099236641221374,131.0,0.549618320610687,-0.08725272921283761,-9.11163096117541
accel_with_med,60,15,OOS,54,0.46296296296296297,-0.5740740740740741,0.4122137404580153,131.0,0.549618320610687,-0.08665535764772409,-7.906135142776365
rev_short_vs_med,60,15,OOS,59,0.423728813559322,-8.94915254237288,0.45038167938931295,131.0,0.549618320610687,-0.12588950705136503,-16.28121361107517
disagree_follow_short,60,15,OOS,59,0.576271186440678,8.94915254237288,0.45038167938931295,131.0,0.549618320610687,0.026652865829990935,1.6170914736705901
follow_5,60,15,OOS,131,0.48091603053435117,-0.16412213740458015,1.0,131.0,0.549618320610687,-0.06870229007633588,-7.4961832061068705
follow_15,60,15,OOS,131,0.46564885496183206,-2.3625954198473282,1.0,131.0,0.549618320610687,-0.08396946564885499,-9.694656488549619
persist_5m,60,15,OOS,64,0.453125,-3.453125,0.48854961832061067,131.0,0.549618320610687,-0.09649332061068705,-10.785186068702291
flip_5m,60,15,OOS,67,0.5074626865671642,2.9776119402985075,0.5114503816793893,131.0,0.549618320610687,-0.04215563404352285,-4.3544491284037825
HIGH_ALONE_FOLLOW,60,30,OOS,131,0.4961832061068702,5.146946564885496,1.0,,,,
HIGH_ALONE_LONG,60,30,OOS,131,0.4732824427480916,-4.627862595419847,1.0,,,,
align_1_5,60,30,OOS,86,0.47674418604651164,0.9011627906976745,0.6564885496183206,131.0,0.4961832061068702,-0.01943902006035858,-4.245783774187822
align_1_5_15,60,30,OOS,60,0.45,-1.6916666666666667,0.4580152671755725,131.0,0.4961832061068702,-0.04618320610687021,-6.838613231552163
align_5_15,60,30,OOS,93,0.45161290322580644,-1.6559139784946237,0.7099236641221374,131.0,0.4961832061068702,-0.044570302881063784,-6.80286054338012
accel_with_med,60,30,OOS,54,0.46296296296296297,1.8888888888888888,0.4122137404580153,131.0,0.4961832061068702,-0.03322024314390726,-3.2580576759966076
rev_short_vs_med,60,30,OOS,59,0.4576271186440678,-3.9237288135593222,0.45038167938931295,131.0,0.4961832061068702,-0.038556087462802424,-9.070675378444818
disagree_follow_short,60,30,OOS,59,0.5423728813559322,3.9237288135593222,0.45038167938931295,131.0,0.4961832061068702,0.04618967524906198,-1.2232177513261742
follow_5,60,30,OOS,131,0.4732824427480916,-1.2805343511450382,1.0,131.0,0.4961832061068702,-0.02290076335877861,-6.427480916030534
follow_15,60,30,OOS,131,0.4580152671755725,-1.0706106870229009,1.0,131.0,0.4961832061068702,-0.03816793893129772,-6.2175572519083975
persist_5m,60,30,OOS,64,0.484375,-3.26171875,0.48854961832061067,131.0,0.4961832061068702,-0.011808206106870223,-8.408665314885496
flip_5m,60,30,OOS,67,0.4626865671641791,0.6119402985074627,0.5114503816793893,131.0,0.4961832061068702,-0.033496638942691115,-4.5350062663780335
