split,instrument,horizon_m,feature,target,n,spearman
Discovery,es,120,surf_near_oi_gamma_abs_share,rv,7544,-0.41113398707449406
Discovery,es,120,surf_oi_gamma_m_slope,ret,7545,-0.02357359209858098
Discovery,es,120,surf_oi_gamma_m_slope,absret,7545,0.02607869345641121
Discovery,es,120,surf_oi_gamma_m_slope,rv,7544,0.07273779746140224
Discovery,es,120,surf_peak_abs_oi_gamma_dist,ret,7545,0.0012754632779961206
Discovery,es,120,surf_peak_abs_oi_gamma_dist,absret,7545,-0.006971677088279115
Discovery,es,120,surf_peak_abs_oi_gamma_dist,rv,7544,-0.014323099468449764
Discovery,es,120,volg_gamma_sum,ret,7608,0.016606231768876864
Discovery,es,120,volg_gamma_sum,absret,7608,-0.0880502410210803
Discovery,es,120,volg_gamma_sum,rv,7607,-0.16491970296048444
Discovery,es,120,volg_gamma_balance,ret,7608,0.016606231768876864
Discovery,es,120,volg_gamma_balance,absret,7608,-0.0880502410210803
Discovery,es,120,volg_gamma_balance,rv,7607,-0.16491970296048444
Discovery,es,120,surf_iv_atm,ret,7608,-0.03269496874128732
Discovery,es,120,surf_iv_atm,absret,7608,0.4184955295088031
Discovery,es,120,surf_iv_atm,rv,7607,0.7144084280359212
Discovery,es,120,surf_iv_skew_wing,ret,7608,-0.0328552283130534
Discovery,es,120,surf_iv_skew_wing,absret,7608,0.29958032670024337
Discovery,es,120,surf_iv_skew_wing,rv,7607,0.5136306965872092
Discovery,es,120,surf_delta_oi_sum,ret,7608,0.13080301087690904
Discovery,es,120,surf_delta_oi_sum,absret,7608,-0.205157596276315
Discovery,es,120,surf_delta_oi_sum,rv,7607,-0.3546587943617549
Discovery,es,120,surf_vega_oi_sum,ret,7608,0.012794656880199498
Discovery,es,120,surf_vega_oi_sum,absret,7608,-0.014791355618477402
Discovery,es,120,surf_vega_oi_sum,rv,7607,-0.02768533374280249
Discovery,es,120,d30_surf_oi_gamma_sum,ret,6536,-0.007990821667543448
Discovery,es,120,d30_surf_oi_gamma_sum,absret,6536,0.023571712013997968
Discovery,es,120,d30_surf_oi_gamma_sum,rv,6535,0.05466407980941306
Discovery,es,120,d30_surf_oi_gamma_balance,ret,6536,0.005673910166165747
Discovery,es,120,d30_surf_oi_gamma_balance,absret,6536,0.026934276666208547
Discovery,es,120,d30_surf_oi_gamma_balance,rv,6535,0.05948621188031398
Discovery,es,120,d30_surf_atm_oi_gamma_abs_share,ret,6480,-0.024150949206581375
Discovery,es,120,d30_surf_atm_oi_gamma_abs_share,absret,6480,0.10335390101960473
Discovery,es,120,d30_surf_atm_oi_gamma_abs_share,rv,6479,0.19495711701818988
Discovery,es,120,d30_surf_iv_atm,ret,6536,-0.020432534996323002
Discovery,es,120,d30_surf_iv_atm,absret,6536,0.05591945146983038
Discovery,es,120,d30_surf_iv_atm,rv,6535,0.0837784423525291
Discovery,es,120,d30_surf_iv_skew_wing,ret,6536,-0.023044282194888615
Discovery,es,120,d30_surf_iv_skew_wing,absret,6536,-0.03569068978276295
Discovery,es,120,d30_surf_iv_skew_wing,rv,6535,-0.059158763085943804
Discovery,es,120,d30_volg_gamma_sum,ret,6536,-0.020947460121899797
Discovery,es,120,d30_volg_gamma_sum,absret,6536,0.0491607439529457
Discovery,es,120,d30_volg_gamma_sum,rv,6535,0.10487329962135404
Discovery,nq,5,surf_oi_gamma_sum,ret,7607,-0.029564521272624548
Discovery,nq,5,surf_oi_gamma_sum,absret,7607,-0.2126855139631668
Discovery,nq,5,surf_oi_gamma_sum,rv,7607,-0.28474191471127447
Discovery,nq,5,surf_oi_gamma_balance,ret,7607,-0.014014911874532111
Discovery,nq,5,surf_oi_gamma_balance,absret,7607,-0.10466101920718762
Discovery,nq,5,surf_oi_gamma_balance,rv,7607,-0.1534133577826133
Discovery,nq,5,surf_oi_gamma_pc_asym,ret,7607,-0.030830250377875332
