feature,split,instrument,horizon_m,tercile,n,ret_mean,ret_median,absret_mean,rv_mean,up_rate
surf_oi_gamma_balance,Discovery,nq,15,low,2239,7.400916870762281e-05,8.708222303499547e-05,0.0013727019279559734,0.0017302111052830114,0.5301473872264404
surf_oi_gamma_balance,Discovery,nq,15,mid,2354,-3.902670541751357e-05,6.869931386843664e-05,0.0013805282204917512,0.0016517957627877626,0.5148683092608326
surf_oi_gamma_balance,Discovery,nq,15,high,3014,3.726890453580973e-05,6.920462451243115e-05,0.0009256854632896817,0.0012110441470648465,0.5258792302587924
surf_oi_gamma_balance,Discovery,nq,30,low,2239,7.654044172029692e-05,0.00012725344644759495,0.0018031481898220935,0.002323911779400217,0.5323805270209915
surf_oi_gamma_balance,Discovery,nq,30,mid,2354,-9.68307641926309e-05,0.00010081059232613931,0.0018368053792244252,0.002296564116469095,0.5233644859813084
surf_oi_gamma_balance,Discovery,nq,30,high,3014,6.90584543168218e-05,0.00012222385784765866,0.00129150273862635,0.0016775647715310308,0.5341738553417386
surf_oi_gamma_balance,Discovery,nq,60,low,2239,0.00013250956254344791,0.00021568204545019398,0.002461841801145064,0.0031998917246867055,0.5448861098704779
surf_oi_gamma_balance,Discovery,nq,60,mid,2354,-0.00022200358890921254,0.00010879562429566558,0.0025021418185836026,0.0031905156737221095,0.5199660152931181
surf_oi_gamma_balance,Discovery,nq,60,high,3014,0.00016616244205539663,0.00021902523784134154,0.0018027742303658404,0.0023189451925406984,0.546449900464499
surf_oi_gamma_balance,Discovery,nq,120,low,2239,0.00021371592344291733,0.0003320175600398656,0.0031400283204877162,0.004203865547027813,0.5609647163912461
surf_oi_gamma_balance,Discovery,nq,120,mid,2354,-0.0003351258423664824,0.0002031496313745773,0.0033451838480707385,0.004277287483010101,0.5284621920135939
surf_oi_gamma_balance,Discovery,nq,120,high,3014,0.0003099150089550279,0.00030123064807141553,0.002416694781780522,0.0030990872699964956,0.5593895155938952
surf_oi_gamma_balance,Validation,es,5,low,2635,-4.397690629728374e-05,0.0,0.0008638295522158741,0.0010279583400743019,0.4804554079696395
surf_oi_gamma_balance,Validation,es,5,mid,1985,1.3763869192424413e-06,5.507821105976696e-05,0.0006391106583662526,0.0007527420051391265,0.5113350125944585
surf_oi_gamma_balance,Validation,es,5,high,197,-3.269743682610127e-05,-5.49088513068785e-05,0.0005485023897748402,0.0006055919202114958,0.4467005076142132
surf_oi_gamma_balance,Validation,es,15,low,2635,6.6163798333901475e-06,5.613877505195042e-05,0.001335563694650958,0.0017267230103536688,0.505123339658444
surf_oi_gamma_balance,Validation,es,15,mid,1985,-4.437324271551325e-06,5.6160844659203235e-05,0.0010504373637302332,0.0012922933129760148,0.509823677581864
surf_oi_gamma_balance,Validation,es,15,high,197,5.315546034123258e-06,0.0,0.0008484900599085072,0.001062250612334771,0.47715736040609136
surf_oi_gamma_balance,Validation,es,30,low,2635,-3.861779327658361e-05,5.964807634950553e-05,0.0018764382064386912,0.002348033132518264,0.5058823529411764
surf_oi_gamma_balance,Validation,es,30,mid,1985,4.165437531196662e-05,0.0001113585746101986,0.0014383890998163073,0.001818125307681019,0.5214105793450882
surf_oi_gamma_balance,Validation,es,30,high,197,0.00012165919668201851,5.173305742367518e-05,0.0011757915888190552,0.0015105005183651315,0.5025380710659898
surf_oi_gamma_balance,Validation,es,60,low,2635,-4.2144794033232525e-05,0.00011001705264312989,0.002549829352193522,0.0032302004527041493,0.5123339658444023
surf_oi_gamma_balance,Validation,es,60,mid,1985,8.150857913886045e-05,0.00011241639030967754,0.002058319104569656,0.0025260644729700544,0.5204030226700251
surf_oi_gamma_balance,Validation,es,60,high,197,0.0002910985918885794,0.00027320911425610106,0.0015963884008655066,0.0020760506001968296,0.5634517766497462
surf_oi_gamma_balance,Validation,es,120,low,2635,-4.636295686355333e-05,0.000171644352900735,0.003407284654674341,0.004309686714148253,0.5203036053130929
surf_oi_gamma_balance,Validation,es,120,mid,1985,0.0001565066046069967,0.00027282152016150363,0.0028309002185988312,0.003406728628946329,0.5405541561712847
surf_oi_gamma_balance,Validation,es,120,high,197,0.0004906470427151303,0.00042550604826452343,0.002093977057994916,0.0026980815784371517,0.5380710659898477
surf_oi_gamma_balance,Validation,nq,5,low,2635,-4.577151015378318e-05,-1.711654656555428e-05,0.0011363871780108665,0.0013403304584606126,0.4937381404174573
surf_oi_gamma_balance,Validation,nq,5,mid,1985,1.6859172307549612e-06,4.300058050787925e-05,0.0008567009714211976,0.0009982695623359714,0.5168765743073048
surf_oi_gamma_balance,Validation,nq,5,high,197,-4.80142493799609e-05,-6.693440428384712e-05,0.0007277183095391928,0.000786978019629165,0.467005076142132
surf_oi_gamma_balance,Validation,nq,15,low,2635,2.292673836491583e-05,8.77988820275899e-05,0.0017668792605583972,0.0022483014300970533,0.5172675521821631
surf_oi_gamma_balance,Validation,nq,15,mid,1985,1.2228565193679482e-05,8.260230295231707e-05,0.0014247788722479753,0.0017184293941532164,0.5209068010075567
