protocol,placebo,instrument,horizon_m,target,model,n_train,n_test,r2_A,r2_ext,delta_r2,n_feat_A,n_feat_ext
fit_DiscVal_score_OOS,permute_rows,es,30,rv,B_oi_gamma,11047,803,0.38032040213987583,0.3793193474051543,-0.0010010547347215626,6,15
fit_DiscVal_score_OOS,permute_rows,es,60,rv,atm_share_only,12361,870,0.3706199116359613,0.37000084990222226,-0.0006190617337390458,6,7
fit_DiscVal_score_OOS,permute_rows,es,60,rv,B_oi_gamma,11047,803,0.3703847623619295,0.3694608819104649,-0.0009238804514646315,6,15
fit_DiscVal_score_OOS,permute_rows,nq,15,rv,atm_share_only,12361,870,0.30505380581654495,0.3048948158925874,-0.00015898992395757539,6,7
fit_DiscVal_score_OOS,permute_rows,nq,15,rv,B_oi_gamma,11047,803,0.29890721931970776,0.29868543870789466,-0.00022178061181310493,6,15
fit_DiscVal_score_OOS,permute_rows,nq,30,rv,atm_share_only,12361,870,0.33264146940269834,0.3325965575502866,-4.491185241173312e-05,6,7
fit_DiscVal_score_OOS,permute_rows,nq,30,rv,B_oi_gamma,11047,803,0.3314769568783674,0.3311619053324045,-0.00031505154596289664,6,15
fit_DiscVal_score_OOS,permute_rows,nq,60,rv,atm_share_only,12361,870,0.3071717937112898,0.30700218795106293,-0.00016960576022684304,6,7
fit_DiscVal_score_OOS,permute_rows,nq,60,rv,B_oi_gamma,11047,803,0.31214612392740115,0.3117843348460606,-0.00036178908134054666,6,15
fit_DiscVal_score_OOS,shift_fwd_1,es,15,rv,atm_share_only,10932,804,0.3828678106400063,0.3830077438464752,0.00013993320646887852,6,7
fit_DiscVal_score_OOS,shift_fwd_1,es,15,rv,B_oi_gamma,10932,804,0.3828678106400063,0.3850567348318543,0.0021889241918480185,6,15
fit_DiscVal_score_OOS,shift_fwd_1,es,30,rv,atm_share_only,10932,804,0.4751074891764089,0.4757737798795013,0.0006662907030924314,6,7
fit_DiscVal_score_OOS,shift_fwd_1,es,30,rv,B_oi_gamma,10932,804,0.4751074891764089,0.47920822343536207,0.004100734258953187,6,15
fit_DiscVal_score_OOS,shift_fwd_1,es,60,rv,atm_share_only,10932,804,0.41958785401638554,0.4212820571032745,0.0016942030868889457,6,7
fit_DiscVal_score_OOS,shift_fwd_1,es,60,rv,B_oi_gamma,10932,804,0.41958785401638554,0.4178360887446205,-0.0017517652717650156,6,15
fit_DiscVal_score_OOS,shift_fwd_1,nq,15,rv,atm_share_only,10932,804,0.3862040417625431,0.38531933232128956,-0.0008847094412535172,6,7
fit_DiscVal_score_OOS,shift_fwd_1,nq,15,rv,B_oi_gamma,10932,804,0.3862040417625431,0.38941292216562695,0.003208880403083869,6,15
fit_DiscVal_score_OOS,shift_fwd_1,nq,30,rv,atm_share_only,10932,804,0.45787183439669576,0.4562106721145256,-0.00166116228217017,6,7
fit_DiscVal_score_OOS,shift_fwd_1,nq,30,rv,B_oi_gamma,10932,804,0.45787183439669576,0.4557634085337715,-0.002108425862924257,6,15
fit_DiscVal_score_OOS,shift_fwd_1,nq,60,rv,atm_share_only,10932,804,0.35076806751601486,0.351338650472498,0.0005705829564831566,6,7
fit_DiscVal_score_OOS,shift_fwd_1,nq,60,rv,B_oi_gamma,10932,804,0.35076806751601486,0.3480784381078853,-0.002689629408129557,6,15
fit_DiscVal_score_OOS,shift_fwd_2,es,15,rv,atm_share_only,10011,738,0.39386300267655383,0.39344138824527664,-0.0004216144312771952,6,7
fit_DiscVal_score_OOS,shift_fwd_2,es,15,rv,B_oi_gamma,10011,738,0.39386300267655383,0.39139489050707565,-0.002468112169478176,6,15
fit_DiscVal_score_OOS,shift_fwd_2,es,30,rv,atm_share_only,10011,738,0.4829030416825606,0.4825624608794544,-0.0003405808031061719,6,7
fit_DiscVal_score_OOS,shift_fwd_2,es,30,rv,B_oi_gamma,10011,738,0.4829030416825606,0.48047274894616787,-0.002430292736392725,6,15
fit_DiscVal_score_OOS,shift_fwd_2,es,60,rv,atm_share_only,10011,738,0.4465824782760319,0.4475917506678929,0.0010092723918609936,6,7
fit_DiscVal_score_OOS,shift_fwd_2,es,60,rv,B_oi_gamma,10011,738,0.4465824782760319,0.44808205514316823,0.0014995768671363097,6,15
fit_DiscVal_score_OOS,shift_fwd_2,nq,15,rv,atm_share_only,10011,738,0.39995056228132064,0.3989180265904181,-0.0010325356909025585,6,7
fit_DiscVal_score_OOS,shift_fwd_2,nq,15,rv,B_oi_gamma,10011,738,0.39995056228132064,0.39702911937490937,-0.0029214429064112757,6,15
fit_DiscVal_score_OOS,shift_fwd_2,nq,30,rv,atm_share_only,10011,738,0.4729669837195071,0.4713941283455704,-0.001572855373936699,6,7
fit_DiscVal_score_OOS,shift_fwd_2,nq,30,rv,B_oi_gamma,10011,738,0.4729669837195071,0.4696648000428487,-0.0033021836766583545,6,15
fit_DiscVal_score_OOS,shift_fwd_2,nq,60,rv,atm_share_only,10011,738,0.41173249148042124,0.41058384013866056,-0.0011486513417606758,6,7
fit_DiscVal_score_OOS,shift_fwd_2,nq,60,rv,B_oi_gamma,10011,738,0.41173249148042124,0.4095775365782347,-0.0021549549021865344,6,15
fit_DiscVal_score_OOS,shift_back_1,es,15,rv,atm_share_only,10888,802,0.32803236225730403,0.329910395938239,0.0018780336809349762,6,7
fit_DiscVal_score_OOS,shift_back_1,es,15,rv,B_oi_gamma,9931,734,0.32049773867081477,0.3245735948507066,0.0040758561798918125,6,15
fit_DiscVal_score_OOS,shift_back_1,es,30,rv,atm_share_only,10888,802,0.38178210735693585,0.38178202099778946,-8.635914638954745e-08,6,7
fit_DiscVal_score_OOS,shift_back_1,es,30,rv,B_oi_gamma,9931,734,0.3741683849210289,0.3739608356806714,-0.00020754924035748523,6,15
fit_DiscVal_score_OOS,shift_back_1,es,60,rv,atm_share_only,10888,802,0.359056350877336,0.35970643982885786,0.0006500889515218544,6,7
fit_DiscVal_score_OOS,shift_back_1,es,60,rv,B_oi_gamma,9931,734,0.3542284762650989,0.3518841591326364,-0.0023443171324625256,6,15
fit_DiscVal_score_OOS,shift_back_1,nq,15,rv,atm_share_only,10888,802,0.2649552002606388,0.2658924750060886,0.0009372747454498009,6,7
fit_DiscVal_score_OOS,shift_back_1,nq,15,rv,B_oi_gamma,9931,734,0.24062004143148996,0.2408086660027121,0.00018862457122215126,6,15
fit_DiscVal_score_OOS,shift_back_1,nq,30,rv,atm_share_only,10888,802,0.2979388200005779,0.2971459632246892,-0.0007928567758886951,6,7
fit_DiscVal_score_OOS,shift_back_1,nq,30,rv,B_oi_gamma,9931,734,0.27599030068826835,0.2732120337829489,-0.0027782669053194597,6,15
fit_DiscVal_score_OOS,shift_back_1,nq,60,rv,atm_share_only,10888,802,0.2721288826066188,0.26860213959732093,-0.0035267430092978946,6,7
fit_DiscVal_score_OOS,shift_back_1,nq,60,rv,B_oi_gamma,9931,734,0.2547672224343819,0.249507337336757,-0.005259885097624872,6,15
fit_DiscVal_score_OOS,shift_back_2,es,15,rv,atm_share_only,9931,734,0.32049773867081477,0.32095154422712546,0.0004538055563106935,6,7
fit_DiscVal_score_OOS,shift_back_2,es,15,rv,B_oi_gamma,8974,666,0.3257896428774909,0.32649602594085003,0.0007063830633591284,6,15
fit_DiscVal_score_OOS,shift_back_2,es,30,rv,atm_share_only,9931,734,0.3741683849210289,0.3748293750669326,0.000660990145903706,6,7
fit_DiscVal_score_OOS,shift_back_2,es,30,rv,B_oi_gamma,8974,666,0.37723253047649274,0.3739809000418818,-0.0032516304346109637,6,15
fit_DiscVal_score_OOS,shift_back_2,es,60,rv,atm_share_only,9931,734,0.3542284762650989,0.35436971206278356,0.00014123579768465788,6,7
fit_DiscVal_score_OOS,shift_back_2,es,60,rv,B_oi_gamma,8974,666,0.35652871343754944,0.35239915380838127,-0.004129559629168167,6,15
fit_DiscVal_score_OOS,shift_back_2,nq,15,rv,atm_share_only,9931,734,0.24062004143148996,0.23964120141937817,-0.0009788400121117924,6,7
fit_DiscVal_score_OOS,shift_back_2,nq,15,rv,B_oi_gamma,8974,666,0.23662188935999895,0.23651803723937959,-0.00010385212061936322,6,15
fit_DiscVal_score_OOS,shift_back_2,nq,30,rv,atm_share_only,9931,734,0.27599030068826835,0.27544190851020256,-0.000548392178065793,6,7
fit_DiscVal_score_OOS,shift_back_2,nq,30,rv,B_oi_gamma,8974,666,0.272038724868093,0.26812955545218276,-0.003909169415910241,6,15
fit_DiscVal_score_OOS,shift_back_2,nq,60,rv,atm_share_only,9931,734,0.2547672224343819,0.25399789844322185,-0.0007693239911600314,6,7
fit_DiscVal_score_OOS,shift_back_2,nq,60,rv,B_oi_gamma,8974,666,0.2519336147551269,0.24889482656361106,-0.0030387881915158177,6,15
fit_DiscVal_score_OOS,wrong_day,es,15,rv,atm_share_only,10007,870,0.33463110000863794,0.3346684264045696,3.732639593168052e-05,6,7
fit_DiscVal_score_OOS,wrong_day,es,15,rv,B_oi_gamma,8869,802,0.3355226915649623,0.34710740375805604,0.01158471219309376,6,15
fit_DiscVal_score_OOS,wrong_day,es,30,rv,atm_share_only,10007,870,0.38908736253489096,0.38965467780556395,0.0005673152706729967,6,7
fit_DiscVal_score_OOS,wrong_day,es,30,rv,B_oi_gamma,8869,802,0.382107562096048,0.39983276776818166,0.017725205672133648,6,15
fit_DiscVal_score_OOS,wrong_day,es,60,rv,atm_share_only,10007,870,0.37173354898729394,0.3732099271749497,0.0014763781876557802,6,7
fit_DiscVal_score_OOS,wrong_day,es,60,rv,B_oi_gamma,8869,802,0.36101065964541135,0.3992388098916271,0.03822815024621573,6,15
fit_DiscVal_score_OOS,wrong_day,nq,15,rv,atm_share_only,10007,870,0.30623993182791176,0.3061889817913849,-5.095003652688668e-05,6,7
fit_DiscVal_score_OOS,wrong_day,nq,15,rv,B_oi_gamma,8869,802,0.26763032281497656,0.26173040743570863,-0.005899915379267928,6,15
fit_DiscVal_score_OOS,wrong_day,nq,30,rv,atm_share_only,10007,870,0.3323473002071775,0.32714940664939607,-0.005197893557781441,6,7
fit_DiscVal_score_OOS,wrong_day,nq,30,rv,B_oi_gamma,8869,802,0.29781634329063245,0.2823773001041012,-0.01543904318653122,6,15
fit_DiscVal_score_OOS,wrong_day,nq,60,rv,atm_share_only,10007,870,0.3079445505133872,0.30661664757503726,-0.0013279029383499452,6,7
fit_DiscVal_score_OOS,wrong_day,nq,60,rv,B_oi_gamma,8869,802,0.2734609010611627,0.28253254664718797,0.009071645586025245,6,15
