protocol,train,test,instrument,horizon_m,target,model,n_train,n_test,r2_A,r2_ext,delta_r2,n_feat_A,n_feat_ext
fit_Discovery_score_Validation,Discovery,Validation,nq,15,ret,atm_share_only,7544,4817,-0.002697459729576357,-0.0018341242387218681,0.0008633354908544888,6,7
fit_Discovery_score_Validation,Discovery,Validation,nq,15,ret,family_volg,6535,4409,-0.0030862906683180036,-0.003762410375617087,-0.0006761197072990832,6,9
fit_Discovery_score_Validation,Discovery,Validation,nq,15,ret,family_skew,6479,4409,-0.0024669257117315713,-0.0033489007876561505,-0.0008819750759245792,6,10
fit_Discovery_score_Validation,Discovery,Validation,nq,15,ret,family_iv_vs_no_iv,7607,4817,0.001138043318780646,-0.0027550246313046145,-0.0038930679500852605,5,6
fit_Discovery_score_Validation,Discovery,Validation,nq,30,rv,B_oi_gamma,6479,4409,0.5699059446956347,0.5852854115679508,0.015379466872316061,6,15
fit_Discovery_score_Validation,Discovery,Validation,nq,30,rv,C_volg_skew,6479,4409,0.5699059446956347,0.5780231492261829,0.008117204530548205,6,13
fit_Discovery_score_Validation,Discovery,Validation,nq,30,rv,atm_share_only,7544,4817,0.5983070420614582,0.6020586173574867,0.003751575296028431,6,7
fit_Discovery_score_Validation,Discovery,Validation,nq,30,rv,family_volg,6535,4409,0.5701985640886624,0.5795016978428441,0.00930313375418168,6,9
fit_Discovery_score_Validation,Discovery,Validation,nq,30,rv,family_skew,6479,4409,0.5699059446956347,0.5692017591470733,-0.0007041855485614423,6,10
fit_Discovery_score_Validation,Discovery,Validation,nq,30,rv,family_iv_vs_no_iv,7607,4817,0.573448097365878,0.5991293902640762,0.025681292898198205,5,6
fit_Discovery_score_Validation,Discovery,Validation,nq,30,absret,B_oi_gamma,6479,4409,0.19267662801515495,0.1959882669805897,0.003311638965434738,6,15
fit_Discovery_score_Validation,Discovery,Validation,nq,30,absret,C_volg_skew,6479,4409,0.19267662801515495,0.19329507561992132,0.0006184476047663701,6,13
fit_Discovery_score_Validation,Discovery,Validation,nq,30,absret,atm_share_only,7544,4817,0.1865409952522351,0.18665745907249787,0.0001164638202627577,6,7
fit_Discovery_score_Validation,Discovery,Validation,nq,30,absret,family_volg,6535,4409,0.1930689279765463,0.19297353714921806,-9.539082732823445e-05,6,9
fit_Discovery_score_Validation,Discovery,Validation,nq,30,absret,family_skew,6479,4409,0.19267662801515495,0.19085642903243905,-0.0018201989827159037,6,10
fit_Discovery_score_Validation,Discovery,Validation,nq,30,absret,family_iv_vs_no_iv,7607,4817,0.1840826430312511,0.18702987662151516,0.0029472335902640534,5,6
fit_Discovery_score_Validation,Discovery,Validation,nq,30,ret,B_oi_gamma,6479,4409,0.000761946457100815,0.0018360555930949651,0.0010741091359941501,6,15
fit_Discovery_score_Validation,Discovery,Validation,nq,30,ret,C_volg_skew,6479,4409,0.000761946457100815,-0.004157646024334882,-0.004919592481435697,6,13
fit_Discovery_score_Validation,Discovery,Validation,nq,30,ret,atm_share_only,7544,4817,-0.0002612905795928988,0.00023590494454051036,0.0004971955241334092,6,7
fit_Discovery_score_Validation,Discovery,Validation,nq,30,ret,family_volg,6535,4409,0.0007813365113261694,0.0005130301878130128,-0.00026830632351315664,6,9
fit_Discovery_score_Validation,Discovery,Validation,nq,30,ret,family_skew,6479,4409,0.000761946457100815,-0.0003801423366718293,-0.0011420887937726443,6,10
fit_Discovery_score_Validation,Discovery,Validation,nq,30,ret,family_iv_vs_no_iv,7607,4817,-0.0010204980758896642,-0.0001807922315535393,0.0008397058443361249,5,6
fit_Discovery_score_Validation,Discovery,Validation,nq,60,rv,B_oi_gamma,6479,4409,0.5289600449717409,0.5484797586216725,0.019519713649931658,6,15
fit_Discovery_score_Validation,Discovery,Validation,nq,60,rv,C_volg_skew,6479,4409,0.5289600449717409,0.5390167329426538,0.01005668797091297,6,13
fit_Discovery_score_Validation,Discovery,Validation,nq,60,rv,atm_share_only,7544,4817,0.565889384557104,0.568449797867155,0.0025604133100509685,6,7
fit_Discovery_score_Validation,Discovery,Validation,nq,60,rv,family_volg,6535,4409,0.5292408132283408,0.5379681320486709,0.008727318820330066,6,9
fit_Discovery_score_Validation,Discovery,Validation,nq,60,rv,family_skew,6479,4409,0.5289600449717409,0.530423924416582,0.0014638794448411652,6,10
fit_Discovery_score_Validation,Discovery,Validation,nq,60,rv,family_iv_vs_no_iv,7607,4817,0.5235694605578611,0.5665461476307248,0.04297668707286362,5,6
fit_Discovery_score_Validation,Discovery,Validation,nq,60,absret,B_oi_gamma,6479,4409,0.16783551735463498,0.1704687713101276,0.0026332539554926315,6,15
fit_Discovery_score_Validation,Discovery,Validation,nq,60,absret,C_volg_skew,6479,4409,0.16783551735463498,0.1711567207707292,0.0033212034160942094,6,13
fit_Discovery_score_Validation,Discovery,Validation,nq,60,absret,atm_share_only,7544,4817,0.16167701990791816,0.16115257102116787,-0.000524448886750295,6,7
fit_Discovery_score_Validation,Discovery,Validation,nq,60,absret,family_volg,6535,4409,0.16742405332813415,0.16606392967954675,-0.0013601236485873969,6,9
fit_Discovery_score_Validation,Discovery,Validation,nq,60,absret,family_skew,6479,4409,0.16783551735463498,0.16969485326455824,0.0018593359099232654,6,10
fit_Discovery_score_Validation,Discovery,Validation,nq,60,absret,family_iv_vs_no_iv,7607,4817,0.15494607978744368,0.16118355499223402,0.006237475204790344,5,6
fit_Discovery_score_Validation,Discovery,Validation,nq,60,ret,B_oi_gamma,6479,4409,-0.0028499374714239245,-0.001280567036841429,0.0015693704345824955,6,15
fit_Discovery_score_Validation,Discovery,Validation,nq,60,ret,C_volg_skew,6479,4409,-0.0028499374714239245,-0.013098410784819325,-0.010248473313395401,6,13
fit_Discovery_score_Validation,Discovery,Validation,nq,60,ret,atm_share_only,7544,4817,-0.0016059198382498696,-0.0019892104068255367,-0.0003832905685756671,6,7
fit_Discovery_score_Validation,Discovery,Validation,nq,60,ret,family_volg,6535,4409,-0.003598203954562118,-0.005049010139223764,-0.001450806184661646,6,9
fit_Discovery_score_Validation,Discovery,Validation,nq,60,ret,family_skew,6479,4409,-0.0028499374714239245,-0.005028736652326282,-0.0021787991809023577,6,10
fit_Discovery_score_Validation,Discovery,Validation,nq,60,ret,family_iv_vs_no_iv,7607,4817,-0.003282433028636067,-0.002048021635490782,0.001234411393145285,5,6
fit_Discovery_score_Validation,Discovery,Validation,nq,120,rv,B_oi_gamma,6479,4409,0.4753270925412153,0.49972932425680017,0.024402231715584866,6,15
fit_Discovery_score_Validation,Discovery,Validation,nq,120,rv,C_volg_skew,6479,4409,0.4753270925412153,0.48984432347681905,0.014517230935603753,6,13
fit_Discovery_score_Validation,Discovery,Validation,nq,120,rv,atm_share_only,7544,4817,0.5168186306244575,0.5161852423122,-0.0006333883122575656,6,7
fit_Discovery_score_Validation,Discovery,Validation,nq,120,rv,family_volg,6535,4409,0.47566190591694657,0.48434548989489923,0.008683583977952658,6,9
fit_Discovery_score_Validation,Discovery,Validation,nq,120,rv,family_skew,6479,4409,0.4753270925412153,0.48083449011600565,0.005507397574790351,6,10
fit_Discovery_score_Validation,Discovery,Validation,nq,120,rv,family_iv_vs_no_iv,7607,4817,0.45946604576956473,0.5173332675013533,0.0578672217317886,5,6
fit_Discovery_score_Validation,Discovery,Validation,nq,120,absret,B_oi_gamma,6479,4409,0.14917382721526717,0.15971147959953902,0.010537652384271845,6,15
fit_Discovery_score_Validation,Discovery,Validation,nq,120,absret,C_volg_skew,6479,4409,0.14917382721526717,0.16020167923471573,0.011027852019448559,6,13
fit_Discovery_score_Validation,Discovery,Validation,nq,120,absret,atm_share_only,7544,4817,0.14311288591985738,0.14402376210049395,0.0009108761806365662,6,7
fit_Discovery_score_Validation,Discovery,Validation,nq,120,absret,family_volg,6535,4409,0.1496072469715105,0.15001433883823256,0.00040709186672205355,6,9
fit_Discovery_score_Validation,Discovery,Validation,nq,120,absret,family_skew,6479,4409,0.14917382721526717,0.15460407810118038,0.0054302508859132015,6,10
fit_Discovery_score_Validation,Discovery,Validation,nq,120,absret,family_iv_vs_no_iv,7607,4817,0.13358787447498432,0.14333705572776112,0.009749181252776795,5,6
fit_Discovery_score_Validation,Discovery,Validation,nq,120,ret,B_oi_gamma,6479,4409,0.0007221037625935178,0.006146118351376684,0.005424014588783166,6,15
fit_Discovery_score_Validation,Discovery,Validation,nq,120,ret,C_volg_skew,6479,4409,0.0007221037625935178,-0.007667811092500587,-0.008389914855094105,6,13
fit_Discovery_score_Validation,Discovery,Validation,nq,120,ret,atm_share_only,7544,4817,0.0012132380778633323,0.001408456009608483,0.00019521793174515079,6,7
fit_Discovery_score_Validation,Discovery,Validation,nq,120,ret,family_volg,6535,4409,0.0006674952534625467,0.0008348283260520839,0.00016733307258953722,6,9
