prior_session,next_session,open,prior_poc,prior_range,prior_poc_location,poc_location_third,half_width,displacement,null_center,null_outside_prior_range,open_inside_both_bands,n_bars,vwap_proxy,poc_band_touch,null_band_touch,poc_point_touch,null_point_touch,minutes_to_poc_band,minutes_to_null_band,touch_order,abs_migration_poc,abs_migration_null,closer_center,imbalance_poc,imbalance_null
2026-06-01,2026-06-02,30741.75,30590.0,445.5,0.6111111111111112,middle,44.550000000000004,-151.75,30893.5,True,False,1380,30649.448701130776,True,False,True,False,79.0,,poc_sooner,0.13344265124753218,0.5478143633428157,poc,1024.0,
2026-06-02,2026-06-03,30453.0,30685.0,329.5,0.6274658573596358,middle,32.95,232.0,30221.0,True,False,1380,30393.027524204495,False,True,False,True,,675.0,null_sooner,0.8861076655402264,0.5220865681471788,null,,563.0
2026-06-03,2026-06-04,30414.0,30300.0,452.25,0.3294637921503593,lower,45.225,-114.0,30528.0,False,False,1380,29611.601574092925,True,False,True,False,24.0,,poc_sooner,1.5221634624810942,2.026309399462852,poc,-1280.0,
2026-06-04,2026-06-08,29435.0,29150.0,1640.75,0.2247447813499923,lower,164.07500000000002,-285.0,29720.0,False,False,1380,29090.923997645714,True,True,True,True,153.0,330.0,poc_sooner,0.03600548673124253,0.38340758942817993,poc,-305.0,-484.0
2026-06-08,2026-06-09,29094.75,29723.25,1620.5,0.9228633137920396,upper,162.05,628.5,28466.25,False,False,1380,28835.978406709302,False,True,False,True,,805.0,null_sooner,0.5475295237832136,0.22815699272403725,null,,16.0
2026-06-09,2026-06-10,28455.0,29110.0,841.0,0.8335315101070154,upper,84.10000000000001,655.0,27800.0,True,False,1380,28938.244273960092,True,False,True,False,961.0,,poc_sooner,0.20422797388811895,1.3534414672533792,poc,201.0,
2026-06-10,2026-06-11,29456.75,28600.0,1278.5,0.2614391865467345,lower,127.85000000000001,-856.75,30313.5,True,False,1380,29553.442594508517,False,False,False,False,,,tie,0.745750953858832,0.5944915177876287,null,,
2026-06-11,2026-06-15,30539.75,29660.0,530.0,0.8113207547169812,upper,53.0,-879.75,31419.5,True,False,1367,30319.46730963926,False,False,False,False,,,tie,1.2442779427155881,2.075533378039129,poc,,
2026-06-15,2026-06-16,30006.75,30525.0,707.75,0.8028965030024726,upper,70.775,518.25,29488.5,True,False,1298,30025.499799133406,False,False,False,False,,,tie,0.7057579666076923,0.7587422100083444,poc,,
2026-06-16,2026-06-22,30662.75,30090.0,652.5,0.7264367816091954,upper,65.25,-572.75,31235.5,True,False,1380,29888.850358772586,True,False,True,False,452.0,,poc_sooner,0.3082753122259213,2.0638308677814767,poc,-886.0,
2026-06-22,2026-06-23,29770.0,29730.0,1124.0,0.1358985765124555,lower,112.4,-40.0,29810.0,False,True,1380,29660.766093432616,True,True,True,True,0.0,0.0,tie,0.06159600228414956,0.13277037950834886,poc,443.0,-299.0
2026-06-23,2026-06-24,30089.75,29800.0,893.0,0.5993840985442329,middle,89.30000000000001,-289.75,30379.5,True,False,1380,29775.73167327356,True,False,True,False,942.0,,poc_sooner,0.027176177745173724,0.6761123479579397,poc,-317.0,
2026-06-24,2026-06-25,29742.0,29700.0,968.0,0.4176136363636363,middle,96.80000000000001,-42.0,29784.0,False,True,1380,29474.486784226152,True,True,True,True,0.0,0.0,tie,0.2329681981134794,0.3197450576176116,poc,-1243.0,-1254.0
2026-06-25,2026-06-29,30007.25,29500.0,732.25,0.4636394673950154,middle,73.22500000000001,-507.25,30514.5,True,False,1380,30339.879244493,False,True,False,True,,995.0,null_sooner,1.1469842874605674,0.2384714994974388,null,,152.0
2026-06-29,2026-06-30,30505.75,30525.0,665.0,0.887593984962406,upper,66.5,19.25,30486.5,False,True,1380,30241.89532756562,True,True,True,True,0.0,0.0,tie,0.4257213119313979,0.3678265750892926,null,-1161.0,-1168.0
2026-06-30,2026-07-01,30089.75,30250.0,545.25,0.4429160935350756,middle,54.525000000000006,160.25,29929.5,True,False,1380,29802.82686033245,True,True,True,True,197.0,121.0,null_sooner,0.8201249695874361,0.23232120984419907,null,-469.0,-104.0
2026-07-01,2026-07-06,29960.0,29460.0,991.5,0.1326273323247604,lower,99.15,-500.0,30460.0,True,False,1380,29488.01031723293,True,False,True,False,448.0,,poc_sooner,0.028250446024134224,0.9803224233656792,poc,-111.0,
2026-07-06,2026-07-07,29373.75,29540.0,763.75,0.4320785597381342,middle,76.375,166.25,29207.5,True,False,1380,29282.609298817435,True,True,True,True,144.0,120.0,null_sooner,0.3370091013847004,0.09834278077569236,null,-1192.0,4.0
2026-07-07,2026-07-08,29412.0,29400.0,649.0,0.7553929121725732,upper,64.9,-12.0,29424.0,False,True,1380,29792.600719336457,True,True,True,True,0.0,0.0,tie,0.6049317709344478,0.5679518017510888,null,1299.0,1240.0
2026-07-08,2026-07-09,29937.75,29900.0,598.5,0.8437761069340016,upper,59.85,-37.75,29975.5,False,True,1380,29925.877702499096,True,True,True,True,0.0,0.0,tie,0.04323759816056124,0.08291110693551228,poc,-199.0,266.0
