prior_session,next_session,calendar_gap_days,prior_poc,prior_poc_location,prior_lower_share,prior_middle_share,prior_upper_share,prior_dominant_third,prior_vw_std_norm,prior_poc_concentration_10,prior_profile_low,prior_profile_high,prior_range,open_to_poc,open_to_poc_frac,open_third,n_bars,near_bar_n,near_share,minutes_to_poc_band,poc_band_status,touched_poc_band,crossed_poc,closes_after_cross,closes_above,closes_below,closes_equal,close_imbalance,next_vwap_proxy,migration_frac,in_location_sample,exclude_reason
2026-07-01,2026-07-06,5,29460.0,0.1326273323247604,0.3936377897856022,0.2590774399036556,0.347284770310742,lower,0.2934871180331987,0.3099085679877034,29328.5,30320.0,991.5,500.0,0.5042864346949067,prior_middle,1380,315,0.22826086956521738,448.0,touch,True,True,426,157,268,1,-111.0,29488.01031723293,0.028250446024134224,True,
2026-07-06,2026-07-07,1,29540.0,0.4320785597381342,0.4739538930273511,0.4487358667244343,0.0773102402482145,lower,0.2084065179803605,0.3128188285279031,29210.0,29973.75,763.75,-166.25,-0.2176759410801964,prior_lower,1380,160,0.11594202898550725,144.0,touch,True,True,1204,6,1198,0,-1192.0,29282.609298817435,-0.3370091013847004,True,
2026-07-07,2026-07-08,1,29400.0,0.7553929121725732,0.1698627183735215,0.4124697172882768,0.4176675643382017,upper,0.2139526651906932,0.3843574949483138,28909.75,29558.75,649.0,12.0,0.01848998459167951,prior_upper,1380,166,0.12028985507246377,0.0,touch,True,True,1299,1299,0,0,1299.0,29792.600719336457,0.6049317709344478,True,
2026-07-08,2026-07-09,1,29900.0,0.8437761069340016,0.1311632370469045,0.3018583923438266,0.5669783706092687,upper,0.2535900046017359,0.4176913166935427,29395.0,29993.5,598.5,37.75,0.06307435254803676,prior_upper,1380,688,0.4985507246376812,0.0,touch,True,True,1257,529,728,0,-199.0,29925.877702499096,0.04323759816056124,True,
2026-07-09,2026-07-13,4,30050.0,0.931098696461825,0.0751305285302332,0.5340352099070499,0.3908342615627169,middle,0.215108524648566,0.2642841979978867,29675.0,30077.75,402.75,-604.0,-1.499689633767846,outside_below,1380,0,0.0,,no_touch,False,False,0,0,0,0,,29715.634739912544,-0.8302054874921309,True,
2026-07-13,2026-07-14,1,29785.0,0.7788111605337646,0.1251593212697146,0.2249377888375399,0.6499028898927454,upper,0.2271947619764042,0.516278948783089,29303.5,29921.75,618.25,20.0,0.03234937323089365,prior_upper,1380,164,0.11884057971014493,0.0,touch,True,True,1378,923,453,2,470.0,29715.80205187743,-0.11192551253145441,True,
2026-07-14,2026-07-15,1,29700.0,0.4552967693463561,0.3009087617741586,0.4356474093311408,0.2634438288947005,middle,0.2349545220432777,0.2934432827881369,29397.0,30062.5,665.5,9.0,0.013523666416228399,prior_middle,1380,535,0.38768115942028986,0.0,touch,True,True,1379,302,1076,1,-774.0,29375.189733640425,-0.48806952120146446,True,
2026-07-15,2026-07-16,1,29300.0,0.3082811412665275,0.4059580108327469,0.4615985665428482,0.1324434226244047,middle,0.2179841327014754,0.3214887663432115,29078.5,29797.0,718.5,-109.0,-0.15170494084899094,prior_lower,1380,0,0.0,,no_touch,False,False,0,0,0,0,,28797.544114138425,-0.6993122976500691,True,
2026-07-16,2026-07-20,4,28850.0,0.5441946412072682,0.1793783051471835,0.6726787425212588,0.1479429523315576,middle,0.178081546155174,0.4256956865254208,28408.25,29220.0,811.75,-71.75,-0.0883892824145365,prior_middle,1380,196,0.14202898550724638,0.0,touch,True,True,1227,1224,3,0,1221.0,29195.412303795998,0.42551561908961877,True,
2026-07-20,2026-07-21,1,29338.0,0.95969868173258,0.0770328940532286,0.1934044735189544,0.7295626324278169,upper,0.2152471188270517,0.4111982543246577,28701.0,29364.75,663.75,-27.25,-0.04105461393596987,prior_upper,1380,359,0.26014492753623186,0.0,touch,True,True,332,0,332,0,-332.0,29212.62455569082,-0.1888895582812481,True,
