shape,rank,session_date,score,step1_label,component_1,component_2,component_3,component_4,component_1_name,component_2_name,component_3_name,component_4_name,poc_location,volume_above_share,volume_below_share,lower_tail_width_10,upper_tail_width_10,upper_body_share,lower_body_share,n_major_peaks,n_local_maxima,normalized_separation,valley_depth,peak_balance,B_score_reason
b,1,2026-06-22,1.0,b-like,1.0,1.0,1.0,1.0,b1,b2,b3,b4,0.13589857651245552,0.1160843337850745,0.8839156662149255,0.09363879003558719,0.3963523131672598,0.08015929587504261,0.7148522132096682,3,3,0.10676156583629894,0.8488576449912126,0.8667174409748667,
b,2,2026-08-17,1.0,b-like,1.0,1.0,1.0,1.0,b1,b2,b3,b4,0.13338822560724578,0.13420354444232452,0.8657964555576755,0.09098394400988061,0.3972828324413339,0.05681331379798191,0.7118007682144952,2,4,0.1432688349114862,0.6941066417212348,0.6839411388355726,
b,3,2026-04-27,0.8289910298152865,UNCLASSIFIED,0.6019900497512437,1.0,0.9270315091210612,0.7869425603888411,b1,b2,b3,b4,0.3194029850746269,0.13690798193178438,0.8630920180682156,0.08009950248756219,0.3582089552238806,0.07454099560390155,0.5424744913049871,2,2,0.15920398009950248,0.8661858974358975,0.8421052631578947,
b,4,2026-08-31,0.7523142398315004,UNCLASSIFIED,0.9464207290294246,1.0,0.14785536524666965,0.9149808650499074,b1,b2,b3,b4,0.2160737812911726,0.16070562916825806,0.839294370831742,0.15458937198067632,0.19894598155467721,0.11254664042071863,0.577044833563475,2,3,0.13175230566534915,0.7911464245175936,0.5540880503144654,
b,5,2026-05-14,0.7370567446082074,UNCLASSIFIED,0.5788384426335532,1.0,0.9972836631742337,0.3721048726250428,b1,b2,b3,b4,0.32634846720993405,0.15913828953936857,0.8408617104606314,0.13348855258051998,0.4326736515327901,0.05718355856008204,0.4304683156087616,2,2,0.15521924718665114,0.6702937976060936,0.6106312292358804,
b,6,2026-05-26,0.7209697834745279,UNCLASSIFIED,0.5201063476237954,1.0,0.8291791292788302,0.534593656995486,b1,b2,b3,b4,0.3439680957128614,0.18812933461594483,0.8118706653840552,0.10019940179461616,0.3489531405782652,0.07795272692945839,0.47434028738878126,1,3,0.2193419740777667,0.748657357679914,0.36282151208106,
b,7,2026-09-09,0.6980241057151975,UNCLASSIFIED,0.9014336917562723,1.0,0.2813620071684588,0.6093007239360588,b1,b2,b3,b4,0.2295698924731183,0.15688330871491876,0.8431166912850813,0.1349462365591398,0.21935483870967742,0.13604407290343545,0.4945111954627359,3,4,0.17204301075268819,0.764373232799246,0.7818717759764185,
b,8,2026-08-19,0.6649177166431062,UNCLASSIFIED,1.0,1.0,0.1129363449691991,0.5467345216032258,b1,b2,b3,b4,0.19969199178644764,0.17880095591540912,0.8211990440845909,0.14887063655030802,0.18275154004106775,0.11649897310050882,0.477618320832871,2,4,0.1437371663244353,0.598731165741475,0.695148842337376,
b,9,2026-07-06,0.6177160462382402,UNCLASSIFIED,0.22640480087288603,1.0,0.8717948717948719,0.3726645122852024,b1,b2,b3,b4,0.4320785597381342,0.2409959329708879,0.759004067029112,0.11194762684124386,0.3734860883797054,0.06745887548741457,0.4306194183170047,3,3,0.24877250409165302,0.9747747747747748,0.9153380978559648,
b,10,2026-09-03,0.6137854110111645,UNCLASSIFIED,0.9337561663143059,0.9126131821783806,0.37350246652572244,0.23526982902624938,b1,b2,b3,b4,0.21987315010570824,0.3174773635643239,0.6825226364356761,0.13953488372093023,0.25158562367864695,0.13892883789833368,0.39352285383708735,2,4,0.19027484143763213,0.6690997566909975,0.7764483627204031,
b,11,2026-07-22,0.606698299697641,B-like,0.4215686274509804,1.0,0.4529411764705882,0.5522833948689954,b1,b2,b3,b4,0.3735294117647059,0.19718752697187528,0.8028124730281248,0.10823529411764705,0.24411764705882352,0.1412667248176105,0.4791165166146288,2,4,0.29411764705882354,0.8854041013268998,0.5446780551905388,
b,12,2026-09-14,0.4938659288104992,UNCLASSIFIED,0.762962962962963,0.5052392367852998,0.2162962962962963,0.49096521919743774,b1,b2,b3,b4,0.27111111111111114,0.39895215264294004,0.60104784735706,0.11555555555555555,0.18044444444444444,0.24487737148683683,0.4625606091833082,4,7,0.4622222222222222,0.9368421052631579,0.8260869565217391,
b,13,2026-07-15,0.4797959980176238,UNCLASSIFIED,0.6390628624449084,0.9932353476873712,0.2632799814428207,0.023605800495394864,b1,b2,b3,b4,0.3082811412665275,0.3013529304625258,0.6986470695374742,0.14787752261656228,0.2268615170494085,0.12378704324916955,0.33637356613375663,4,5,0.13917884481558804,0.8617176128093158,0.9635343618513323,
b,14,2026-08-27,0.4592530960686515,UNCLASSIFIED,1.0,0.4919687504377179,0.1954252720408617,0.14961836179602617,b1,b2,b3,b4,0.14323784143904064,0.4016062499124564,0.5983937500875436,0.12258494337108594,0.18121252498334445,0.13474360231395235,0.3703969576849271,3,6,0.41305796135909395,0.8685770750988142,0.7207977207977208,
