n,ic,n_early,ic_early,n_late,ic_late,n_daily,ic_daily_median,n_pos,n_neg,median_pos,mean_pos,median_neg,mean_neg,n_sign,sign_pct,family,feature,window_s,horizon_s,signed
232806,0.0012890416515098635,116388,0.00941943225952528,116418,-0.007208837987312416,26,0.010807371915838852,,,,,,,,,trade,buy_volume,30,15,False
232416,0.003956215608452667,116193,0.010549614765355516,116223,-0.003571388625654132,26,0.012433502081046422,,,,,,,,,trade,buy_volume,30,30,False
231636,0.006513016476103068,115803,0.006192662333890023,115833,0.006290131009405076,26,0.017881272663842714,,,,,,,,,trade,buy_volume,30,60,False
233192,-0.0023554136973111014,116588,-0.0010796938106850471,116604,-0.0034063299429667538,26,0.0019371124597105896,,,,,,,,,trade,sell_volume,30,1,False
233076,-0.0006931281926780761,116528,0.0007654157690765605,116548,-0.001961569975293287,26,0.002733865144636193,,,,,,,,,trade,sell_volume,30,5,False
232806,0.0003095301340478336,116388,0.002206848658408754,116418,-0.0011407760427535277,26,0.011650334701914813,,,,,,,,,trade,sell_volume,30,15,False
232416,0.0032181200763668496,116193,0.003234763316025514,116223,0.0034161345329708995,26,0.006116101576647567,,,,,,,,,trade,sell_volume,30,30,False
231636,0.0022781470214605927,115803,-0.005378762286908201,115833,0.009824379633577022,26,0.006387524278296233,,,,,,,,,trade,sell_volume,30,60,False
233192,-0.00725323376934224,116588,-0.008728557525629628,116604,-0.005401737484552528,26,-0.00745687971192387,116033.0,115814.0,0.0,-0.0011192936492204805,0.0,0.0013426701435059665,223750.0,0.49686703910614527,trade,trade_imbalance,30,1,True
233076,-0.006384358750021735,116528,-0.004383273240043582,116548,-0.008628344382964791,26,-0.012282660961927582,115992.0,115742.0,0.0,-0.021907760880060693,0.0,0.027787017677247672,228522.0,0.4987134717882742,trade,trade_imbalance,30,5,True
232806,-0.004355493949002307,116388,0.0035327544819655356,116418,-0.013141560810596187,26,-0.00990713692722908,115888.0,115578.0,0.125,-0.07126492820654425,0.125,0.0785476042153351,229660.0,0.4999869372115301,trade,trade_imbalance,30,15,True
