split,band,horizon_min,mean_long_return_pts,mean_long_return_pts,positive_rate,positive_rate,return_diff_break_minus_control,positive_rate_diff_break_minus_control
,,,break,control,break,control,,
OOS,1.0-1.5,30,-3.7302631578947367,5.746173469387755,0.4473684210526316,0.5688775510204082,-9.476436627282492,-0.12150912996777657
OOS,1.0-1.5,60,1.3651315789473684,5.090561224489796,0.47368421052631576,0.5739795918367347,-3.7254296455424276,-0.10029538131041899
OOS,1.5+,1,-1.8141891891891893,0.9025270758122743,0.5135135135135135,0.4620938628158845,-2.7167162650014633,0.051419650697628994
OOS,1.5+,5,3.3175675675675675,-0.5613718411552346,0.6081081081081081,0.4657039711191336,3.878939408722802,0.14240413698897453
OOS,1.5+,15,1.337837837837838,1.2879061371841156,0.6081081081081081,0.5018050541516246,0.04993170065372232,0.10630305395648354
OOS,1.5+,30,5.797297297297297,-3.5740072202166067,0.581081081081081,0.49097472924187724,9.371304517513904,0.09010635183920379
OOS,1.5+,60,3.081081081081081,1.736462093862816,0.5135135135135135,0.5306859205776173,1.3446189872182652,-0.017172407064103834
OOS,<0.5,1,0.8342391304347826,0.2469806763285024,0.5434782608695652,0.5096618357487923,0.5872584541062802,0.033816425120772875
OOS,<0.5,5,0.5652173913043478,-1.1008454106280192,0.6086956521739131,0.4782608695652174,1.6660628019323669,0.13043478260869568
OOS,<0.5,15,0.7635869565217391,-0.4190821256038647,0.5543478260869565,0.5024154589371981,1.1826690821256038,0.05193236714975846
OOS,<0.5,30,3.505434782608696,-1.8743961352657006,0.5543478260869565,0.5072463768115942,5.379830917874396,0.047101449275362306
OOS,<0.5,60,3.2690217391304346,-1.247584541062802,0.532608695652174,0.5241545893719807,4.516606280193237,0.008454106280193274
Validation,0.5-1.0,1,-0.065,0.14709677419354839,0.464,0.4670967741935484,-0.2120967741935484,-0.0030967741935483684
Validation,0.5-1.0,5,0.23,-0.4729032258064516,0.444,0.4503225806451613,0.7029032258064516,-0.00632258064516128
Validation,0.5-1.0,15,-1.191,-0.37,0.444,0.49290322580645163,-0.8210000000000001,-0.04890322580645162
Validation,0.5-1.0,30,-0.492,-0.053870967741935484,0.484,0.48258064516129034,-0.4381290322580645,0.001419354838709641
