split,event_type,band,horizon_min,events,mean_long_return_pts,median_long_return_pts,positive_rate,mfe_pts,mae_pts,retention_rate,time_to_fail_min,fraction_below_60,max_extension_60_pts
IS,control,<0.5,1,2548,0.05994897959183673,0.0,0.38657770800627944,0.8899136577708007,-0.7587323390894819,0.01098901098901099,1.1163249211356467,0.9398351648351647,-23.75990973312402
IS,control,<0.5,5,2548,0.03738226059654631,0.0,0.4521193092621664,1.9862637362637363,-1.989010989010989,0.02315541601255887,1.1163249211356467,0.9398351648351647,-23.75990973312402
IS,control,<0.5,15,2548,-0.0016679748822605966,0.0,0.46781789638932497,3.6316718995290422,-3.631868131868132,0.038461538461538464,1.1163249211356467,0.9398351648351647,-23.75990973312402
IS,control,<0.5,30,2548,0.07280219780219781,0.0,0.49607535321821034,5.181318681318682,-5.259026687598116,0.057692307692307696,1.1163249211356467,0.9398351648351647,-23.75990973312402
IS,control,<0.5,60,2548,0.497350863422292,0.25,0.5090266875981162,7.660223704866562,-7.6013540031397175,0.08281004709576138,1.1163249211356467,0.9398351648351647,-23.75990973312402
OOS,break,0.5-1.0,1,153,0.1650326797385621,0.0,0.49019607843137253,4.421568627450981,-4.264705882352941,0.8627450980392157,11.626262626262626,0.2818082788671024,44.6437908496732
OOS,break,0.5-1.0,5,153,0.24509803921568626,-0.5,0.45098039215686275,9.098039215686274,-8.517973856209151,0.8235294117647058,11.626262626262626,0.2818082788671024,44.6437908496732
OOS,break,0.5-1.0,15,153,0.6225490196078431,-1.0,0.43790849673202614,14.874183006535947,-13.379084967320262,0.7254901960784313,11.626262626262626,0.2818082788671024,44.6437908496732
OOS,break,0.5-1.0,30,153,3.264705882352941,0.5,0.5098039215686274,22.313725490196077,-19.58823529411765,0.6993464052287581,11.626262626262626,0.2818082788671024,44.6437908496732
OOS,break,0.5-1.0,60,153,5.138888888888889,3.75,0.5555555555555556,33.64869281045752,-29.99673202614379,0.7058823529411765,11.626262626262626,0.2818082788671024,44.6437908496732
OOS,break,1.0-1.5,1,76,-0.7467105263157895,-0.5,0.4342105263157895,6.134868421052632,-6.552631578947368,0.9342105263157895,18.62264150943396,0.2758771929824561,64.94736842105263
OOS,break,1.0-1.5,5,76,-4.467105263157895,-1.625,0.4473684210526316,11.526315789473685,-15.661184210526315,0.8157894736842105,18.62264150943396,0.2758771929824561,64.94736842105263
OOS,break,1.0-1.5,15,76,-2.125,-2.25,0.4342105263157895,18.674342105263158,-24.30263157894737,0.7631578947368421,18.62264150943396,0.2758771929824561,64.94736842105263
OOS,break,1.0-1.5,30,76,-3.7302631578947367,-3.5,0.4473684210526316,26.63486842105263,-33.94078947368421,0.7105263157894737,18.62264150943396,0.2758771929824561,64.94736842105263
OOS,break,1.0-1.5,60,76,1.3651315789473684,-1.375,0.47368421052631576,41.42434210526316,-51.18092105263158,0.618421052631579,18.62264150943396,0.2758771929824561,64.94736842105263
OOS,break,1.5+,1,74,-1.8141891891891893,0.25,0.5135135135135135,7.983108108108108,-9.942567567567568,0.9459459459459459,16.75862068965517,0.16328828828828829,105.25337837837837
OOS,break,1.5+,5,74,3.3175675675675675,4.0,0.6081081081081081,18.469594594594593,-16.08445945945946,0.8648648648648649,16.75862068965517,0.16328828828828829,105.25337837837837
