session,T_offset,horizon,universe,split,n,win,E
LONDON,60,90,HIGH_long,Validation,309,0.4854368932038835,-1.3211974110032363
LONDON,60,90,HIGH_long,OOS,70,0.5571428571428572,-3.7142857142857144
LONDON,60,90,HIGH_long,Y2025,56,0.5535714285714286,-0.53125
LONDON,60,90,HIGH_long,Y2026,14,0.5714285714285714,-16.446428571428573
LONDON,60,120,ALL_loc,IS,2368,0.4873310810810811,0.4888091216216216
LONDON,60,120,ALL_loc,Validation,764,0.4712041884816754,-2.0965314136125652
LONDON,60,120,ALL_loc,OOS,406,0.5221674876847291,0.9187192118226601
LONDON,60,120,ALL_loc,Y2025,251,0.5059760956175299,-2.7270916334661353
LONDON,60,120,ALL_loc,Y2026,155,0.5483870967741935,6.82258064516129
LONDON,60,120,HIGH_loc,IS,801,0.484394506866417,1.0770911360799
LONDON,60,120,HIGH_loc,Validation,309,0.4854368932038835,-1.8923948220064726
LONDON,60,120,HIGH_loc,OOS,70,0.6142857142857143,3.2857142857142856
LONDON,60,120,HIGH_loc,Y2025,56,0.625,10.486607142857142
LONDON,60,120,HIGH_loc,Y2026,14,0.5714285714285714,-25.517857142857142
LONDON,60,120,LOW_loc,IS,781,0.4878361075544174,0.6139564660691421
LONDON,60,120,LOW_loc,Validation,172,0.47674418604651164,1.9622093023255813
LONDON,60,120,LOW_loc,OOS,210,0.5190476190476191,-2.072619047619048
LONDON,60,120,LOW_loc,Y2025,116,0.49137931034482757,-8.849137931034482
LONDON,60,120,LOW_loc,Y2026,94,0.5531914893617021,6.289893617021277
LONDON,60,120,HIGH_long,IS,801,0.5318352059925093,0.9303995006242197
LONDON,60,120,HIGH_long,Validation,309,0.46601941747572817,-1.552588996763754
LONDON,60,120,HIGH_long,OOS,70,0.5714285714285714,-5.585714285714285
LONDON,60,120,HIGH_long,Y2025,56,0.5892857142857143,0.03125
LONDON,60,120,HIGH_long,Y2026,14,0.5,-28.053571428571427
LONDON,90,15,ALL_loc,IS,2373,0.483354403708386,0.19279393173198484
LONDON,90,15,ALL_loc,Validation,760,0.5,-0.00625
LONDON,90,15,ALL_loc,OOS,408,0.4877450980392157,0.8419117647058824
LONDON,90,15,ALL_loc,Y2025,253,0.44664031620553357,-0.21442687747035574
LONDON,90,15,ALL_loc,Y2026,155,0.5548387096774193,2.5661290322580643
LONDON,90,15,HIGH_loc,IS,804,0.48756218905472637,0.1822139303482587
LONDON,90,15,HIGH_loc,Validation,323,0.5077399380804953,0.24226006191950464
LONDON,90,15,HIGH_loc,OOS,88,0.4431818181818182,-1.25
LONDON,90,15,HIGH_loc,Y2025,61,0.4098360655737705,-0.8688524590163934
LONDON,90,15,HIGH_loc,Y2026,27,0.5185185185185185,-2.111111111111111
LONDON,90,15,LOW_loc,IS,783,0.4878671775223499,-0.0038314176245210726
LONDON,90,15,LOW_loc,Validation,169,0.46745562130177515,-1.7707100591715976
LONDON,90,15,LOW_loc,OOS,199,0.49246231155778897,0.15577889447236182
LONDON,90,15,LOW_loc,Y2025,116,0.4396551724137931,-1.1379310344827587
LONDON,90,15,LOW_loc,Y2026,83,0.5662650602409639,1.963855421686747
LONDON,90,15,HIGH_long,IS,804,0.5012437810945274,0.10509950248756218
LONDON,90,15,HIGH_long,Validation,323,0.47678018575851394,-0.8026315789473685
LONDON,90,15,HIGH_long,OOS,88,0.5227272727272727,2.4829545454545454
LONDON,90,15,HIGH_long,Y2025,61,0.5737704918032787,6.901639344262295
LONDON,90,15,HIGH_long,Y2026,27,0.4074074074074074,-7.5
LONDON,90,30,ALL_loc,IS,2373,0.4837758112094395,0.38242730720606827
LONDON,90,30,ALL_loc,Validation,760,0.4789473684210526,-0.07105263157894737
LONDON,90,30,ALL_loc,OOS,408,0.5122549019607843,0.43137254901960786
LONDON,90,30,ALL_loc,Y2025,253,0.48616600790513836,-0.8913043478260869
LONDON,90,30,ALL_loc,Y2026,155,0.5548387096774193,2.5903225806451613
LONDON,90,30,HIGH_loc,IS,804,0.47388059701492535,0.47077114427860695
LONDON,90,30,HIGH_loc,Validation,323,0.4891640866873065,0.28328173374613
LONDON,90,30,HIGH_loc,OOS,88,0.4659090909090909,-3.122159090909091
LONDON,90,30,HIGH_loc,Y2025,61,0.45901639344262296,-2.680327868852459
LONDON,90,30,HIGH_loc,Y2026,27,0.48148148148148145,-4.12037037037037
LONDON,90,30,LOW_loc,IS,783,0.4763729246487867,-0.0140485312899106
LONDON,90,30,LOW_loc,Validation,169,0.4378698224852071,-0.522189349112426
LONDON,90,30,LOW_loc,OOS,199,0.5226130653266332,-0.6796482412060302
LONDON,90,30,LOW_loc,Y2025,116,0.49137931034482757,-2.497844827586207
LONDON,90,30,LOW_loc,Y2026,83,0.5662650602409639,1.8614457831325302
LONDON,90,30,HIGH_long,IS,804,0.49129353233830847,-0.04291044776119403
LONDON,90,30,HIGH_long,Validation,323,0.47368421052631576,-1.4705882352941178
LONDON,90,30,HIGH_long,OOS,88,0.5,0.08238636363636363
LONDON,90,30,HIGH_long,Y2025,61,0.5245901639344263,3.7540983606557377
LONDON,90,30,HIGH_long,Y2026,27,0.4444444444444444,-8.212962962962964
LONDON,90,60,ALL_loc,IS,2373,0.4804045512010114,0.4730299199325748
LONDON,90,60,ALL_loc,Validation,760,0.5052631578947369,-0.03453947368421053
LONDON,90,60,ALL_loc,OOS,408,0.48284313725490197,-0.8737745098039216
LONDON,90,60,ALL_loc,Y2025,253,0.4505928853754941,-2.5701581027667983
LONDON,90,60,ALL_loc,Y2026,155,0.535483870967742,1.8951612903225807
LONDON,90,60,HIGH_loc,IS,804,0.47512437810945274,0.38526119402985076
LONDON,90,60,HIGH_loc,Validation,323,0.5325077399380805,0.5565015479876161
LONDON,90,60,HIGH_loc,OOS,88,0.4659090909090909,-3.414772727272727
