session,entry_mode,horizon,split,regime,n,mean_resid,median_resid,p_struct,mean_pre_exc,mean_pre_psr,cover_tight,mean_net_tight,mean_netR_tight,p_net_pos_tight,breakeven_pts,cover_mid,mean_net_mid,mean_netR_mid,p_net_pos_mid,cover_wide,mean_net_wide,mean_netR_wide,p_net_pos_wide
LONDON,delay1,45,IS,ALL,12030,11.801413133832087,7.0,0.5698254364089775,9.835806317539484,0.2828595089491462,0.999667497921862,11.301413133832087,22.602826267664174,0.9995012468827931,2.0,0.9984206151288445,10.801413133832087,10.801413133832087,0.9948462177888612,0.9557772236076475,9.801413133832087,4.9007065669160434,0.9350789692435578
LONDON,delay1,45,Validation,HIGH,1618,30.12747218788628,25.0,0.8325092707045736,35.08482694684796,0.49954595300295157,1.0,29.62747218788628,59.25494437577256,1.0,2.0,1.0,29.12747218788628,29.12747218788628,1.0,1.0,28.12747218788628,14.06373609394314,1.0
LONDON,delay1,45,Validation,LOW,855,31.644152046783624,24.75,0.36023391812865496,16.101461988304095,0.10954497882896484,1.0,31.144152046783624,62.28830409356725,1.0,2.0,1.0,30.644152046783624,30.644152046783624,1.0,1.0,29.644152046783624,14.822076023391812,1.0
LONDON,delay1,45,Validation,ALL,3875,31.160387096774194,25.75,0.6606451612903226,25.98406451612903,0.3070287037417241,1.0,30.660387096774194,61.32077419354839,1.0,2.0,1.0,30.160387096774194,30.160387096774194,1.0,1.0,29.160387096774194,14.580193548387097,1.0
LONDON,delay1,45,OOS,HIGH,376,46.380319148936174,36.75,0.7659574468085106,64.19281914893617,0.536733647662612,1.0,45.880319148936174,91.76063829787235,1.0,2.0,1.0,45.380319148936174,45.380319148936174,1.0,1.0,44.380319148936174,22.190159574468087,1.0
LONDON,delay1,45,OOS,LOW,1039,47.735081809432145,39.25,0.30221366698748797,25.162415784408086,0.10435733516851088,1.0,47.235081809432145,94.47016361886429,1.0,2.0,1.0,46.735081809432145,46.735081809432145,1.0,1.0,45.735081809432145,22.867540904716073,1.0
LONDON,delay1,45,OOS,ALL,2065,46.24503631961259,37.75,0.45278450363196127,36.505690072639226,0.22324468589270588,1.0,45.74503631961259,91.49007263922518,1.0,2.0,1.0,45.24503631961259,45.24503631961259,1.0,1.0,44.24503631961259,22.122518159806294,1.0
LONDON,delay1,45,Y2025,HIGH,273,43.209706959706956,32.25,0.7838827838827839,57.74908424908425,0.5276560066384633,1.0,42.709706959706956,85.41941391941391,1.0,2.0,1.0,42.209706959706956,42.209706959706956,1.0,1.0,41.209706959706956,20.604853479853478,1.0
LONDON,delay1,45,Y2025,LOW,594,41.73400673400673,34.0,0.335016835016835,22.227272727272727,0.10935783095166286,1.0,41.23400673400673,82.46801346801347,1.0,2.0,1.0,40.73400673400673,40.73400673400673,1.0,1.0,39.73400673400673,19.867003367003367,1.0
LONDON,delay1,45,Y2025,ALL,1285,40.139494163424125,32.25,0.48715953307392995,32.907003891050586,0.2364180645807905,1.0,39.639494163424125,79.27898832684825,1.0,2.0,1.0,39.139494163424125,39.139494163424125,1.0,1.0,38.139494163424125,19.069747081712062,1.0
LONDON,delay1,45,Y2026,HIGH,103,54.78398058252427,43.25,0.7184466019417476,81.27184466019418,0.5607938029984626,1.0,54.28398058252427,108.56796116504854,1.0,2.0,1.0,53.78398058252427,53.78398058252427,1.0,1.0,52.78398058252427,26.391990291262136,1.0
LONDON,delay1,45,Y2026,LOW,445,55.74550561797753,47.0,0.25842696629213485,29.080337078651684,0.09768251607819117,1.0,55.24550561797753,110.49101123595506,1.0,2.0,1.0,54.74550561797753,54.74550561797753,1.0,1.0,53.74550561797753,26.872752808988764,1.0
LONDON,delay1,45,Y2026,ALL,780,56.303525641025644,47.625,0.39615384615384613,42.43429487179487,0.20154238895143828,1.0,55.803525641025644,111.60705128205129,1.0,2.0,1.0,55.303525641025644,55.303525641025644,1.0,1.0,54.303525641025644,27.151762820512822,1.0
NY_PM,next_open,15,IS,HIGH,3980,12.193655778894472,7.0,0.2741206030150754,20.748743718592966,0.37232521489242393,1.0,11.693655778894472,23.387311557788944,1.0,2.0,0.9992462311557789,11.193655778894472,11.193655778894472,0.9962311557788944,0.9562814070351758,10.193655778894472,5.096827889447236,0.9359296482412061
NY_PM,next_open,15,IS,LOW,3863,8.91632151177841,5.5,0.06393994304944343,6.614548278539995,0.08818656745260879,1.0,8.41632151177841,16.83264302355682,1.0,2.0,0.9979290706704633,7.916321511778411,7.916321511778411,0.9917162826818535,0.9301061351281388,6.916321511778411,3.4581607558892054,0.9024074553455863
NY_PM,next_open,15,IS,ALL,11704,10.5620514354067,6.25,0.1584073820915926,13.068288619275462,0.21099726249585127,1.0,10.0620514354067,20.1241028708134,1.0,2.0,0.9988038277511961,9.5620514354067,9.5620514354067,0.9940191387559809,0.9418147641831852,8.5620514354067,4.28102571770335,0.9187457279562543
