session_date,year,split,side,ib_high,ib_low,ib_width,signal_ny_min,entry_ny_min,entry,stop,target,risk_points,exit_ny_min,exit,exit_kind,gross_points,cost_points,net_points,net_r,period,sd_x,ibvol,sd_y,bucket,vol,close_min,relvol
2021-02-22,2021,IS,short,13446.0,13338.5,107.5,634,635,13331.25,13446.0,13216.5,114.75,955,13223.25,time,108.0,1.0,107.0,0.9324618736383442,Inner Validation,2021-02-22,119739,2021-02-22,12,10936,634,1.095983764688197
2021-02-25,2021,IS,short,13290.0,13121.5,168.5,639,640,13107.0,13290.0,12924.0,183.0,752,12924.0,target,183.0,1.0,182.0,0.994535519125683,Inner Validation,2021-02-25,130386,2021-02-25,13,12302,639,1.1322074455846487
2021-03-05,2021,IS,short,12606.0,12345.25,260.75,634,635,12339.5,12606.0,12073.0,266.5,807,12606.0,stop,-266.5,1.0,-267.5,-1.00375234521576,Inner Validation,2021-03-05,196886,2021-03-05,12,16028,634,0.9768901801042227
2021-03-23,2021,IS,long,13134.5,13050.5,84.0,669,670,13161.25,13050.5,13272.0,110.75,899,13050.5,stop,-110.75,1.0,-111.75,-1.0090293453724606,Inner Validation,2021-03-23,112903,2021-03-23,19,11020,669,1.1712709139703994
2021-03-25,2021,IS,short,12837.0,12688.75,148.25,649,650,12675.5,12837.0,12514.0,161.5,955,12788.25,time,-112.75,1.0,-113.75,-0.7043343653250774,Inner Validation,2021-03-25,131082,2021-03-25,15,11678,649,1.0690712683663661
2021-03-31,2021,IS,long,13101.75,12953.0,148.75,644,645,13115.75,12953.0,13278.5,162.75,955,13093.0,time,-22.75,1.0,-23.75,-0.1459293394777265,Inner Validation,2021-03-31,105006,2021-03-31,14,8958,644,1.0237129306896748
2021-04-15,2021,IS,long,13989.25,13923.0,66.25,634,635,13995.5,13923.0,14068.0,72.5,955,14021.25,time,25.75,1.0,24.75,0.3413793103448276,Inner Validation,2021-04-15,114794,2021-04-15,12,9734,634,1.0175444709653816
2021-04-19,2021,IS,short,14013.25,13890.5,122.75,649,650,13877.0,14013.25,13740.75,136.25,955,13871.0,time,6.0,1.0,5.0,0.036697247706422,Inner Validation,2021-04-19,132805,2021-04-19,15,14155,649,1.2790181092579345
2021-04-20,2021,IS,short,13929.75,13852.0,77.75,644,645,13824.75,13929.75,13719.75,105.0,695,13719.75,target,105.0,1.0,104.0,0.9904761904761904,Inner Validation,2021-04-20,129970,2021-04-20,14,14375,644,1.3272293606216818
2021-04-23,2021,IS,long,13853.0,13776.0,77.0,634,635,13860.75,13776.0,13945.5,84.75,767,13945.5,target,84.75,1.0,83.75,0.9882005899705014,Inner Validation,2021-04-23,95871,2021-04-23,12,9714,634,1.215883843915261
2021-04-29,2021,IS,short,14060.75,13921.5,139.25,634,635,13917.0,14060.75,13773.25,143.75,955,13952.5,time,-35.5,1.0,-36.5,-0.2539130434782609,Inner Validation,2021-04-29,141630,2021-04-29,12,11767,634,0.9969921626773989
2021-05-03,2021,IS,short,13947.5,13851.0,96.5,654,655,13849.5,13947.5,13751.5,98.0,955,13782.25,time,67.25,1.0,66.25,0.6760204081632653,Inner Validation,2021-05-03,104400,2021-05-03,16,13055,654,1.5005747126436781
2021-05-12,2021,IS,short,13231.5,13102.25,129.25,634,635,13088.5,13231.5,12945.5,143.0,955,12964.5,time,124.0,1.0,123.0,0.8601398601398601,Inner Validation,2021-05-12,126165,2021-05-12,12,11479,634,1.0918083462132921
2021-05-21,2021,IS,short,13570.0,13476.0,94.0,639,640,13475.0,13570.0,13380.0,95.0,955,13405.75,time,69.25,1.0,68.25,0.718421052631579,Inner Validation,2021-05-21,101338,2021-05-21,13,8373,639,0.9914938127849374
2021-05-25,2021,IS,short,13732.5,13644.5,88.0,634,635,13639.25,13732.5,13546.0,93.25,955,13639.0,time,0.25,1.0,-0.75,-0.0080428954423592,Inner Validation,2021-05-25,95610,2021-05-25,12,7854,634,0.9857546281769689
2021-06-01,2021,IS,short,13773.0,13628.75,144.25,654,655,13612.5,13773.0,13452.0,160.5,955,13662.25,time,-49.75,1.0,-50.75,-0.3161993769470405,Inner Validation,2021-06-01,109972,2021-06-01,16,9782,654,1.0673989742843633
2021-06-03,2021,IS,long,13569.75,13462.25,107.5,659,660,13578.75,13462.25,13695.25,116.5,955,13525.25,time,-53.5,1.0,-54.5,-0.4678111587982833,Inner Validation,2021-06-03,130336,2021-06-03,17,10778,659,0.9923275227105327
2021-06-17,2021,IS,long,14096.5,13932.0,164.5,634,635,14112.75,13932.0,14293.5,180.75,955,14173.5,time,60.75,1.0,59.75,0.330567081604426,Inner Validation,2021-06-17,124294,2021-06-17,12,11920,634,1.150819830402111
2021-06-18,2021,IS,short,14131.5,14044.5,87.0,674,675,14029.5,14131.5,13927.5,102.0,955,14077.75,time,-48.25,1.0,-49.25,-0.4828431372549019,Inner Validation,2021-06-18,132538,2021-06-18,20,10604,674,0.9600869184686656
2021-06-23,2021,IS,short,14315.75,14254.0,61.75,664,665,14252.75,14315.75,14189.75,63.0,955,14259.0,time,-6.25,1.0,-7.25,-0.115079365079365,Inner Validation,2021-06-23,86114,2021-06-23,18,7258,664,1.0114034883990988
2021-07-01,2021,IS,short,14570.0,14508.0,62.0,674,675,14497.0,14570.0,14424.0,73.0,955,14538.5,time,-41.5,1.0,-42.5,-0.5821917808219178,Inner Validation,2021-07-01,97853,2021-07-01,20,7903,674,0.9691680377709421
2021-07-06,2021,IS,short,14790.0,14738.0,52.0,634,635,14727.25,14790.0,14664.5,62.75,729,14664.5,target,62.75,1.0,61.75,0.9840637450199204,Inner Validation,2021-07-06,107271,2021-07-06,12,10439,634,1.167771345470817
2021-07-07,2021,IS,short,14883.75,14784.5,99.25,639,640,14768.75,14883.75,14653.75,115.0,955,14806.0,time,-37.25,1.0,-38.25,-0.3326086956521739,Inner Validation,2021-07-07,115439,2021-07-07,13,9095,639,0.9454343852597477
2021-07-14,2021,IS,short,14996.0,14935.0,61.0,689,690,14918.75,14996.0,14841.5,77.25,955,14894.0,time,24.75,1.0,23.75,0.3074433656957929,Inner Validation,2021-07-14,108897,2021-07-14,23,10740,689,1.183503677787267
2021-07-15,2021,IS,short,14902.25,14785.75,116.5,649,650,14766.75,14902.25,14631.25,135.5,955,14780.75,time,-14.0,1.0,-15.0,-0.1107011070110701,Inner Validation,2021-07-15,137701,2021-07-15,15,12723,649,1.10875011800931
2021-07-27,2021,IS,short,15107.0,14951.25,155.75,634,635,14934.75,15107.0,14762.5,172.25,955,14920.5,time,14.25,1.0,13.25,0.0769230769230769,Inner Validation,2021-07-27,140253,2021-07-27,12,14519,634,1.242240807683258
2021-08-05,2021,IS,long,15133.0,15073.0,60.0,654,655,15148.0,15073.0,15223.0,75.0,955,15158.75,time,10.75,1.0,9.75,0.13,Inner Validation,2021-08-05,93431,2021-08-05,16,7548,654,0.9694426903276214
2021-08-10,2021,IS,short,15157.25,15095.25,62.0,634,635,15057.75,15157.25,14958.25,99.5,955,15027.75,time,30.0,1.0,29.0,0.2914572864321608,Inner Validation,2021-08-10,110030,2021-08-10,12,19450,634,2.1212396619103884
2021-08-19,2021,IS,long,14886.0,14763.75,122.25,659,660,14897.0,14763.75,15030.25,133.25,955,14923.75,time,26.75,1.0,25.75,0.1932457786116322,Inner Validation,2021-08-19,148648,2021-08-19,17,11864,659,0.9577525429201872
2021-08-25,2021,IS,short,15397.0,15354.0,43.0,634,635,15353.5,15397.0,15310.0,43.5,955,15373.25,time,-19.75,1.0,-20.75,-0.4770114942528735,Inner Validation,2021-08-25,104336,2021-08-25,12,10284,634,1.1827940499923326
2021-09-08,2021,IS,short,15667.25,15612.0,55.25,634,635,15593.0,15667.25,15518.75,74.25,955,15613.0,time,-20.0,1.0,-21.0,-0.2828282828282828,Inner Validation,2021-09-08,101433,2021-09-08,12,14361,634,1.6989737067818165
2021-09-09,2021,IS,short,15675.75,15622.0,53.75,689,690,15614.5,15675.75,15553.25,61.25,955,15561.75,time,52.75,1.0,51.75,0.8448979591836735,Inner Validation,2021-09-09,94923,2021-09-09,23,9114,689,1.152175974210676
2021-09-10,2021,IS,short,15668.0,15600.25,67.75,634,635,15585.0,15668.0,15502.0,83.0,914,15502.0,target,83.0,1.0,82.0,0.9879518072289156,Inner Validation,2021-09-10,68475,2021-09-10,12,11199,634,1.9625848849945235
2021-09-21,2021,IS,short,15131.75,15003.25,128.5,649,650,14995.75,15131.75,14859.75,136.0,955,15040.0,time,-44.25,1.0,-45.25,-0.3327205882352941,Inner Validation,2021-09-21,144111,2021-09-21,15,11705,649,0.9746653621167017
2021-10-04,2021,IS,short,14720.0,14510.25,209.75,634,635,14462.75,14720.0,14205.5,257.25,955,14412.25,time,50.5,1.0,49.5,0.1924198250728863,Inner Validation,2021-10-04,158203,2021-10-04,12,16399,634,1.2438955013495319
2021-10-08,2021,IS,short,14943.0,14845.75,97.25,644,645,14826.75,14943.0,14710.5,116.25,955,14807.75,time,19.0,1.0,18.0,0.1548387096774193,Inner Validation,2021-10-08,126740,2021-10-08,14,13692,644,1.2963863026668772
2021-10-20,2021,IS,long,15439.0,15380.0,59.0,634,635,15444.75,15380.0,15509.5,64.75,764,15380.0,stop,-64.75,1.0,-65.75,-1.0154440154440154,Inner Validation,2021-10-20,109387,2021-10-20,12,8623,634,0.9459625001142731
2021-10-22,2021,IS,short,15463.25,15385.5,77.75,679,680,15357.25,15463.25,15251.25,106.0,955,15348.5,time,8.75,1.0,7.75,0.0731132075471698,Inner Validation,2021-10-22,107881,2021-10-22,21,12111,679,1.3471510275210647
2021-11-04,2021,IS,long,16297.25,16157.0,140.25,634,635,16310.0,16157.0,16463.0,153.0,955,16337.5,time,27.5,1.0,26.5,0.1732026143790849,Inner Validation,2021-11-04,109534,2021-11-04,12,9367,634,1.0262019099092519
2021-11-08,2021,IS,short,16394.0,16317.25,76.75,644,645,16315.75,16394.0,16237.5,78.25,955,16335.5,time,-19.75,1.0,-20.75,-0.2651757188498402,Inner Validation,2021-11-08,102446,2021-11-08,14,9194,644,1.0769380942154891
2021-11-30,2021,IS,short,16456.25,16319.0,137.25,649,650,16268.75,16456.25,16081.25,187.5,714,16081.25,target,187.5,1.0,186.5,0.9946666666666668,Inner Validation,2021-11-30,138094,2021-11-30,15,14833,649,1.2889481078106217
2021-12-16,2021,IS,short,16342.0,16090.75,251.25,664,665,16046.75,16342.0,15751.5,295.25,955,15850.75,time,196.0,1.0,195.0,0.6604572396274344,Inner Validation,2021-12-16,159116,2021-12-16,18,13970,664,1.053570979662636
2021-12-22,2021,IS,long,16044.75,15933.25,111.5,639,640,16065.75,15933.25,16198.25,132.5,955,16152.25,time,86.5,1.0,85.5,0.6452830188679245,Inner Validation,2021-12-22,115740,2021-12-22,13,12610,639,1.3074131674442717
2021-12-27,2021,IS,long,16506.75,16344.5,162.25,634,635,16523.25,16344.5,16702.0,178.75,955,16555.25,time,32.0,1.0,31.0,0.1734265734265734,Inner Validation,2021-12-27,99015,2021-12-27,12,8276,634,1.0029995455234055
2022-01-04,2022,Validation,short,16512.0,16365.25,146.75,634,635,16362.25,16512.0,16212.5,149.75,660,16212.5,target,149.75,1.0,148.75,0.993322203672788,Validation,2022-01-04,146633,2022-01-04,12,13122,634,1.073864682574864
2022-01-11,2022,Validation,long,15652.75,15475.0,177.75,674,675,15703.0,15475.0,15931.0,228.0,955,15800.75,time,97.75,1.0,96.75,0.4243421052631579,Validation,2022-01-11,180906,2022-01-11,20,15282,674,1.013697721468608
2022-01-13,2022,Validation,short,15979.75,15831.25,148.5,634,635,15820.25,15979.75,15660.75,159.5,737,15660.75,target,159.5,1.0,158.5,0.9937304075235108,Validation,2022-01-13,141689,2022-01-13,12,13301,634,1.126495352497371
2022-01-20,2022,Validation,long,15293.5,15160.25,133.25,634,635,15302.25,15160.25,15444.25,142.0,852,15160.25,stop,-142.0,1.0,-143.0,-1.0070422535211268,Validation,2022-01-20,127197,2022-01-20,12,11500,634,1.0849312483784994
2022-02-08,2022,Validation,long,14588.0,14467.5,120.5,649,650,14592.0,14467.5,14716.5,124.5,751,14716.5,target,124.5,1.0,123.5,0.9919678714859438,Validation,2022-02-08,130806,2022-02-08,15,11367,649,1.0427962020090822
2022-02-18,2022,Validation,short,14220.75,14085.75,135.0,634,635,14065.75,14220.75,13910.75,155.0,798,13910.75,target,155.0,1.0,154.0,0.9935483870967742,Validation,2022-02-18,127339,2022-02-18,12,10339,634,0.9743126614784158
2022-03-02,2022,Validation,long,14129.75,13951.0,178.75,669,670,14158.5,13951.0,14366.0,207.5,955,14273.25,time,114.75,1.0,113.75,0.5481927710843374,Validation,2022-03-02,126481,2022-03-02,19,10597,669,1.005400020556447
2022-04-25,2022,Validation,long,13407.0,13236.0,171.0,634,635,13446.75,13236.0,13657.5,210.75,955,13529.0,time,82.25,1.0,81.25,0.3855278766310794,Validation,2022-04-25,149638,2022-04-25,12,12594,634,1.0099573637712345
2022-04-26,2022,Validation,short,13450.75,13167.75,283.0,639,640,13161.25,13450.75,12871.75,289.5,955,13033.75,time,127.5,1.0,126.5,0.4369602763385147,Validation,2022-04-26,148928,2022-04-26,13,12132,639,0.9775461968199399
2022-06-03,2022,Validation,short,12731.25,12609.25,122.0,639,640,12580.25,12731.25,12429.25,151.0,955,12559.5,time,20.75,1.0,19.75,0.1307947019867549,Validation,2022-06-03,132629,2022-06-03,13,12116,639,1.096230839409179
2022-06-06,2022,Validation,short,12810.0,12673.5,136.5,679,680,12638.5,12810.0,12467.0,171.5,955,12605.5,time,33.0,1.0,32.0,0.1865889212827988,Validation,2022-06-06,114400,2022-06-06,21,10824,679,1.1353846153846152
2022-06-07,2022,Validation,long,12600.25,12412.5,187.75,634,635,12628.5,12412.5,12844.5,216.0,955,12734.0,time,105.5,1.0,104.5,0.4837962962962963,Validation,2022-06-07,124711,2022-06-07,12,10677,634,1.0273672731354893
2022-06-17,2022,Validation,short,11348.5,11182.5,166.0,634,635,11154.5,11348.5,10960.5,194.0,788,11348.5,stop,-194.0,1.0,-195.0,-1.0051546391752575,Validation,2022-06-17,128241,2022-06-17,12,11045,634,1.0335228203148759
2022-06-23,2022,Validation,long,11687.0,11543.0,144.0,644,645,11702.0,11543.0,11861.0,159.0,955,11729.0,time,27.0,1.0,26.0,0.1635220125786163,Validation,2022-06-23,139885,2022-06-23,14,11654,644,0.9997354970154054
2022-06-28,2022,Validation,short,12174.25,12004.75,169.5,634,635,11965.25,12174.25,11756.25,209.0,789,11756.25,target,209.0,1.0,208.0,0.9952153110047848,Validation,2022-06-28,118888,2022-06-28,12,14272,634,1.4405490882174818
2022-07-05,2022,Validation,long,11519.0,11389.25,129.75,639,640,11588.75,11389.25,11788.25,199.5,928,11788.25,target,199.5,1.0,198.5,0.9949874686716792,Validation,2022-07-05,147420,2022-07-05,13,16291,639,1.3260887260887262
2022-07-13,2022,Validation,long,11700.0,11522.5,177.5,634,635,11709.75,11522.5,11897.0,187.25,955,11780.75,time,71.0,1.0,70.0,0.3738317757009345,Validation,2022-07-13,161934,2022-07-13,12,13515,634,1.0015191374263588
2022-07-20,2022,Validation,long,12393.75,12257.5,136.25,634,635,12418.75,12257.5,12580.0,161.25,955,12464.5,time,45.75,1.0,44.75,0.2775193798449612,Validation,2022-07-20,117867,2022-07-20,12,12331,634,1.255415001654407
2022-08-02,2022,Validation,long,12956.75,12820.0,136.75,654,655,12997.25,12820.0,13174.5,177.25,955,12936.5,time,-60.75,1.0,-61.75,-0.3483779971791255,Validation,2022-08-02,141265,2022-08-02,16,12742,654,1.082391250486674
2022-08-04,2022,Validation,short,13339.0,13231.5,107.5,634,635,13206.0,13339.0,13073.0,133.0,913,13339.0,stop,-133.0,1.0,-134.0,-1.0075187969924813,Validation,2022-08-04,125174,2022-08-04,12,10442,634,1.0010385543323694
