sample,period,direction,horizon,n,mfe_mean,mfe_median,mae_mean,mae_median,net,p_positive
all_events,Validation,downside_failure_long,30,257,0.22661108702346755,0.19172113289760348,0.2492154701255469,0.182548794489093,-0.02260438310207937,0.5097276264591439
all_events,Validation,upside_failure_short,1,271,0.05345188849415459,0.04046242774566474,0.048042654935159745,0.0367816091954023,0.005409233558994836,0.47601476014760147
all_events,Validation,upside_failure_short,2,271,0.07281867889584946,0.05924170616113744,0.06599067312288795,0.05026455026455026,0.006828005772961501,0.5202952029520295
all_events,Validation,upside_failure_short,3,271,0.08617467229251129,0.06710310965630115,0.07831580248528855,0.06407322654462243,0.007858869807222734,0.5276752767527675
all_events,Validation,upside_failure_short,5,271,0.10658706303132762,0.08019639934533551,0.09913690268631319,0.07822085889570553,0.007450160345014418,0.5239852398523985
all_events,Validation,upside_failure_short,10,271,0.14825373878440073,0.10983981693363844,0.1397503372375315,0.11886304909560723,0.008503401546869247,0.4981549815498155
all_events,Validation,upside_failure_short,15,271,0.17477756957454238,0.13537117903930132,0.17118809378380326,0.13642960812772134,0.0035894757907391026,0.5092250922509225
all_events,Validation,upside_failure_short,30,271,0.23159526429341926,0.1670886075949367,0.24169061297106598,0.18857142857142858,-0.010095348677646727,0.4612546125461255
excursion_matched,Inner,downside_failure_long,1,215,0.042570940289569384,0.03350970017636684,0.05482593564152827,0.04142011834319527,-0.012254995351958878,0.4186046511627907
excursion_matched,Inner,downside_failure_long,2,215,0.055074976771136465,0.04371584699453552,0.08106615358397555,0.060077519379844964,-0.025991176812839096,0.39069767441860465
excursion_matched,Inner,downside_failure_long,3,215,0.06571467008453162,0.05345911949685535,0.09621016885650831,0.07053941908713693,-0.0304954987719767,0.3767441860465116
excursion_matched,Inner,downside_failure_long,5,215,0.08420357849892164,0.0749063670411985,0.12174056215507821,0.09420289855072464,-0.037536983656156556,0.4232558139534884
excursion_matched,Inner,downside_failure_long,10,215,0.12590044831044506,0.1016260162601626,0.17315641456701997,0.11387900355871886,-0.04725596625657492,0.48372093023255813
excursion_matched,Inner,downside_failure_long,15,215,0.1518571261780296,0.12481644640234948,0.21637878315685635,0.14937759336099585,-0.06452165697882674,0.48372093023255813
excursion_matched,Inner,downside_failure_long,30,215,0.21799868100424546,0.18269230769230768,0.2895301488647685,0.21153846153846154,-0.07153146786052304,0.4697674418604651
excursion_matched,Inner,upside_failure_short,1,215,0.03784172882262121,0.030612244897959183,0.04487810954044083,0.03361344537815126,-0.007036380717819626,0.4418604651162791
excursion_matched,Inner,upside_failure_short,2,215,0.05259312970478158,0.03982300884955752,0.061377001423715945,0.05038428693424424,-0.008783871718934362,0.4604651162790698
excursion_matched,Inner,upside_failure_short,3,215,0.06369643900444619,0.04716981132075472,0.07362497479750722,0.059602649006622516,-0.00992853579306104,0.4511627906976744
excursion_matched,Inner,upside_failure_short,5,215,0.07908618989932942,0.062111801242236024,0.09003126839132576,0.06784660766961652,-0.010945078491996331,0.4697674418604651
excursion_matched,Inner,upside_failure_short,10,215,0.11022657953040374,0.0778688524590164,0.13246551919166175,0.10264900662251655,-0.022238939661258,0.4325581395348837
excursion_matched,Inner,upside_failure_short,15,215,0.1341820935398834,0.09740259740259741,0.16202244996142567,0.12831858407079647,-0.027840356421542294,0.4372093023255814
excursion_matched,Inner,upside_failure_short,30,215,0.18227378459084173,0.13598326359832635,0.22408756641882105,0.1822289156626506,-0.04181378182797932,0.44651162790697674
excursion_matched,OOS,downside_failure_long,1,116,0.05793807904799761,0.04334958785204168,0.054671899893253384,0.037547253879517406,0.0032661791547442293,0.5344827586206896
excursion_matched,OOS,downside_failure_long,2,116,0.079561749147089,0.06545661027568922,0.07942050818918696,0.06011458621166068,0.00014124095790204872,0.5172413793103449
excursion_matched,OOS,downside_failure_long,3,116,0.09135515378023899,0.08105404290429043,0.09225098573577784,0.06493387238709841,-0.0008958319555388484,0.5431034482758621
excursion_matched,OOS,downside_failure_long,5,116,0.1083943477263224,0.10048141513658755,0.12542190475525522,0.09025730367193782,-0.017027557028932844,0.5258620689655172
excursion_matched,OOS,downside_failure_long,10,116,0.14159130421667226,0.13287414447011642,0.17961354708630958,0.13140895405235586,-0.03802224286963731,0.46551724137931033
