period,direction,bar_after_break,signed_close_disp_ib
Train,downside_failure,5,0.20588235294117646
Train,upside_failure,1,-0.23076923076923078
Train,upside_failure,2,-0.28846153846153844
Train,upside_failure,3,-0.28846153846153844
Train,upside_failure,4,-0.019230769230769232
Train,upside_failure,5,-0.038461538461538464
Train,downside_failure,1,-0.13043478260869565
Train,downside_failure,2,-0.11594202898550725
Train,downside_failure,3,-0.07246376811594203
Train,downside_failure,4,-0.07246376811594203
Train,downside_failure,5,-0.08695652173913043
Train,downside_failure,1,0.06666666666666667
Train,downside_failure,2,0.11666666666666667
Train,downside_failure,3,0.06666666666666667
Train,downside_failure,4,-0.05
Train,downside_failure,5,0.18333333333333332
Train,upside_failure,1,0.10869565217391304
Train,upside_failure,2,0.13043478260869565
Train,upside_failure,3,0.2826086956521739
Train,upside_failure,4,0.32608695652173914
Train,upside_failure,5,0.30434782608695654
Train,downside_failure,1,0.046511627906976744
Train,downside_failure,2,0.16279069767441862
Train,downside_failure,3,-0.18604651162790697
Train,downside_failure,4,-0.20930232558139536
Train,downside_failure,5,-0.06976744186046512
Train,downside_failure,1,-0.15714285714285714
Train,downside_failure,2,-0.12857142857142856
Train,downside_failure,3,-0.24285714285714285
Train,downside_failure,4,-0.1
Train,downside_failure,5,-0.12857142857142856
Train,upside_failure,1,-0.07692307692307693
Train,upside_failure,2,-0.2087912087912088
Train,upside_failure,3,-0.10989010989010989
Train,upside_failure,4,-0.18681318681318682
Train,upside_failure,5,-0.16483516483516483
Train,upside_failure,1,0.14285714285714285
Train,upside_failure,2,0.16071428571428573
Train,upside_failure,3,0.125
Train,upside_failure,4,0.125
Train,upside_failure,5,0.03571428571428571
Train,upside_failure,1,0.14864864864864866
Train,upside_failure,2,0.12162162162162163
Train,upside_failure,3,0.08108108108108109
Train,upside_failure,4,0.13513513513513514
Train,upside_failure,5,0.12162162162162163
Train,downside_failure,1,-0.045454545454545456
Train,downside_failure,2,0.022727272727272728
Train,downside_failure,3,-0.09090909090909091
Train,downside_failure,4,0.11363636363636363
Train,downside_failure,5,0.36363636363636365
Train,downside_failure,1,0.06976744186046512
Train,downside_failure,2,-0.046511627906976744
Train,downside_failure,3,-0.37209302325581395
Train,downside_failure,4,-0.8837209302325582
Train,downside_failure,5,-0.8837209302325582
Train,downside_failure,1,-0.2702702702702703
Train,downside_failure,2,-0.24324324324324326
Train,downside_failure,3,-0.2972972972972973
Train,downside_failure,4,-0.5945945945945946
Train,downside_failure,5,-0.5405405405405406
Train,upside_failure,1,-0.09302325581395349
Train,upside_failure,2,0.11627906976744186
Train,upside_failure,3,0.0
Train,upside_failure,4,0.0
Train,upside_failure,5,0.023255813953488372
Train,downside_failure,1,-0.21428571428571427
Train,downside_failure,2,-0.2857142857142857
Train,downside_failure,3,-0.0
Train,downside_failure,4,0.4523809523809524
Train,downside_failure,5,0.2619047619047619
Train,upside_failure,1,0.10144927536231885
Train,upside_failure,2,0.07246376811594203
Train,upside_failure,3,0.057971014492753624
Train,upside_failure,4,0.0
Train,upside_failure,5,-0.014492753623188406
Train,downside_failure,1,0.05454545454545454
Train,downside_failure,2,-0.07272727272727272
Train,downside_failure,3,0.36363636363636365
Train,downside_failure,4,0.21818181818181817
Train,downside_failure,5,0.05454545454545454
Train,downside_failure,1,0.03773584905660377
Train,downside_failure,2,-0.11320754716981132
Train,downside_failure,3,-0.09433962264150944
Train,downside_failure,4,-0.2641509433962264
Train,downside_failure,5,-0.2830188679245283
Train,downside_failure,1,-0.0
Train,downside_failure,2,-0.19607843137254902
Train,downside_failure,3,-0.35294117647058826
Train,downside_failure,4,-0.47058823529411764
Train,downside_failure,5,-0.43137254901960786
Train,upside_failure,1,-0.07317073170731707
Train,upside_failure,2,-0.0975609756097561
Train,upside_failure,3,0.17073170731707318
Train,upside_failure,4,0.2682926829268293
Train,upside_failure,5,0.2682926829268293
Train,downside_failure,1,-0.03333333333333333
Train,downside_failure,2,-0.4
Train,downside_failure,3,-0.3
Train,downside_failure,4,-0.43333333333333335
Train,downside_failure,5,-0.4
