session_date,year,split,side,relative_volume,reentry_close_min,entry_min,entry,stop,target,target_name,risk_points,reward_r,exit_kind,net_points
2016-03-24,2016,Train,short,0.5709745990165975,689,690,4383.75,4395.75,4375.375,ib_mid,12.0,0.6979166666666666,target,7.375
2016-03-24,2016,Train,short,0.5709745990165975,689,690,4383.75,4395.75,4365.25,opposite_ib,12.0,1.5416666666666667,stop,-13.0
2016-03-31,2016,Train,short,0.5907741041377945,659,660,4491.5,4495.0,4483.0,ib_mid,3.5,2.4285714285714284,stop,-4.5
2016-03-31,2016,Train,short,0.5907741041377945,659,660,4491.5,4495.0,4473.5,opposite_ib,3.5,5.142857142857143,stop,-4.5
2016-04-15,2016,Train,short,0.5720071893273929,654,655,4544.25,4550.25,4540.5,ib_mid,6.0,0.625,stop,-7.0
2016-04-15,2016,Train,short,0.5720071893273929,654,655,4544.25,4550.25,4533.25,opposite_ib,6.0,1.8333333333333333,stop,-7.0
2016-04-18,2016,Train,short,0.5812564015022191,659,660,4557.0,4561.5,4538.75,ib_mid,4.5,4.055555555555555,time,-3.25
2016-04-18,2016,Train,short,0.5812564015022191,659,660,4557.0,4561.5,4519.25,opposite_ib,4.5,8.38888888888889,time,-3.25
2016-04-26,2016,Train,long,0.5307624200688638,644,645,4457.0,4451.25,4468.875,ib_mid,5.75,2.0652173913043477,stop,-6.75
2016-04-26,2016,Train,long,0.5307624200688638,644,645,4457.0,4451.25,4484.25,opposite_ib,5.75,4.739130434782608,stop,-6.75
2016-05-03,2016,Train,short,0.3095766143456052,814,815,4351.5,4354.25,4335.5,ib_mid,2.75,5.818181818181818,stop,-3.75
2016-05-03,2016,Train,short,0.3095766143456052,814,815,4351.5,4354.25,4319.5,opposite_ib,2.75,11.636363636363637,stop,-3.75
2016-05-04,2016,Train,long,0.3374969935059729,784,785,4301.0,4297.0,4310.5,ib_mid,4.0,2.375,stop,-5.0
2016-05-04,2016,Train,long,0.3374969935059729,784,785,4301.0,4297.0,4321.0,opposite_ib,4.0,5.0,stop,-5.0
2016-05-19,2016,Train,long,0.5871585588389233,674,675,4290.25,4285.5,4309.375,ib_mid,4.75,4.026315789473684,stop,-5.75
2016-05-19,2016,Train,long,0.5871585588389233,674,675,4290.25,4285.5,4329.5,opposite_ib,4.75,8.263157894736842,stop,-5.75
2016-05-20,2016,Train,short,0.46860809065533476,669,670,4367.75,4372.0,4348.5,ib_mid,4.25,4.529411764705882,stop,-5.25
2016-05-20,2016,Train,short,0.46860809065533476,669,670,4367.75,4372.0,4328.5,opposite_ib,4.25,9.235294117647058,stop,-5.25
2016-05-26,2016,Train,short,0.23023425253350407,849,850,4486.0,4487.75,4477.375,ib_mid,1.75,4.928571428571429,stop,-2.75
2016-05-26,2016,Train,short,0.23023425253350407,849,850,4486.0,4487.75,4468.75,opposite_ib,1.75,9.857142857142858,stop,-2.75
2016-05-27,2016,Train,short,0.5404596152406618,719,720,4510.0,4512.0,4500.875,ib_mid,2.0,4.5625,target,8.125
2016-05-27,2016,Train,short,0.5404596152406618,719,720,4510.0,4512.0,4490.5,opposite_ib,2.0,9.75,time,-2.0
2016-05-31,2016,Train,long,0.4060340164673358,804,805,4516.0,4507.0,4519.875,ib_mid,9.0,0.4305555555555556,target,2.875
2016-05-31,2016,Train,long,0.4060340164673358,804,805,4516.0,4507.0,4526.0,opposite_ib,9.0,1.1111111111111112,stop,-10.0
2016-06-06,2016,Train,short,0.5853736597855657,679,680,4526.0,4530.0,4519.625,ib_mid,4.0,1.59375,target,5.375
2016-06-06,2016,Train,short,0.5853736597855657,679,680,4526.0,4530.0,4511.0,opposite_ib,4.0,3.75,target,14.0
2016-06-20,2016,Train,short,0.43064077424252006,674,675,4434.25,4437.0,4425.125,ib_mid,2.75,3.3181818181818183,target,8.125
2016-06-20,2016,Train,short,0.43064077424252006,674,675,4434.25,4437.0,4414.5,opposite_ib,2.75,7.181818181818182,target,18.75
2016-06-24,2016,Train,long,0.48575253394530504,879,880,4282.0,4275.0,4322.625,ib_mid,7.0,5.803571428571429,stop,-8.0
2016-06-24,2016,Train,long,0.48575253394530504,879,880,4282.0,4275.0,4363.5,opposite_ib,7.0,11.642857142857142,stop,-8.0
