session_date,year,period,break_side,signal_end,extreme_end,reentry_end,rejection_minutes,entry_min,ib_width,excursion_ib,outside_5m,reentry_depth_ib,relvol,mfe60_ib,mae60_ib,reversal_net_ib,direction,id,gb1,gb2,gb3,gb4,gb5,sample
2024-01-09,2024,Validation,1,649,654,654,0,655,86.5,0.0549132947976878,1,0.1069364161849711,0.4919688083177819,0.1242774566473988,0.916184971098266,-0.791907514450867,upside_failure,1876,0.12138728323699421,0.1676300578034682,-0.10404624277456648,-0.0953757225433526,-0.15606936416184972,excursion_matched
2024-01-10,2024,Validation,1,644,664,674,10,675,72.5,0.3241379310344827,6,0.093103448275862,0.697477771419298,0.1724137931034483,0.3482758620689655,-0.1758620689655172,upside_failure,1877,-0.03793103448275862,0.05172413793103448,-0.1,-0.09310344827586207,-0.03103448275862069,excursion_matched
2024-01-11,2024,Validation,-1,674,709,764,55,765,219.0,0.3264840182648402,18,0.0171232876712328,0.8580868314009796,0.341324200913242,0.0034246575342465,0.3378995433789954,downside_failure,1878,0.04337899543378995,0.0776255707762557,0.03881278538812785,0.01598173515981735,-0.0365296803652968,excursion_matched
2024-01-12,2024,Validation,-1,649,654,659,5,660,107.25,0.2027972027972027,2,0.0862470862470862,0.7212309962471356,0.4801864801864802,0.2167832167832167,0.2634032634032634,downside_failure,1879,-0.11421911421911422,0.11188811188811189,0.17249417249417248,0.4125874125874126,0.4568764568764569,excursion_matched
2024-01-15,2024,Validation,1,649,664,669,5,670,30.0,0.3916666666666666,4,0.0083333333333333,0.9544193420531114,0.3916666666666666,0.4333333333333333,-0.0416666666666666,upside_failure,1880,-0.041666666666666664,-0.225,-0.1,0.075,-0.058333333333333334,excursion_matched
2024-01-16,2024,Validation,1,644,654,664,10,665,148.75,0.2016806722689075,4,0.2689075630252101,0.7738575314751275,0.2487394957983193,0.4,-0.1512605042016807,upside_failure,1881,-0.11764705882352941,-0.12773109243697478,-0.02689075630252101,0.3126050420168067,0.2739495798319328,excursion_matched
2024-01-18,2024,Validation,1,639,654,664,10,665,68.0,0.375,5,0.3786764705882353,1.0328954875257572,0.0808823529411764,1.0845588235294117,-1.0036764705882353,upside_failure,1882,-0.1213235294117647,-0.28308823529411764,-0.24632352941176472,0.04779411764705882,0.44485294117647056,excursion_matched
2024-01-22,2024,Validation,-1,634,634,639,5,640,101.75,0.2481572481572481,1,0.0614250614250614,1.320529257910662,0.1425061425061425,0.5012285012285013,-0.3587223587223587,downside_failure,1883,0.16461916461916462,0.0171990171990172,-0.2334152334152334,-0.0171990171990172,-0.21867321867321868,excursion_matched
2024-01-23,2024,Validation,1,779,779,784,5,785,78.5,0.0764331210191082,1,0.0636942675159235,0.5006511018323265,0.286624203821656,0.0923566878980891,0.1942675159235669,upside_failure,1884,0.08280254777070063,0.1592356687898089,0.16560509554140126,0.07643312101910828,0.1337579617834395,excursion_matched
2024-01-24,2024,Validation,1,634,649,669,20,670,81.5,0.5644171779141104,7,0.0858895705521472,0.5805571499921728,0.294478527607362,0.6042944785276073,-0.3098159509202453,upside_failure,1885,-0.2791411042944785,-0.5122699386503068,-0.41411042944785276,-0.15950920245398773,-0.18098159509202455,excursion_matched
2024-01-25,2024,Validation,1,709,714,719,5,720,85.5,0.2017543859649122,2,0.1257309941520467,0.6100201871903101,1.0614035087719298,0.0964912280701754,0.9649122807017544,upside_failure,1886,-0.049707602339181284,0.13157894736842105,0.3333333333333333,0.5526315789473685,0.543859649122807,excursion_matched
2024-01-26,2024,Validation,1,634,729,754,25,755,78.0,0.6410256410256411,24,0.1089743589743589,0.9754598101319564,0.7532051282051282,0.0256410256410256,0.7275641025641025,upside_failure,1887,0.0641025641025641,-0.07051282051282051,-0.17307692307692307,-0.23717948717948717,-0.40064102564102566,excursion_matched
2024-01-29,2024,Validation,1,734,739,739,0,740,57.5,0.1608695652173913,1,0.0217391304347826,0.3353801887785536,0.1043478260869565,0.4739130434782608,-0.3695652173913043,upside_failure,1888,0.030434782608695653,-0.2608695652173913,-0.18695652173913044,-0.23478260869565218,-0.36086956521739133,excursion_matched
2024-01-31,2024,Validation,-1,634,639,664,25,665,108.5,0.3179723502304147,6,0.0622119815668202,1.0779764168885508,0.336405529953917,0.1152073732718894,0.2211981566820276,downside_failure,1889,-0.15898617511520738,-0.08986175115207373,-0.11059907834101383,-0.15207373271889402,-0.06912442396313365,excursion_matched
2024-02-01,2024,Validation,1,729,734,739,5,740,99.25,0.2367758186397985,2,0.0302267002518891,0.9012238899647148,0.3778337531486146,0.4785894206549118,-0.1007556675062972,upside_failure,1890,0.04534005037783375,0.18387909319899245,0.2141057934508816,0.4005037783375315,0.4181360201511335,excursion_matched
2024-02-02,2024,Validation,1,644,649,664,15,665,158.5,0.2697160883280757,4,0.0552050473186119,0.9972730051971874,0.0031545741324921,0.6419558359621451,-0.638801261829653,upside_failure,1891,0.055205047318611984,0.052050473186119876,0.08832807570977919,0.24132492113564669,0.11198738170347003,excursion_matched
2024-02-05,2024,Validation,-1,644,649,669,20,670,136.5,0.3406593406593406,5,0.1117216117216117,1.2355151962807671,0.4542124542124542,0.0695970695970696,0.3846153846153846,downside_failure,1892,0.12454212454212454,0.12637362637362637,0.20146520146520147,0.17582417582417584,0.36996336996337,excursion_matched
2024-02-06,2024,Validation,-1,709,744,749,5,750,169.5,0.2212389380530973,8,0.0383480825958702,0.8710313362497888,0.0693215339233038,0.140117994100295,-0.0707964601769911,downside_failure,1893,0.0,-0.04277286135693215,-0.051622418879056046,-0.025073746312684365,-0.1224188790560472,excursion_matched
2024-02-08,2024,Validation,1,649,684,689,5,690,58.0,0.4870689655172414,8,0.043103448275862,1.1417609821599848,0.0818965517241379,0.5689655172413793,-0.4870689655172414,upside_failure,1894,-0.22413793103448276,-0.1939655172413793,-0.0603448275862069,0.05172413793103448,-0.04741379310344827,excursion_matched
2024-02-13,2024,Validation,1,634,644,659,15,660,156.0,0.3141025641025641,5,0.1025641025641025,0.9776542285897571,0.0721153846153846,0.3205128205128205,-0.2483974358974359,upside_failure,1896,-0.1971153846153846,-0.21794871794871795,-0.16346153846153846,-0.1201923076923077,0.1330128205128205,excursion_matched
2024-02-14,2024,Validation,-1,664,679,684,5,685,104.0,0.375,4,0.1298076923076923,1.4900694885840182,0.1153846153846153,0.6346153846153846,-0.5192307692307692,downside_failure,1897,0.06971153846153846,-0.009615384615384616,-0.009615384615384616,0.32211538461538464,0.2764423076923077,excursion_matched
2024-02-19,2024,Validation,-1,649,649,654,5,655,31.25,0.104,1,0.072,0.8079749359156935,0.28,0.184,0.096,downside_failure,1898,0.096,0.104,0.232,0.0,0.04,excursion_matched
2024-02-20,2024,Validation,-1,724,759,774,15,775,220.5,0.2312925170068027,10,0.0192743764172335,0.5987276955534093,0.1145124716553288,0.1439909297052154,-0.0294784580498866,downside_failure,1899,-0.07256235827664399,-0.06802721088435375,-0.12811791383219956,-0.13945578231292516,-0.09863945578231292,excursion_matched
