stop_rule,target_r,filter,period,n,E,PF,win
0.75x_ib_width,0.75,high_volume,Inner,195,4.22099358974359,1.2032267522607327,0.5692307692307692
0.75x_ib_width,0.75,high_volume,OOS,85,14.704779411764706,1.3493859082094377,0.5764705882352941
0.75x_ib_width,0.75,high_volume,Train,481,-0.6001169438669439,0.9297470376173165,0.5384615384615384
0.75x_ib_width,0.75,high_volume,Validation,188,9.429521276595745,1.3179214723651322,0.6117021276595744
0.75x_ib_width,0.75,highvol_early,Inner,167,4.726609281437126,1.228195862318186,0.562874251497006
0.75x_ib_width,0.75,highvol_early,OOS,69,25.613451086956523,1.6962439060422514,0.6376811594202898
0.75x_ib_width,0.75,highvol_early,Train,387,-0.7873062015503876,0.9133979961628651,0.5503875968992248
0.75x_ib_width,0.75,highvol_early,Validation,164,12.969035823170731,1.4541429791549898,0.6402439024390244
0.75x_ib_width,0.75,low_volume,Inner,210,8.967931547619047,1.6195589595969981,0.6047619047619047
0.75x_ib_width,0.75,low_volume,OOS,136,3.3786764705882355,1.0851813231375276,0.5588235294117647
0.75x_ib_width,0.75,low_volume,Train,481,-1.9424051455301454,0.7382005253940456,0.47401247401247404
0.75x_ib_width,0.75,low_volume,Validation,201,-0.8048818407960199,0.9763146577360527,0.5621890547263682
0.75x_ib_width,1.0,all,Inner,677,4.103028064992614,1.1771008914019756,0.55096011816839
0.75x_ib_width,1.0,all,OOS,370,1.5619932432432433,1.0309870482381918,0.527027027027027
0.75x_ib_width,1.0,all,Train,1441,-0.9339868147120055,0.8926745148074681,0.4753643303261624
0.75x_ib_width,1.0,all,Validation,695,3.091906474820144,1.0838364528368136,0.5424460431654676
0.75x_ib_width,1.0,early,Inner,464,4.004175646551724,1.160846463509653,0.5517241379310345
0.75x_ib_width,1.0,early,OOS,266,-0.6203007518796992,0.9889681916191686,0.5263157894736842
0.75x_ib_width,1.0,early,Train,970,-0.8309922680412372,0.9111072819381741,0.48041237113402063
0.75x_ib_width,1.0,early,Validation,496,5.182711693548387,1.1334527367058296,0.5544354838709677
0.75x_ib_width,1.0,high_volume,Inner,195,6.845192307692308,1.3074453689574757,0.5230769230769231
0.75x_ib_width,1.0,high_volume,OOS,85,16.044117647058822,1.3451930834823054,0.5176470588235295
0.75x_ib_width,1.0,high_volume,Train,481,-0.34667359667359665,0.9626623376623377,0.48232848232848236
0.75x_ib_width,1.0,high_volume,Validation,188,7.574468085106383,1.222230892278881,0.5478723404255319
0.75x_ib_width,1.0,highvol_early,Inner,167,7.542664670658683,1.3411075756549997,0.5149700598802395
0.75x_ib_width,1.0,highvol_early,OOS,69,28.079710144927535,1.6669822281509532,0.5797101449275363
0.75x_ib_width,1.0,highvol_early,Train,387,-0.1771640826873385,0.9817665048866432,0.49870801033591733
0.75x_ib_width,1.0,highvol_early,Validation,164,10.120426829268293,1.3009485386611666,0.5670731707317073
0.75x_ib_width,1.0,low_volume,Inner,210,12.188690476190477,1.8400648191831963,0.6
0.75x_ib_width,1.0,low_volume,OOS,136,1.3676470588235294,1.0330541795321768,0.5441176470588235
0.75x_ib_width,1.0,low_volume,Train,481,-1.5062370062370063,0.8014592539307368,0.4553014553014553
