session_date,year,period,break_side,signal_end,extreme_end,reentry_end,rejection_minutes,entry_min,ib_width,excursion_ib,outside_5m,reentry_depth_ib,relvol,mfe60_ib,mae60_ib,reversal_net_ib
2016-10-10,2016,Train,1,659,659,664,5,665,16.75,0.13432835820895522,1,0.14925373134328357,0.4535345679271856,0.26865671641791045,0.14925373134328357,0.11940298507462688
2016-10-12,2016,Train,1,809,814,814,0,815,22.5,0.044444444444444446,1,0.022222222222222223,0.32557498967084425,0.25555555555555554,0.4111111111111111,-0.15555555555555556
2016-10-14,2016,Train,-1,689,739,814,75,815,22.25,0.8089887640449438,25,0.011235955056179775,0.7168538464486948,0.033707865168539325,0.8539325842696629,-0.8202247191011236
2016-10-18,2016,Train,1,714,754,784,30,785,19.5,0.32051282051282054,14,0.0,0.6654404570891872,0.15384615384615385,0.14102564102564102,0.01282051282051283
2016-10-19,2016,Train,1,649,654,654,0,655,13.0,0.23076923076923078,1,0.019230769230769232,1.0608730136249045,0.7307692307692307,0.11538461538461539,0.6153846153846153
2016-10-20,2016,Train,-1,639,639,649,10,650,30.5,0.2786885245901639,2,0.05737704918032787,1.5749876258043227,0.23770491803278687,0.2459016393442623,-0.008196721311475419
2016-10-24,2016,Train,1,659,679,704,25,705,18.0,0.2777777777777778,9,0.027777777777777776,0.7347433488879462,0.19444444444444445,0.19444444444444445,0.0
2016-10-25,2016,Train,-1,644,649,689,40,690,11.0,0.75,9,0.0,1.2462406015037595,0.11363636363636363,1.1136363636363635,-0.9999999999999999
2016-10-26,2016,Train,1,639,674,794,120,795,18.25,1.2054794520547945,31,0.1506849315068493,1.3799375010333825,0.9452054794520548,0.136986301369863,0.8082191780821918
2016-10-27,2016,Train,-1,639,639,649,10,650,32.0,0.2421875,2,0.0078125,1.8699685375012685,0.140625,0.1875,-0.046875
2016-10-28,2016,Train,1,634,654,679,25,680,32.75,0.33587786259541985,9,0.022900763358778626,1.4570510463461817,0.16793893129770993,0.15267175572519084,0.015267175572519082
2016-10-31,2016,Train,-1,634,649,654,5,655,15.25,0.3114754098360656,4,0.47540983606557374,0.8940350877192983,0.3442622950819672,0.5901639344262295,-0.2459016393442623
2016-11-01,2016,Train,-1,639,649,659,10,660,24.0,0.3333333333333333,4,0.125,1.102020030555084,0.21875,0.3541666666666667,-0.13541666666666669
2016-11-02,2016,Train,-1,634,634,639,5,640,18.0,0.19444444444444445,1,0.2222222222222222,1.5018816706767846,0.3333333333333333,0.5972222222222222,-0.2638888888888889
2016-11-04,2016,Train,1,639,644,649,5,650,33.0,0.09848484848484848,2,0.0,0.7192685945463981,0.1590909090909091,0.2196969696969697,-0.06060606060606061
2016-11-08,2016,Train,1,649,649,654,5,655,14.75,0.11864406779661017,1,0.03389830508474576,0.646486433491017,0.01694915254237288,2.0,-1.9830508474576272
2016-11-09,2016,Train,1,694,714,729,15,730,63.5,0.42913385826771655,7,0.1220472440944882,0.49542696668169056,0.05905511811023622,0.4251968503937008,-0.3661417322834646
2016-11-10,2016,Train,-1,639,639,669,30,670,129.75,0.32755298651252407,6,0.0019267822736030828,1.8911564625850341,0.17533718689788053,0.11560693641618497,0.05973025048169556
2016-11-14,2016,Train,-1,649,669,679,10,680,50.5,0.5445544554455446,6,0.04455445544554455,1.050751694998526,0.08415841584158416,0.32673267326732675,-0.24257425742574257
2016-11-16,2016,Train,1,634,644,664,20,665,40.5,0.25925925925925924,6,0.06790123456790123,0.8928129966448879,0.08641975308641975,0.3950617283950617,-0.30864197530864196
2016-11-18,2016,Train,-1,634,654,774,120,775,26.0,0.4423076923076923,28,0.0,1.3615546851461284,0.16346153846153846,0.057692307692307696,0.10576923076923077
2016-11-21,2016,Train,1,719,724,724,0,725,33.5,0.1044776119402985,1,0.03731343283582089,0.359207033529755,0.08955223880597014,0.19402985074626866,-0.10447761194029852
2016-11-22,2016,Train,-1,649,649,669,20,670,13.5,0.5,4,0.018518518518518517,1.5119518840281705,0.24074074074074073,0.8333333333333334,-0.5925925925925927
2016-11-23,2016,Train,-1,684,699,704,5,705,25.5,0.24509803921568626,4,0.029411764705882353,0.5427475273661609,0.38235294117647056,0.08823529411764706,0.2941176470588235
2016-11-28,2016,Train,1,634,634,644,10,645,20.5,0.36585365853658536,2,0.14634146341463414,1.4092939870806183,0.4268292682926829,0.18292682926829268,0.24390243902439024
2016-12-05,2016,Train,1,649,654,669,15,670,45.75,0.18032786885245902,4,0.0,0.7208324574311541,0.3333333333333333,0.04371584699453552,0.2896174863387978
2016-12-07,2016,Train,1,644,664,664,0,665,24.0,0.22916666666666666,4,0.041666666666666664,0.8451115027040166,0.3541666666666667,0.4375,-0.08333333333333331
2016-12-08,2016,Train,1,669,669,674,5,675,24.5,0.07142857142857142,1,0.030612244897959183,0.46952077183667806,0.4387755102040816,0.16326530612244897,0.2755102040816326
2016-12-09,2016,Train,1,639,644,649,5,650,17.75,0.2535211267605634,2,0.04225352112676056,0.7872635965380917,0.4225352112676056,0.16901408450704225,0.2535211267605634
2016-12-12,2016,Train,-1,724,744,764,20,765,22.5,0.36666666666666664,8,0.05555555555555555,0.9534678213447118,0.24444444444444444,0.2111111111111111,0.033333333333333326
2016-12-13,2016,Train,1,684,724,779,55,780,61.25,0.22448979591836735,19,0.004081632653061225,0.4706717543703967,0.012244897959183673,0.23265306122448978,-0.2204081632653061
2016-12-14,2016,Train,-1,669,674,684,10,685,14.0,0.30357142857142855,3,0.26785714285714285,0.796282213772708,0.23214285714285715,0.4642857142857143,-0.23214285714285715
2016-12-15,2016,Train,1,669,679,709,30,710,26.5,0.4339622641509434,8,0.0,1.1084229544867934,0.29245283018867924,0.1509433962264151,0.14150943396226415
2016-12-16,2016,Train,-1,634,634,639,5,640,20.25,0.16049382716049382,1,0.12345679012345678,0.8933828996282528,0.2716049382716049,1.271604938271605,-1.0
2016-12-19,2016,Train,1,639,664,874,210,875,31.0,0.7338709677419355,47,0.016129032258064516,1.3280914939242316,0.4838709677419355,0.04838709677419355,0.43548387096774194
2016-12-21,2016,Train,-1,654,654,694,40,695,15.75,0.30158730158730157,8,0.1746031746031746,1.0165864985901476,0.3968253968253968,0.09523809523809523,0.30158730158730157
2016-12-22,2016,Train,-1,704,714,794,80,795,24.5,0.4489795918367347,18,0.030612244897959183,0.7675007028394714,0.29591836734693877,0.14285714285714285,0.15306122448979592
2016-12-23,2016,Train,-1,654,659,664,5,665,12.0,0.125,2,0.041666666666666664,0.529107819497072,0.16666666666666666,0.5625,-0.39583333333333337
2016-12-28,2016,Train,-1,734,739,749,10,750,41.75,0.08383233532934131,3,0.023952095808383235,0.614694838311943,0.0,0.30538922155688625,-0.30538922155688625
2016-12-29,2016,Train,-1,649,734,769,35,770,18.25,0.7671232876712328,24,0.0273972602739726,0.7696610221580257,0.0684931506849315,0.6438356164383562,-0.5753424657534247
2017-01-03,2017,Train,-1,704,704,709,5,710,41.75,0.11377245508982035,1,0.005988023952095809,0.984297906964666,0.15568862275449102,0.11976047904191617,0.035928143712574856
2017-01-04,2017,Train,1,724,729,739,10,740,21.75,0.10344827586206896,3,0.011494252873563218,0.2843343653250774,0.21839080459770116,0.06896551724137931,0.14942528735632185
2017-01-09,2017,Train,1,679,684,684,0,685,15.75,0.1746031746031746,1,0.12698412698412698,0.369274623706999,0.2222222222222222,0.23809523809523808,-0.015873015873015872
2017-01-11,2017,Train,1,639,639,644,5,645,13.0,0.21153846153846154,1,0.0,0.8208968855603251,2.576923076923077,0.19230769230769232,2.3846153846153846
2017-01-12,2017,Train,-1,664,664,674,10,675,34.0,0.14705882352941177,2,0.0661764705882353,0.9875041104899704,0.41911764705882354,0.08088235294117647,0.3382352941176471
2017-01-13,2017,Train,1,689,704,704,0,705,19.75,0.11392405063291139,3,0.0,0.4546459323994345,0.3924050632911392,0.17721518987341772,0.2151898734177215
2017-01-17,2017,Train,1,659,664,669,5,670,21.25,0.17647058823529413,2,0.09411764705882353,0.3022742859261181,0.29411764705882354,0.17647058823529413,0.11764705882352941
2017-01-18,2017,Train,-1,719,719,724,5,725,17.25,0.18840579710144928,1,0.15942028985507245,0.9026381909547739,0.2753623188405797,0.21739130434782608,0.05797101449275363
2017-01-19,2017,Train,-1,634,639,639,0,640,21.0,0.07142857142857142,1,0.0,0.5389690175989111,0.25,0.36904761904761907,-0.11904761904761907
2017-01-20,2017,Train,-1,649,654,654,0,655,21.0,0.11904761904761904,1,0.011904761904761904,0.4600160053090781,0.21428571428571427,0.15476190476190477,0.05952380952380951
2017-01-23,2017,Train,-1,634,714,749,35,750,24.0,0.6458333333333334,23,0.03125,1.0439247005134056,0.40625,0.0,0.40625
2017-01-25,2017,Train,1,644,669,694,25,695,10.25,0.7073170731707317,10,0.12195121951219512,0.5212427627823534,0.34146341463414637,0.4878048780487805,-0.1463414634146341
2017-01-31,2017,Train,-1,689,729,739,10,740,22.0,0.32954545454545453,10,0.011363636363636364,0.5369501315043061,0.2159090909090909,0.11363636363636363,0.10227272727272728
2017-02-01,2017,Train,-1,639,714,734,20,735,24.75,0.40404040404040403,19,0.0,1.421002732697563,0.3838383838383838,0.12121212121212122,0.2626262626262626
2017-02-02,2017,Train,1,659,664,689,25,690,29.0,0.1724137931034483,6,0.034482758620689655,0.9089403133927213,0.6724137931034483,0.0,0.6724137931034483
2017-02-06,2017,Train,1,674,689,754,65,755,12.75,0.6274509803921569,16,0.0,0.5003077956237059,0.5098039215686274,0.17647058823529413,0.33333333333333326
2017-02-07,2017,Train,1,644,664,679,15,680,17.25,0.391304347826087,7,0.028985507246376812,0.7133452354385181,0.2608695652173913,0.18840579710144928,0.07246376811594202
2017-02-08,2017,Train,1,644,669,759,90,760,20.25,0.4074074074074074,23,0.024691358024691357,1.3456177873880648,0.012345679012345678,0.3950617283950617,-0.38271604938271603
