session,condition,regime,T_offset,horizon,frac,split,n,n_unc,rate,p_resolve,unc_p_resolve,delta,mean_already_moving,mean_share_pre
NY_AM,UNCONDITIONAL,OTHER,15,45,0.35,Validation,774,774,1.0,0.8669250645994832,0.8669250645994832,0.0,0.5529715762273901,0.005177259195978582
NY_AM,UNCONDITIONAL,OTHER,15,10,0.15,OOS,412,412,1.0,0.9466019417475728,0.9466019417475728,0.0,0.5995145631067961,0.009979157771884134
NY_AM,UNCONDITIONAL,OTHER,15,15,0.15,OOS,412,412,1.0,0.970873786407767,0.970873786407767,0.0,0.5995145631067961,0.0078433667286914
NY_AM,UNCONDITIONAL,OTHER,15,20,0.15,OOS,412,412,1.0,0.9805825242718447,0.9805825242718447,0.0,0.5995145631067961,0.0069422806788306275
NY_AM,UNCONDITIONAL,OTHER,15,30,0.15,OOS,412,412,1.0,0.9902912621359223,0.9902912621359223,0.0,0.5995145631067961,0.005993758299986111
NY_AM,UNCONDITIONAL,OTHER,15,45,0.15,OOS,412,412,1.0,0.9927184466019418,0.9927184466019418,0.0,0.5995145631067961,0.0052141504710432095
NY_AM,UNCONDITIONAL,OTHER,15,10,0.25,OOS,412,412,1.0,0.7427184466019418,0.7427184466019418,0.0,0.5995145631067961,0.009979157771884134
NY_AM,UNCONDITIONAL,OTHER,15,15,0.25,OOS,412,412,1.0,0.8398058252427184,0.8398058252427184,0.0,0.5995145631067961,0.0078433667286914
NY_AM,UNCONDITIONAL,OTHER,15,20,0.25,OOS,412,412,1.0,0.8883495145631068,0.8883495145631068,0.0,0.5995145631067961,0.0069422806788306275
NY_AM,UNCONDITIONAL,OTHER,15,30,0.25,OOS,412,412,1.0,0.9199029126213593,0.9199029126213593,0.0,0.5995145631067961,0.005993758299986111
NY_AM,UNCONDITIONAL,OTHER,15,45,0.25,OOS,412,412,1.0,0.9490291262135923,0.9490291262135923,0.0,0.5995145631067961,0.0052141504710432095
NY_AM,UNCONDITIONAL,OTHER,15,10,0.35,OOS,412,412,1.0,0.5194174757281553,0.5194174757281553,0.0,0.5995145631067961,0.009979157771884134
NY_AM,UNCONDITIONAL,OTHER,15,15,0.35,OOS,412,412,1.0,0.662621359223301,0.662621359223301,0.0,0.5995145631067961,0.0078433667286914
NY_AM,UNCONDITIONAL,OTHER,15,20,0.35,OOS,412,412,1.0,0.7378640776699029,0.7378640776699029,0.0,0.5995145631067961,0.0069422806788306275
NY_AM,UNCONDITIONAL,OTHER,15,30,0.35,OOS,412,412,1.0,0.8033980582524272,0.8033980582524272,0.0,0.5995145631067961,0.005993758299986111
NY_AM,UNCONDITIONAL,OTHER,15,45,0.35,OOS,412,412,1.0,0.8737864077669902,0.8737864077669902,0.0,0.5995145631067961,0.0052141504710432095
NY_AM,UNCONDITIONAL,OTHER,15,10,0.15,ALL,3598,3598,1.0,0.9294052251250695,0.9294052251250695,0.0,0.584769316286826,0.016018816776024798
NY_AM,UNCONDITIONAL,OTHER,15,15,0.15,ALL,3598,3598,1.0,0.9652584769316287,0.9652584769316287,0.0,0.584769316286826,0.013014239374384609
NY_AM,UNCONDITIONAL,OTHER,15,20,0.15,ALL,3598,3598,1.0,0.980544747081712,0.980544747081712,0.0,0.584769316286826,0.011283738166550344
NY_AM,UNCONDITIONAL,OTHER,15,30,0.15,ALL,3598,3598,1.0,0.9897165091717621,0.9897165091717621,0.0,0.584769316286826,0.009354077404419455
NY_AM,UNCONDITIONAL,OTHER,15,45,0.15,ALL,3598,3598,1.0,0.9952751528627015,0.9952751528627015,0.0,0.584769316286826,0.008098834061233393
NY_AM,UNCONDITIONAL,OTHER,15,10,0.25,ALL,3598,3598,1.0,0.7070594774874931,0.7070594774874931,0.0,0.584769316286826,0.016018816776024798
NY_AM,UNCONDITIONAL,OTHER,15,15,0.25,ALL,3598,3598,1.0,0.8162868260144525,0.8162868260144525,0.0,0.584769316286826,0.013014239374384609
NY_AM,UNCONDITIONAL,OTHER,15,20,0.25,ALL,3598,3598,1.0,0.8782657031684269,0.8782657031684269,0.0,0.584769316286826,0.011283738166550344
NY_AM,UNCONDITIONAL,OTHER,15,30,0.25,ALL,3598,3598,1.0,0.9274596998332407,0.9274596998332407,0.0,0.584769316286826,0.009354077404419455
NY_AM,UNCONDITIONAL,OTHER,15,45,0.25,ALL,3598,3598,1.0,0.9552529182879378,0.9552529182879378,0.0,0.584769316286826,0.008098834061233393
NY_AM,UNCONDITIONAL,OTHER,15,10,0.35,ALL,3598,3598,1.0,0.47387437465258475,0.47387437465258475,0.0,0.584769316286826,0.016018816776024798
NY_AM,UNCONDITIONAL,OTHER,15,15,0.35,ALL,3598,3598,1.0,0.6192329071706504,0.6192329071706504,0.0,0.584769316286826,0.013014239374384609
NY_AM,UNCONDITIONAL,OTHER,15,20,0.35,ALL,3598,3598,1.0,0.7131739855475264,0.7131739855475264,0.0,0.584769316286826,0.011283738166550344
NY_AM,UNCONDITIONAL,OTHER,15,30,0.35,ALL,3598,3598,1.0,0.811839911061701,0.811839911061701,0.0,0.584769316286826,0.009354077404419455
NY_AM,UNCONDITIONAL,OTHER,15,45,0.35,ALL,3598,3598,1.0,0.876876042245692,0.876876042245692,0.0,0.584769316286826,0.008098834061233393
NY_AM,vol_expansion_high,HIGH,15,10,0.15,IS,820,2412,0.33996683250414594,0.9841463414634146,0.9299336650082919,0.05421267645512273,0.8609756097560975,0.01842112412300485
NY_AM,vol_expansion_high,HIGH,15,15,0.15,IS,820,2412,0.33996683250414594,0.998780487804878,0.9655887230514096,0.03319176475346841,0.8609756097560975,0.015175138256974979
NY_AM,vol_expansion_high,HIGH,15,20,0.15,IS,820,2412,0.33996683250414594,1.0,0.9817578772802653,0.018242122719734688,0.8609756097560975,0.012855714837357849
NY_AM,vol_expansion_high,HIGH,15,30,0.15,IS,820,2412,0.33996683250414594,1.0,0.9900497512437811,0.00995024875621886,0.8609756097560975,0.010762683347077412
NY_AM,vol_expansion_high,HIGH,15,45,0.15,IS,820,2412,0.33996683250414594,1.0,0.9954394693200663,0.004560530679933672,0.8609756097560975,0.009385927092456964
NY_AM,vol_expansion_high,HIGH,15,10,0.25,IS,820,2412,0.33996683250414594,0.874390243902439,0.7118573797678275,0.16253286413461154,0.8609756097560975,0.01842112412300485
NY_AM,vol_expansion_high,HIGH,15,15,0.25,IS,820,2412,0.33996683250414594,0.9439024390243902,0.8150912106135987,0.1288112284107915,0.8609756097560975,0.015175138256974979
NY_AM,vol_expansion_high,HIGH,15,20,0.25,IS,820,2412,0.33996683250414594,0.9768292682926829,0.8797678275290216,0.0970614407636613,0.8609756097560975,0.012855714837357849
NY_AM,vol_expansion_high,HIGH,15,30,0.25,IS,820,2412,0.33996683250414594,0.9963414634146341,0.9303482587064676,0.0659932047081665,0.8609756097560975,0.010762683347077412
NY_AM,vol_expansion_high,HIGH,15,45,0.25,IS,820,2412,0.33996683250414594,0.998780487804878,0.9564676616915423,0.042312826113335755,0.8609756097560975,0.009385927092456964
NY_AM,vol_expansion_high,HIGH,15,10,0.35,IS,820,2412,0.33996683250414594,0.6804878048780488,0.48756218905472637,0.19292561582332246,0.8609756097560975,0.01842112412300485
NY_AM,vol_expansion_high,HIGH,15,15,0.35,IS,820,2412,0.33996683250414594,0.8256097560975609,0.6214759535655058,0.20413380253205515,0.8609756097560975,0.015175138256974979
NY_AM,vol_expansion_high,HIGH,15,20,0.35,IS,820,2412,0.33996683250414594,0.901219512195122,0.7155887230514096,0.18563078914371234,0.8609756097560975,0.012855714837357849
NY_AM,vol_expansion_high,HIGH,15,30,0.35,IS,820,2412,0.33996683250414594,0.9585365853658536,0.8179933665008292,0.1405432188650244,0.8609756097560975,0.010762683347077412
NY_AM,vol_expansion_high,HIGH,15,45,0.35,IS,820,2412,0.33996683250414594,0.9780487804878049,0.8805970149253731,0.09745176556243174,0.8609756097560975,0.009385927092456964
